Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-11,96.0,100.8,91.4,100.8,2436800,ST,608,4007.89,2435200
2026-02-12,104.9,105.8,104.9,105.8,32000,ST,17,1882.35,32000
2026-02-13,111.05,111.05,111.05,111.05,9600,ST,4,2400.0,9600
2026-02-16,116.6,116.6,116.6,116.6,4800,ST,3,1600.0,4800
2026-02-17,122.4,122.4,122.4,122.4,3200,ST,2,1600.0,3200
2026-02-18,128.5,128.5,128.5,128.5,57600,ST,24,2400.0,48000
2026-02-19,128.95,134.9,128.0,134.9,43200,ST,27,1600.0,43200
2026-02-20,139.0,141.6,139.0,141.6,27200,ST,13,2092.31,27200
2026-02-23,148.65,148.65,148.65,148.65,17600,ST,8,2200.0,17600
2026-02-24,156.05,156.05,156.05,156.05,4800,ST,1,4800.0,4800
2026-02-25,163.9,171.65,163.9,171.65,33600,SM,20,1680.0,25600
2026-02-26,188.8,188.8,154.5,155.65,91200,SM,54,1688.89,64000
2026-02-27,163.0,163.4,147.9,163.4,65600,ST,33,1987.88,62400
2026-03-02,168.0,171.55,168.0,171.55,12800,ST,8,1600.0,12800
2026-03-04,180.1,180.1,180.1,180.1,3200,ST,2,1600.0,3200
2026-03-05,186.5,189.1,186.5,189.1,4800,ST,3,1600.0,4800
2026-03-06,198.55,198.55,198.0,198.0,20800,ST,13,1600.0,20800
2026-03-09,198.0,207.9,198.0,207.0,11200,ST,7,1600.0,11200
2026-03-10,197.1,197.1,196.65,196.65,3200,ST,2,1600.0,3200
2026-03-11,186.85,206.45,186.85,206.45,16000,ST,9,1777.78,12800
2026-03-12,216.75,216.75,216.75,216.75,1600,ST,1,1600.0,1600
2026-03-13,227.55,227.55,227.55,227.55,3200,ST,2,1600.0,3200
2026-03-16,238.9,238.9,238.9,238.9,59200,ST,18,3288.89,59200
2026-03-17,250.8,250.8,250.8,250.8,65600,ST,22,2981.82,65600
2026-03-18,263.3,263.3,249.0,263.3,72000,ST,36,2000.0,70400
2026-03-19,276.45,276.45,251.0,268.65,116800,ST,52,2246.15,116800
2026-03-20,273.0,273.0,255.25,255.25,12800,ST,5,2560.0,12800
2026-03-23,255.5,255.5,247.5,247.5,3200,ST,2,1600.0,3200
2026-03-24,235.15,235.15,235.15,235.15,1600,ST,1,1600.0,1600
2026-03-25,230.0,230.0,223.4,223.4,3200,ST,2,1600.0,3200
2026-03-27,212.25,212.25,212.25,212.25,145600,ST,35,4160.0,145600
2026-03-30,201.65,201.65,201.65,201.65,11200,ST,7,1600.0,11200
2026-04-01,191.6,191.6,191.6,191.6,1600,ST,1,1600.0,1600
2026-04-02,182.05,182.05,182.05,182.05,1600,ST,1,1600.0,1600
2026-04-06,172.95,191.15,172.95,186.05,80000,ST,38,2105.26,80000
2026-04-07,176.75,177.05,176.75,176.95,24000,ST,12,2000.0,24000
2026-04-09,168.15,168.15,168.15,168.15,1600,ST,1,1600.0,1600
2026-04-13,159.75,159.75,159.75,159.75,22400,ST,10,2240.0,20800
2026-04-15,151.8,151.8,151.8,151.8,24000,ST,15,1600.0,24000
2026-04-16,144.25,144.25,144.25,144.25,24000,ST,11,2181.82,24000
2026-04-17,137.05,151.45,137.05,151.45,36800,ST,17,2164.71,36800
2026-04-20,158.7,159.0,158.7,159.0,27200,ST,17,1600.0,27200
2026-04-21,166.95,166.95,166.95,166.95,25600,ST,9,2844.44,25600
2026-04-22,175.25,175.25,170.0,175.25,56000,ST,19,2947.37,49600
2026-04-23,169.0,169.0,166.5,166.5,9600,ST,6,1600.0,9600
2026-04-24,158.2,166.5,158.2,166.5,41600,ST,11,3781.82,41600
2026-04-27,158.2,158.2,158.2,158.2,1600,ST,1,1600.0,1600
2026-04-29,157.55,165.0,157.55,165.0,25600,ST,13,1969.23,25600
2026-04-30,156.75,169.0,156.75,159.8,26400,ST,25,1056.0,24800
2026-05-04,161.1,161.1,157.0,157.0,4800,ST,5,960.0,4800
2026-05-06,160.0,160.0,159.95,160.0,17600,ST,14,1257.14,17600
2026-05-07,155.0,155.0,155.0,155.0,1600,ST,1,1600.0,1600
2026-05-08,147.25,147.25,147.25,147.25,800,ST,1,800.0,800
2026-05-11,140.0,140.1,140.0,140.0,4800,ST,6,800.0,4800
2026-05-12,140.1,140.1,140.1,140.1,800,ST,1,800.0,800
2026-05-13,140.1,146.9,133.1,140.0,4800,ST,6,800.0,4000
2026-05-14,133.8,133.8,133.8,133.8,800,ST,1,800.0,800
2026-05-15,130.0,130.0,127.5,127.5,2400,ST,3,800.0,2400
2026-05-21,133.85,133.85,130.05,133.85,4000,ST,5,800.0,4000
2026-05-22,135.0,140.5,135.0,139.3,3200,ST,4,800.0,3200
2026-05-25,146.25,146.25,132.35,132.35,52000,ST,40,1300.0,52000
2026-05-26,125.75,137.0,125.75,127.05,33600,ST,28,1200.0,31200
2026-05-27,127.05,133.0,120.7,133.0,4800,ST,6,800.0,4000
2026-05-29,127.0,127.0,126.35,126.35,4000,ST,5,800.0,4000
2026-06-01,126.35,132.6,120.05,120.05,32000,ST,27,1185.19,29600
2026-06-02,126.0,126.0,114.05,114.25,105600,ST,42,2514.29,104000
2026-06-03,108.55,116.0,108.55,108.75,48800,ST,13,3753.85,48800
2026-06-04,105.0,114.15,104.9,113.75,94400,ST,36,2622.22,92800
2026-06-05,118.5,119.4,118.5,119.4,4000,ST,5,800.0,4000
2026-06-08,125.2,125.35,119.5,125.3,122400,ST,48,2550.0,120800
2026-06-09,130.45,131.55,130.45,131.55,12000,ST,10,1200.0,12000
2026-06-10,130.0,138.1,130.0,138.1,13600,ST,12,1133.33,13600
2026-06-11,145.0,145.0,134.0,134.6,120000,ST,34,3529.41,118400
2026-06-12,140.95,141.3,135.2,136.35,76000,ST,74,1027.03,73600
2026-06-15,143.0,143.15,143.0,143.15,4800,ST,5,960.0,4800
2026-06-16,150.0,150.3,150.0,150.3,4000,ST,5,800.0,4000
2026-06-17,157.0,157.8,157.0,157.8,1600,ST,2,800.0,1600
2026-06-18,165.0,165.65,160.0,162.05,8800,ST,10,880.0,8000
2026-06-19,162.0,170.15,162.0,170.15,12000,ST,13,923.08,11200
2026-06-22,178.65,178.65,178.0,178.65,28000,ST,15,1866.67,28000
2026-06-23,187.55,187.55,187.5,187.5,11200,ST,11,1018.18,11200
2026-06-24,185.0,196.85,178.15,196.8,8000,ST,10,800.0,7200
2026-06-25,206.0,206.6,195.0,205.75,9600,ST,12,800.0,8800
2026-06-29,215.0,216.0,214.6,216.0,5600,ST,7,800.0,5600
2026-06-30,210.5,210.5,205.2,205.2,6400,ST,,,
2026-07-01,196.0,196.0,194.95,196.0,11200,ST,11,1018.18,10400
2026-07-02,188.5,188.5,186.2,187.2,4800,ST,6,800.0,4000
2026-07-03,187.2,187.2,177.85,177.85,6400,ST,8,800.0,6400
2026-07-07,169.0,169.0,169.0,169.0,800,ST,1,800.0,800
2026-07-09,161.0,172.3,160.55,166.0,70400,ST,21,3352.38,69600
2026-07-10,166.0,174.3,158.0,166.75,31200,ST,10,3120.0,30400
2026-07-13,175.0,175.05,175.0,175.05,43200,ST,5,8640.0,43200
2026-07-14,175.05,183.8,175.05,183.5,13600,ST,8,1700.0,13600
2026-07-15,177.0,177.0,174.35,174.35,4800,ST,6,800.0,4800
2026-07-16,166.75,166.75,165.65,165.65,2400,ST,3,800.0,2400
2026-07-17,166.0,167.0,157.4,157.4,15200,ST,13,1169.23,14400
2026-07-20,165.0,165.25,155.0,160.0,4000,ST,5,800.0,3200
2026-07-21,153.0,153.0,153.0,153.0,30400,ST,2,15200.0,30400
2026-07-24,159.0,160.65,159.0,160.0,24800,ST,11,2254.55,24800
2026-07-27,162.0,162.0,154.5,154.55,10400,ST,8,1300.0,10400
2026-07-28,151.0,155.25,151.0,155.0,50400,ST,9,5600.0,50400
2026-07-29,161.75,162.0,155.0,156.6,68800,ST,26,2646.15,67200
2026-07-31,157.0,163.75,156.6,163.1,4000,ST,5,800.0,4000
2026-08-03,171.0,171.25,167.1,170.0,32000,ST,14,2285.71,32000
2026-08-04,170.0,172.0,170.0,172.0,4000,ST,5,800.0,4000
2026-08-05,172.4,172.4,172.4,172.4,800,ST,1,800.0,800
