Date,Open,High,Low,Close,Volume
2023-05-12,194.45,194.45,180.0,194.35,52818
2023-05-15,203.0,204.05,194.4,204.05,32743
2023-05-16,214.25,214.25,214.25,214.25,29781
2023-05-17,224.95,224.95,203.55,210.05,68472
2023-05-18,216.9,220.05,210.5,213.4,29055
2023-05-19,218.7,224.05,215.0,216.55,33818
2023-05-22,205.75,217.15,205.75,213.15,40408
2023-05-23,222.5,223.8,218.75,223.8,11927
2023-05-24,230.0,234.95,215.0,228.85,98924
2023-05-25,236.9,236.9,220.0,227.2,23034
2023-05-26,227.2,229.5,216.55,217.75,28805
2023-05-29,223.75,228.6,212.3,220.05,39489
2023-05-30,218.95,229.6,214.55,223.7,26672
2023-05-31,229.9,229.9,220.05,225.5,34798
2023-06-01,224.9,228.9,215.55,219.5,56588
2023-06-02,224.2,224.2,216.35,220.9,30720
2023-06-05,231.9,231.9,224.95,231.85,92260
2023-06-06,235.95,238.0,222.5,225.0,67433
2023-06-07,234.9,234.9,215.0,219.75,143705
2023-06-08,230.0,230.0,212.35,221.5,72135
2023-06-09,221.65,226.0,219.05,224.7,50162
2023-06-12,220.15,247.15,220.15,247.15,115694
2023-06-13,254.95,271.85,249.05,271.2,156405
2023-06-14,268.0,283.95,260.0,268.95,85218
2023-06-15,275.8,275.8,258.0,271.2,44367
2023-06-16,272.25,272.25,258.0,261.0,49237
2023-06-19,270.8,270.8,259.0,260.1,32620
2023-06-20,262.7,264.9,254.5,258.7,51873
2023-06-21,268.9,278.2,258.5,272.9,61337
2023-06-22,283.95,283.95,263.05,268.25,81464
2023-06-23,263.7,270.0,260.1,267.45,32414
2023-06-26,260.0,287.95,253.55,276.5,43670
2023-06-27,279.95,281.9,266.0,269.1,43258
2023-06-28,269.1,273.95,263.0,265.65,36275
2023-06-30,264.95,270.0,253.95,261.1,67887
2023-07-03,264.4,279.0,261.85,266.35,37585
2023-07-04,270.0,280.1,267.05,267.9,20967
2023-07-05,288.9,288.9,270.25,274.35,72567
2023-07-06,284.9,284.9,270.6,271.45,91293
2023-07-07,282.05,282.05,266.65,269.7,63483
2023-07-10,280.0,289.0,264.0,264.35,27544
2023-07-11,268.0,272.2,261.3,269.45,27887
2023-07-12,275.95,275.95,264.2,265.45,23112
2023-07-13,269.85,270.0,257.15,260.65,36803
2023-07-14,260.0,270.55,256.95,270.15,18464
