Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-19,122.0,122.1,111.16,113.03,11720153,EQ,26353.0,444.74,9536045.0
2026-03-20,114.19,119.99,112.39,114.13,2516636,EQ,15956.0,157.72,757791.0
2026-03-23,114.74,115.67,105.62,108.11,1276138,EQ,14954.0,85.34,322244.0
2026-03-24,111.0,112.99,106.99,108.22,1107159,EQ,3308.0,334.69,894801.0
2026-03-25,110.0,111.74,105.0,106.5,950608,EQ,4672.0,203.47,670105.0
2026-03-27,106.0,106.0,102.0,102.98,2614014,EQ,3992.0,654.81,1532803.0
2026-03-30,103.0,106.5,101.7,102.4,1482753,EQ,5170.0,286.8,584823.0
2026-04-01,103.0,111.19,103.0,108.09,1048510,EQ,5189.0,202.06,437356.0
2026-04-02,104.0,121.6,104.0,119.66,1634440,EQ,11551.0,141.5,339764.0
2026-04-06,119.65,125.0,116.21,118.43,1694103,EQ,10870.0,155.85,740075.0
2026-04-07,117.83,124.7,116.48,122.73,1598454,EQ,7145.0,223.72,1005465.0
2026-04-08,125.0,127.0,122.16,124.66,1212854,EQ,7611.0,159.36,458914.0
2026-04-09,125.39,127.82,120.26,122.81,965094,EQ,7370.0,130.95,520536.0
2026-04-10,123.0,128.5,122.5,123.17,1322608,EQ,8265.0,160.03,599307.0
2026-04-13,123.0,130.0,118.0,123.83,2144703,EQ,9765.0,219.63,951640.0
2026-04-15,128.93,132.8,123.53,124.91,3611926,EQ,10629.0,339.82,1777280.0
2026-04-16,125.77,128.46,124.2,125.88,473722,EQ,3428.0,138.19,177107.0
2026-04-17,126.0,130.48,124.39,126.25,954425,EQ,5838.0,163.48,491990.0
2026-04-20,129.0,129.39,125.56,128.31,715494,EQ,4476.0,159.85,221233.0
2026-04-21,130.1,134.25,128.0,129.7,1195436,EQ,6973.0,171.44,557503.0
2026-04-22,130.9,130.9,126.91,128.4,1466371,EQ,4895.0,299.57,446180.0
2026-04-23,128.49,134.58,128.49,131.95,1933377,EQ,9204.0,210.06,1016628.0
2026-04-24,134.95,135.75,130.05,132.23,1137701,EQ,6242.0,182.27,709300.0
2026-04-27,134.6,134.95,131.5,133.41,1100868,EQ,3817.0,288.41,743775.0
2026-04-28,135.0,142.92,134.5,137.65,2358306,EQ,10767.0,219.03,1414454.0
2026-04-29,137.9,141.9,137.03,138.23,596804,EQ,5750.0,103.79,261868.0
2026-04-30,138.69,141.12,138.0,138.39,283228,EQ,3176.0,89.18,96021.0
2026-05-04,139.7,140.0,137.01,138.29,340582,EQ,2025.0,168.19,224004.0
2026-05-05,138.95,143.4,136.2,137.61,1889796,EQ,11360.0,166.36,452156.0
2026-05-06,138.87,142.0,135.15,136.96,977655,EQ,4873.0,200.63,556284.0
2026-05-07,137.94,141.0,136.07,137.37,302265,EQ,3071.0,98.43,88030.0
2026-05-08,137.99,139.9,134.05,135.09,255901,EQ,2345.0,109.13,112614.0
2026-05-11,132.6,144.9,130.6,141.61,974539,EQ,7694.0,126.66,401059.0
2026-05-12,141.57,143.69,138.1,138.41,271874,EQ,2999.0,90.65,130877.0
2026-05-13,137.16,141.95,137.16,138.99,379790,EQ,4272.0,88.9,137544.0
2026-05-14,139.67,139.95,131.3,135.99,906813,EQ,3969.0,228.47,505740.0
2026-05-15,136.0,141.3,135.3,138.67,551105,EQ,3451.0,159.69,317932.0
2026-05-18,138.66,138.66,130.5,133.01,1394171,EQ,5304.0,262.85,1027267.0
2026-05-19,133.05,139.0,131.2,132.06,1168040,EQ,4242.0,275.35,709074.0
2026-05-20,132.0,134.7,130.67,131.32,1562731,EQ,4800.0,325.57,844757.0
2026-05-21,133.0,133.27,131.2,131.93,836994,EQ,3110.0,269.13,513679.0
2026-05-22,137.88,137.88,130.17,130.97,1111010,EQ,4131.0,268.94,459254.0
