Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,7600.0,7600.0,7402.0,7573.6,364,EQ,181.0,2.01,305.0
2026-04-21,7573.99,7600.0,7360.0,7592.47,463,EQ,205.0,2.26,401.0
2026-04-22,7592.46,7600.0,7426.0,7520.55,938,EQ,370.0,2.54,655.0
2026-04-23,7500.0,7600.0,7500.0,7570.9,518,EQ,91.0,5.69,472.0
2026-04-24,7579.97,7579.97,7410.0,7474.27,205,EQ,147.0,1.39,129.0
2026-04-27,7597.99,7597.99,7431.05,7497.99,210,EQ,108.0,1.94,145.0
2026-04-28,7497.98,7497.98,7430.55,7479.19,430,EQ,303.0,1.42,306.0
2026-04-29,7360.0,7489.97,7360.0,7474.16,183,EQ,89.0,2.06,137.0
2026-04-30,7473.97,7495.0,7399.42,7460.01,275,EQ,101.0,2.72,171.0
2026-05-04,7555.0,7555.0,7266.0,7409.0,296,EQ,155.0,1.91,223.0
2026-05-05,7351.0,7614.5,7351.0,7362.0,343,EQ,136.0,2.52,249.0
2026-05-06,7425.0,7470.0,7331.0,7356.0,397,EQ,157.0,2.53,307.0
2026-05-07,7399.5,7469.0,7390.5,7417.0,316,EQ,158.0,2.0,247.0
2026-05-08,7415.0,7500.0,7381.0,7494.5,427,EQ,213.0,2.0,275.0
2026-05-11,7500.0,7500.0,7200.0,7345.0,988,EQ,325.0,3.04,801.0
2026-05-12,7256.0,7439.5,7256.0,7295.0,524,EQ,216.0,2.43,299.0
2026-05-13,7311.5,7341.5,7207.0,7235.5,5315,EQ,242.0,21.96,5126.0
2026-05-14,7201.5,7293.0,7130.5,7184.5,349,EQ,166.0,2.1,274.0
2026-05-15,7184.5,7246.0,7109.0,7170.0,1926,EQ,298.0,6.46,1802.0
2026-05-18,7154.5,7278.5,7124.0,7249.5,399,EQ,186.0,2.15,272.0
2026-05-19,7319.0,7389.0,7142.5,7170.5,884,EQ,292.0,3.03,688.0
2026-05-20,7156.5,7280.0,7140.0,7206.0,603,EQ,164.0,3.68,526.0
2026-05-21,7242.5,7250.0,7111.0,7171.5,894,EQ,291.0,3.07,723.0
2026-05-22,7170.0,7225.0,7140.5,7200.5,380,EQ,194.0,1.96,257.0
2026-05-25,7307.0,7307.0,7165.5,7192.0,1300,EQ,415.0,3.13,1177.0
2026-05-26,7192.5,7244.5,7170.5,7193.0,627,EQ,339.0,1.85,526.0
2026-05-27,7198.0,7449.0,7197.5,7339.5,1673,EQ,401.0,4.17,1304.0
