Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,34.95,34.95,25.2,28.05,3366847,EQ,723.0,4656.77,3009876.0
2026-04-21,28.9,30.05,28.3,28.65,82001,EQ,233.0,351.94,62971.0
2026-04-22,29.4,29.4,26.5,27.8,43300,EQ,415.0,104.34,30309.0
2026-04-23,27.15,28.7,27.15,27.75,25474,EQ,135.0,188.7,21775.0
2026-04-24,27.75,28.0,26.95,27.65,21834,EQ,156.0,139.96,15781.0
2026-04-27,27.95,28.5,27.65,27.75,74700,EQ,118.0,633.05,72616.0
2026-04-28,28.4,28.4,27.3,27.6,21259,EQ,95.0,223.78,18651.0
2026-04-29,27.75,28.0,26.6,27.15,87519,EQ,157.0,557.45,78702.0
2026-04-30,27.35,27.55,27.3,27.3,3085,EQ,10.0,308.5,2601.0
2026-05-04,27.7,27.7,27.2,27.22,889,EQ,27.0,32.93,750.0
2026-05-05,27.93,27.95,26.83,26.97,31330,EQ,106.0,295.57,27729.0
2026-05-06,27.5,27.5,25.5,26.7,126891,EQ,344.0,368.87,97230.0
2026-05-07,27.29,27.89,26.99,27.38,8084,EQ,38.0,212.74,6918.0
2026-05-08,27.93,27.93,27.17,27.59,4105,EQ,29.0,141.55,3096.0
2026-05-11,27.94,27.94,26.7,27.53,10009,EQ,44.0,227.48,5644.0
2026-05-12,27.5,27.68,27.1,27.1,3963,EQ,10.0,396.3,3963.0
2026-05-13,26.6,27.89,26.6,27.85,988,EQ,12.0,82.33,826.0
2026-05-14,27.85,33.4,27.5,32.27,65360,EQ,404.0,161.78,38972.0
2026-05-15,32.27,35.6,29.25,30.33,76358,EQ,707.0,108.0,40546.0
2026-05-18,28.76,32.95,28.76,30.25,110788,EQ,823.0,134.61,26448.0
2026-05-19,29.76,31.9,29.76,30.35,11920,EQ,102.0,116.86,5250.0
2026-05-20,30.06,30.39,29.13,29.59,8244,EQ,75.0,109.92,4841.0
2026-05-21,30.8,30.8,29.0,29.36,12928,EQ,62.0,208.52,10812.0
2026-05-22,28.4,31.65,28.4,29.88,13630,EQ,92.0,148.15,8458.0
2026-05-25,30.49,34.0,28.15,30.06,75383,EQ,466.0,161.77,40669.0
2026-05-26,29.41,30.8,29.19,29.43,15402,EQ,75.0,205.36,11628.0
2026-05-27,29.43,30.45,28.76,28.88,11441,EQ,97.0,117.95,8557.0
2026-05-29,29.44,29.89,29.0,29.07,1513,EQ,30.0,50.43,1467.0
2026-06-01,30.0,31.3,29.0,29.0,3239,EQ,37.0,87.54,2958.0
2026-06-02,30.24,30.24,28.6,29.93,2755,EQ,46.0,59.89,2308.0
2026-06-03,30.0,30.0,28.3,29.77,1192,EQ,24.0,49.67,1138.0
2026-06-04,29.7,30.0,28.66,29.5,1077,EQ,52.0,20.71,830.0
2026-06-05,30.0,30.0,28.58,28.76,1344,EQ,19.0,70.74,1294.0
2026-06-08,29.2,29.45,28.5,28.5,875,EQ,18.0,48.61,855.0
2026-06-09,30.65,32.4,28.55,30.36,80887,EQ,696.0,116.22,24223.0
2026-06-10,29.26,30.85,28.21,29.11,39762,EQ,335.0,118.69,37264.0
2026-06-11,29.0,30.0,28.01,28.32,9012,EQ,82.0,109.9,6916.0
2026-06-12,28.7,29.85,28.7,29.57,4019,EQ,30.0,133.97,966.0
2026-06-15,28.6,30.83,28.6,29.1,1691,EQ,30.0,56.37,1446.0
2026-06-16,28.72,29.98,28.05,28.73,33055,EQ,163.0,202.79,21099.0
2026-06-17,29.49,29.49,28.85,28.85,113,EQ,6.0,18.83,108.0
2026-06-18,28.8,29.72,28.75,29.31,810,EQ,27.0,30.0,791.0
2026-06-19,29.0,29.74,29.0,29.24,8462,EQ,16.0,528.88,8462.0
2026-06-22,31.6,31.6,28.2,29.28,2467,EQ,45.0,54.82,1309.0
2026-06-23,29.0,29.3,28.59,28.61,957,EQ,11.0,87.0,957.0
2026-06-24,28.8,28.8,28.21,28.21,80,EQ,7.0,11.43,80.0
2026-06-25,28.58,29.4,28.2,29.0,2421,EQ,24.0,100.88,2273.0
2026-06-29,29.0,29.0,28.99,28.99,12,EQ,3.0,4.0,12.0
2026-06-30,28.98,29.99,28.7,29.02,2053,EQ,12.0,171.08,1941.0
2026-07-02,29.0,29.6,29.0,29.54,486,EQ,9,54.0,447
2026-07-03,29.4,29.4,29.4,29.4,3,EQ,2,1.5,3
2026-07-06,29.26,32.0,28.72,31.68,10814,EQ,79,136.89,8823
2026-07-07,33.17,33.17,30.0,30.27,19365,EQ,275,70.42,10765
2026-07-08,31.83,31.83,29.15,29.64,4285,EQ,78,54.94,3698
2026-07-09,29.65,30.98,29.65,29.97,633,EQ,12,52.75,520
2026-07-10,31.29,31.3,30.03,31.0,3317,EQ,28,118.46,2923
2026-07-13,31.15,31.15,29.55,30.8,201,EQ,11,18.27,201
2026-07-14,29.26,30.9,29.26,29.32,599,EQ,16,37.44,558
2026-07-15,29.36,30.9,29.36,29.8,2598,EQ,25,103.92,2435
2026-07-16,29.36,30.89,29.36,30.74,703,EQ,12,58.58,283
2026-07-17,30.87,30.87,29.34,29.66,148,EQ,12,12.33,132
2026-07-20,29.66,30.89,29.05,30.36,408,EQ,15,27.2,335
2026-07-21,30.9,30.9,29.16,29.5,7130,EQ,14,509.29,6964
