Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-18,157.45,174.0,155.0,155.82,1224,EQ,31,39.48,1224
2026-08-19,169.96,170.0,158.0,164.0,1270,EQ,24,52.92,614
2026-08-20,164.5,169.9,160.0,160.0,294,EQ,9,32.67,292
2026-08-21,160.0,180.0,130.01,165.97,2180,EQ,46,47.39,1994
2026-08-24,165.97,165.97,157.0,160.0,1080,EQ,27,40.0,1080
2026-08-25,164.9,164.9,156.0,163.9,1055,EQ,27,39.07,931
2026-08-26,163.09,163.09,163.09,163.09,3,EQ,1,3.0,3
2026-08-27,163.9,166.0,163.89,165.38,965,EQ,25,38.6,965
2026-08-28,165.4,165.4,165.4,165.4,513,EQ,6,85.5,513
2026-08-31,166.22,166.22,154.0,162.95,1984,EQ,43,46.14,1181
