Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-04-08,,,,9569.35,87861386,29.3,,,,
2025-04-09,,,,9559.65,72946822,29.27,,,,
2025-04-11,,,,9671.6,78097147,29.61,,,,
2025-04-15,,,,9851.37,81517124,30.17,,,,
2025-04-16,,,,9886.7,58861680,30.28,,,,
2025-04-17,,,,9943.69,102860646,30.45,,,,
2025-04-21,,,,10083.69,100732310,30.88,,,,
2025-04-22,,,,10150.73,101645611,31.09,,,,
2025-04-23,,,,10344.79,107742419,31.71,,,,
2025-04-24,,,,10313.73,119833797,31.57,,,,
2025-04-25,,,,10220.57,159176318,31.28,,,,
2025-04-28,,,,10264.29,69131656,31.14,,,,
2025-04-29,,,,10316.72,66727384,31.31,,,,
2025-04-30,,,,10341.82,107050096,31.38,,,,
2025-05-02,,,,10316.4,117674325,31.31,,,,
2025-05-05,,,,10387.09,70430884,31.52,,,,
2025-05-06,,,,10297.45,75103952,31.26,,,,
2025-05-07,,,,10303.99,77708144,31.26,,,,
2025-05-08,,,,10235.67,93728845,31.05,,,,
2025-05-09,,,,10144.49,56080575,30.73,,,,
2025-05-12,,,,10597.41,70723110,32.1,,,,
2025-05-13,,,,10496.61,82210757,31.97,,,,
2025-05-14,,,,10555.41,58591146,32.14,,,,
2025-05-15,,,,10692.69,90476650,32.56,,,,
2025-05-16,,,,10733.2,67592451,32.67,,,,
2025-05-19,,,,10712.21,56271486,32.61,,,,
2025-05-20,,,,10583.82,66412489,32.25,,,,
2025-05-21,,,,10639.77,45900525,32.42,,,,
2025-05-22,,,,10528.7,70536765,32.01,,,,
2025-05-23,,,,10627.85,52652683,32.32,,,,
2025-05-26,,,,10724.49,45537315,32.93,,,,
2025-05-27,,,,10676.49,77608877,32.78,,,,
2025-05-28,,,,10626.41,473348116,32.63,,,,
2025-05-29,,,,10675.43,85246015,32.78,,,,
2025-05-30,,,,10581.56,115704783,32.49,,,,
2025-06-02,,,,10602.67,77087879,32.67,,,,
2025-06-03,,,,10554.9,70754078,32.57,,,,
2025-06-04,,,,10601.85,70247192,32.72,,,,
2025-06-05,,,,10644.87,74015364,32.85,,,,
2025-06-06,,,,10716.87,67836715,33.06,,,,
2025-06-09,,,,10781.36,77882773,33.26,,,,
2025-06-10,,,,10830.17,80289672,33.41,,,,
2025-06-11,,,,10839.23,145430337,33.44,,,,
2025-06-12,,,,10708.4,98096179,33.03,,,,
2025-06-13,,,,10673.19,66859963,32.93,,,,
2025-06-16,,,,10798.77,54324629,33.31,,,,
2025-06-17,,,,10813.32,58952685,33.36,,,,
2025-06-18,,,,10768.53,50405705,33.22,,,,
2025-06-19,,,,10650.69,56371960,32.86,,,,
2025-06-20,,,,10769.13,87639697,33.22,,,,
2025-06-23,,,,10696.83,57428026,33,,,,
2025-06-24,,,,10708.52,74462814,33.04,,,,
2025-06-25,,,,10818.15,64859151,33.37,,,,
2025-06-26,,,,10845.28,87792563,33.46,,,,
2025-06-27,,,,10881.14,104567162,33.57,,,,
2025-06-30,,,,10898.07,65818276,31.87,,,,
2025-07-01,,,,10876.61,61842006,31.81,,,,
2025-07-02,,,,10857.73,72206656,31.75,,,,
2025-07-03,,,,10862.19,60324598,31.76,,,,
2025-07-04,,,,10866.04,51943179,31.76,,,,
2025-07-07,,,,10878.51,43597585,31.79,,,,
2025-07-08,,,,10893.09,71923703,31.84,,,,
2025-07-09,,,,10915.3,72523061,31.9,,,,
2025-07-10,,,,10871.56,49255420,31.77,,,,
2025-07-11,,,,10785.39,69504817,31.52,,,,
2025-07-14,,,,10784.27,55687953,31.53,,,,
2025-07-15,,,,10873.66,66366448,31.79,,,,
2025-07-16,,,,10907.52,56935088,31.89,,,,
2025-07-17,,,,10872.64,62650738,31.79,,,,
2025-07-18,,,,10807.4,47814157,31.58,,,,
2025-07-21,,,,10857.07,54933503,31.91,,,,
2025-07-22,,,,10822.26,60965915,31.81,,,,
2025-07-23,,,,10826.56,66243865,31.82,,,,
2025-07-24,,,,10571.96,201737065,31.04,,,,
2025-07-25,,,,10414.83,352542190,30.51,,,,
2025-07-28,,,,10319.07,138125158,30.05,,,,
2025-07-29,,,,10375.12,103653367,30.14,,,,
2025-07-30,,,,10402.08,85870721,30.25,,,,
2025-07-31,,,,10356.44,100396342,30.12,,,,
2025-08-01,,,,10253.68,70717196,29.79,,,,
2025-08-04,,,,10357.78,75147735,30.08,,,,
2025-08-05,,,,10316.92,75628990,29.95,,,,
2025-08-06,,,,10238.05,64253211,29.71,,,,
2025-08-07,,,,10302.02,64134700,29.9,,,,
2025-08-08,,,,10201.64,86667098,29.61,,,,
2025-08-11,,,,10236.97,52955377,29.66,,,,
2025-08-12,,,,10245.38,104036230,29.69,,,,
2025-08-13,,,,10291.1,73996655,29.82,,,,
2025-08-14,,,,10301.59,62646282,29.95,,,,
2025-08-18,,,,10430.61,87437164,30.33,,,,
2025-08-19,,,,10502.11,56393300,30.69,,,,
2025-08-20,,,,10618.25,82110285,31.03,,,,
2025-08-21,,,,10595.88,67037474,30.96,,,,
2025-08-22,,,,10544.21,61040667,30.81,,,,
2025-08-25,,,,10566.81,73312879,30.88,,,,
2025-08-26,,,,10448.21,104413647,30.53,,,,
2025-08-28,,,,10307.91,78289803,30.12,,,,
2025-08-29,,,,10308.71,81208630,30.12,,,,
2025-09-01,,,,10479.06,63247167,30.62,,,,
2025-09-02,,,,10494.1,68556422,30.67,,,,
2025-09-03,,,,10513.56,55616700,30.72,,,,
2025-09-04,,,,10484.72,82034214,30.64,,,,
2025-09-05,,,,10447.73,60989857,30.53,,,,
2025-09-08,,,,10470.51,45919524,30.6,,,,
2025-09-09,,,,10561.9,62158193,30.86,,,,
2025-09-10,,,,10681.11,67548204,31.21,,,,
2025-09-11,,,,10673.15,60229526,31.19,,,,
2025-09-12,,,,10674.87,57949575,31.19,,,,
2025-09-15,,,,10659.89,48523616,31.15,,,,
