Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-24,328.0,364.0,328.0,356.25,8598096,EQ,67113.0,128.11,5173393.0
2026-03-25,355.0,375.0,345.65,352.95,1458067,EQ,28386.0,51.37,180291.0
2026-03-27,350.3,363.0,342.2,356.55,486910,EQ,6752.0,72.11,180922.0
2026-03-30,350.9,354.5,335.1,337.9,117649,EQ,3165.0,37.17,43031.0
2026-04-01,345.05,399.8,345.05,390.9,900323,EQ,15925.0,56.54,323048.0
2026-04-02,380.25,385.0,366.0,367.7,415915,EQ,8355.0,49.78,136725.0
2026-04-06,367.65,397.95,367.05,385.85,430790,EQ,5661.0,76.1,215807.0
2026-04-07,389.3,398.4,383.55,390.7,438974,EQ,4158.0,105.57,322979.0
2026-04-08,399.0,399.0,376.85,386.15,451063,EQ,4864.0,92.73,313158.0
2026-04-09,388.5,406.9,385.1,387.05,548372,EQ,6958.0,78.81,317436.0
2026-04-10,387.15,397.0,387.15,389.85,238286,EQ,4497.0,52.99,124296.0
2026-04-13,385.0,409.3,375.0,390.3,545084,EQ,11329.0,48.11,253513.0
2026-04-15,396.35,420.0,392.6,413.3,402890,EQ,7305.0,55.15,219625.0
2026-04-16,420.0,422.1,398.3,404.9,439919,EQ,5451.0,80.7,277264.0
2026-04-17,408.85,423.5,405.35,421.75,180705,EQ,3873.0,46.66,85621.0
2026-04-20,425.95,426.4,406.25,409.5,200639,EQ,4699.0,42.7,99330.0
2026-04-21,411.15,418.0,405.2,407.4,48476,EQ,1521.0,31.87,23201.0
2026-04-22,414.2,418.0,407.5,414.55,46194,EQ,1092.0,42.3,18894.0
2026-04-23,414.7,429.05,412.85,414.7,99075,EQ,2653.0,37.34,38503.0
2026-04-24,420.9,420.9,410.0,412.75,37211,EQ,1544.0,24.1,20317.0
2026-04-27,412.75,438.95,412.75,415.8,134488,EQ,3685.0,36.5,47895.0
2026-04-28,418.0,422.5,409.0,411.4,32661,EQ,1309.0,24.95,17978.0
2026-04-29,414.0,426.95,414.0,418.65,97781,EQ,1565.0,62.48,74187.0
2026-04-30,422.0,428.0,414.05,421.1,81221,EQ,2057.0,39.49,31923.0
2026-05-04,418.3,435.0,418.3,426.85,122432,EQ,2441.0,50.16,79657.0
2026-05-05,426.85,444.0,426.85,434.1,376295,EQ,3310.0,113.68,198183.0
2026-05-06,436.9,438.95,430.0,431.7,75558,EQ,1508.0,50.1,13166.0
2026-05-07,427.0,439.8,425.55,431.8,151813,EQ,2506.0,60.58,25251.0
2026-05-08,430.0,450.0,415.75,421.55,329270,EQ,8606.0,38.26,79638.0
2026-05-11,425.05,428.85,409.0,411.5,156453,EQ,2619.0,59.74,27583.0
2026-05-12,411.55,442.0,407.05,420.8,324961,EQ,5774.0,56.28,131793.0
2026-05-13,422.9,429.9,420.0,420.2,141591,EQ,1824.0,77.63,22882.0
2026-05-14,415.35,440.0,411.1,433.45,315329,EQ,3452.0,91.35,147865.0
2026-05-15,439.0,441.5,421.65,427.8,164726,EQ,2766.0,59.55,24958.0
2026-05-18,425.0,428.7,412.3,421.35,189354,EQ,4629.0,40.91,51994.0
2026-05-19,427.6,438.0,421.0,433.95,143192,EQ,1844.0,77.65,23427.0
2026-05-20,427.4,448.15,426.55,440.95,157810,EQ,1839.0,85.81,28672.0
2026-05-21,444.0,444.0,431.9,435.65,120694,EQ,957.0,126.12,10649.0
2026-05-22,435.65,446.0,432.35,445.4,263679,EQ,3084.0,85.5,109407.0
2026-05-25,445.5,467.0,433.5,439.75,511464,EQ,8267.0,61.87,236744.0
2026-05-26,439.8,465.2,439.0,455.75,433253,EQ,5156.0,84.03,219711.0
2026-05-27,449.9,472.0,430.3,441.25,467598,EQ,7689.0,60.81,233263.0
2026-05-29,445.0,447.75,430.55,435.45,165873,EQ,3389.0,48.94,35692.0
2026-06-01,435.4,447.95,430.55,435.55,184440,EQ,1382.0,133.46,64092.0
2026-06-02,430.1,443.0,422.25,426.65,148008,EQ,2212.0,66.91,22106.0
2026-06-03,426.6,444.0,420.0,435.6,175876,EQ,3505.0,50.18,26129.0
2026-06-04,435.45,456.7,435.4,448.45,159114,EQ,2660.0,59.82,27317.0
2026-06-05,449.75,450.95,436.0,440.15,138239,EQ,2583.0,53.52,20352.0
2026-06-08,443.1,443.1,422.15,436.05,169288,EQ,3178.0,53.27,31004.0
2026-06-09,440.0,443.9,428.55,435.5,150690,EQ,2201.0,68.46,26491.0
2026-06-10,439.0,440.0,424.85,428.95,200025,EQ,4404.0,45.42,46824.0
2026-06-11,433.25,438.95,421.0,434.3,169840,EQ,2199.0,77.24,30380.0
2026-06-12,437.95,453.0,435.7,449.9,157580,EQ,3057.0,51.55,22337.0
2026-06-15,454.5,474.3,451.0,456.6,320776,EQ,7685.0,41.74,109184.0
2026-06-16,457.6,476.0,451.15,457.0,286020,EQ,8295.0,34.48,88151.0
2026-06-17,459.4,460.05,447.1,450.1,212089,EQ,4366.0,48.58,64558.0
