Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,85.0,88.95,81.05,81.85,14641,EQ,90.0,162.68,12996.0
2026-04-21,88.95,88.95,80.05,82.25,15077,EQ,261.0,57.77,11614.0
2026-04-22,84.85,86.0,81.75,83.2,5667,EQ,160.0,35.42,5264.0
2026-04-23,83.25,83.85,79.85,81.65,31233,EQ,802.0,38.94,16102.0
2026-04-24,84.8,84.8,80.75,81.25,10525,EQ,147.0,71.6,7939.0
2026-04-27,83.85,83.85,80.1,82.1,10016,EQ,237.0,42.26,6909.0
2026-04-28,79.05,84.0,79.0,83.55,12891,EQ,227.0,56.79,7481.0
2026-04-29,83.85,85.95,81.5,83.05,30161,EQ,760.0,39.69,14728.0
2026-04-30,83.95,83.95,80.7,82.65,8853,EQ,261.0,33.92,5921.0
2026-05-04,82.65,83.87,79.98,81.7,94543,EQ,695.0,136.03,88829.0
2026-05-05,81.71,83.36,79.81,80.17,28156,EQ,441.0,63.85,17427.0
2026-05-06,83.99,83.99,80.2,81.76,14499,EQ,439.0,33.03,9863.0
2026-05-07,82.16,84.97,82.16,84.04,22710,EQ,374.0,60.72,17306.0
2026-05-08,83.99,84.8,83.0,83.39,16721,EQ,348.0,48.05,11296.0
2026-05-11,84.6,85.0,83.0,84.49,27557,EQ,397.0,69.41,22458.0
2026-05-12,84.59,85.76,79.15,81.65,35827,EQ,601.0,59.61,28740.0
2026-05-13,80.4,82.99,80.0,81.85,24032,EQ,363.0,66.2,13574.0
2026-05-14,81.85,82.47,79.6,80.88,42559,EQ,442.0,96.29,29988.0
2026-05-15,80.88,83.18,80.88,81.67,11006,EQ,170.0,64.74,5448.0
2026-05-18,83.0,83.0,77.0,77.82,25936,EQ,381.0,68.07,17854.0
2026-05-19,79.94,81.59,77.98,79.21,17954,EQ,354.0,50.72,10556.0
2026-05-20,84.5,84.5,80.2,80.96,6147,EQ,219.0,28.07,3924.0
2026-05-21,80.25,81.54,79.2,80.13,34313,EQ,709.0,48.4,23038.0
2026-05-22,80.26,80.77,78.5,78.89,7171,EQ,163.0,43.99,4323.0
2026-05-25,80.0,80.0,78.5,78.96,21735,EQ,274.0,79.32,14403.0
2026-05-26,78.02,79.8,77.42,77.84,26614,EQ,252.0,105.61,18797.0
2026-05-27,78.0,80.68,77.01,79.68,12554,EQ,221.0,56.81,7214.0
2026-05-29,83.4,83.4,77.61,78.3,29365,EQ,578.0,50.8,18368.0
2026-06-01,78.3,79.88,78.3,78.69,10823,EQ,160.0,67.64,8540.0
2026-06-02,77.24,80.54,75.6,78.62,26302,EQ,331.0,79.46,20938.0
2026-06-03,76.3,79.79,76.0,77.24,15684,EQ,324.0,48.41,10159.0
2026-06-04,77.23,78.58,75.55,76.32,11934,EQ,279.0,42.77,7983.0
2026-06-05,76.78,76.83,74.15,74.51,39355,EQ,719.0,54.74,22024.0
