Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-19,505.0,517.0,480.1,490.8,101572434,EQ,1339687.0,75.82,45280176.0
2025-11-20,499.0,513.0,478.5,480.15,21203762,EQ,284111.0,74.63,4960908.0
2025-11-21,473.0,489.0,470.85,475.85,7262990,EQ,105843.0,68.62,2626361.0
2025-11-24,476.7,504.0,473.9,496.75,10791518,EQ,185682.0,58.12,3473087.0
2025-11-25,498.0,504.8,489.75,501.15,5600010,EQ,98107.0,57.08,1508907.0
2025-11-26,504.0,513.0,482.0,490.75,5022364,EQ,79758.0,62.97,1537895.0
2025-11-27,491.25,504.0,488.3,490.4,2810553,EQ,52499.0,53.54,831977.0
2025-11-28,491.0,497.3,482.0,483.95,2582800,EQ,60330.0,42.81,916178.0
2025-12-01,485.45,488.3,474.5,477.15,1507233,EQ,42974.0,35.07,702939.0
2025-12-02,475.95,491.95,464.1,487.75,2774396,EQ,68984.0,40.22,1016907.0
2025-12-03,488.2,497.65,482.1,492.6,2436232,EQ,71201.0,34.22,851594.0
2025-12-04,491.9,502.95,487.0,490.2,1867762,EQ,44418.0,42.05,683711.0
2025-12-05,492.0,497.0,488.6,490.15,2311434,EQ,44134.0,52.37,1088868.0
2025-12-08,490.15,495.5,489.05,491.35,1651206,EQ,47776.0,34.56,956237.0
2025-12-09,485.0,499.85,477.9,491.65,1990862,EQ,37928.0,52.49,781108.0
2025-12-10,491.7,498.75,470.0,473.9,1083095,EQ,32072.0,33.77,401961.0
2025-12-11,474.95,480.0,470.0,475.0,817058,EQ,27951.0,29.23,371725.0
2025-12-12,477.0,483.7,471.0,473.0,561582,EQ,20638.0,27.21,239854.0
2025-12-15,470.0,475.6,454.7,460.2,927201,EQ,30900.0,30.01,448712.0
2025-12-16,460.2,467.4,447.45,460.1,1310471,EQ,39837.0,32.9,617374.0
2025-12-17,456.0,459.0,440.5,443.95,1943682,EQ,59451.0,32.69,1101618.0
2025-12-18,443.95,473.95,438.05,469.85,3812788,EQ,76646.0,49.75,1770614.0
2025-12-19,469.3,485.0,463.7,482.15,1153059,EQ,42559.0,27.09,532670.0
2025-12-22,480.1,484.45,474.25,478.0,584466,EQ,32382.0,18.05,275126.0
2025-12-23,477.85,507.9,474.0,497.75,3116627,EQ,84855.0,36.73,1256673.0
2025-12-24,495.6,507.35,492.85,495.75,1360987,EQ,53465.0,25.46,473231.0
2025-12-26,498.55,522.5,496.3,516.45,4612061,EQ,106564.0,43.28,1843591.0
2025-12-29,521.0,521.75,500.0,501.0,816313,EQ,36238.0,22.53,276170.0
