Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2019-01-22,860.0,860.0,860.0,860.0,30,BE,,,
2019-01-23,903.0,903.0,903.0,903.0,147,BE,,,
2019-01-24,948.15,948.15,948.15,948.15,110,BE,,,
2019-01-25,995.55,995.55,995.55,995.55,150,BE,,,
2019-01-28,1044.7,1045.3,1044.7,1045.3,3724,BE,,,
2019-01-29,1097.55,1097.55,1001.0,1040.0,38592,BE,,,
2019-01-30,1049.85,1049.85,1003.0,1034.2,7091,BE,,,
2019-01-31,1000.0,1040.0,995.0,1031.35,12186,BE,,,
2019-02-01,1030.0,1058.2,1030.0,1047.25,81285,BE,,,
2019-02-04,1020.0,1057.0,1020.0,1044.55,86316,BE,,,
2019-02-05,1030.0,1050.0,1030.0,1047.2,67809,EQ,,,
2019-02-06,1060.0,1060.0,1041.05,1050.0,83415,EQ,,,
2019-02-07,1044.0,1124.95,1042.05,1119.6,26427,EQ,,,
2019-02-08,1100.05,1107.55,1077.7,1098.25,129076,EQ,,,
2019-02-11,1095.05,1100.45,1085.0,1087.4,215403,EQ,,,
2019-02-12,1084.05,1094.5,1050.0,1079.55,112186,EQ,,,
2019-02-13,1089.9,1089.9,1065.05,1077.5,73764,EQ,,,
2019-02-14,1062.05,1097.7,1062.0,1068.0,93988,EQ,,,
2019-02-15,1066.05,1075.7,1059.35,1067.25,22648,EQ,,,
2019-02-18,1048.0,1063.65,1042.0,1050.45,64585,EQ,,,
2019-02-19,1039.9,1089.9,1039.9,1076.9,57268,EQ,,,
2019-02-20,1089.95,1096.0,1053.75,1077.55,27235,EQ,,,
2019-02-21,1070.7,1135.95,1056.45,1129.1,95542,EQ,,,
2019-02-22,1106.9,1159.8,1094.95,1143.5,22781,EQ,,,
2019-02-25,1142.5,1169.0,1137.2,1165.8,26081,EQ,,,
2019-02-26,1140.1,1179.7,1075.0,1175.6,49756,EQ,,,
2019-02-27,1179.95,1219.7,1159.35,1214.4,114195,EQ,,,
2019-02-28,1151.0,1205.0,1088.0,1153.2,1285790,EQ,,,
2019-03-01,1150.0,1197.0,1145.1,1171.8,472576,EQ,,,
2019-03-05,1150.0,1192.0,1148.15,1185.85,79044,EQ,,,
2019-03-06,1186.9,1204.8,1156.55,1178.15,49599,EQ,,,
2019-03-07,1179.05,1186.0,1105.0,1138.2,555854,EQ,,,
2019-03-08,1133.9,1153.0,1126.0,1132.7,6826,EQ,,,
2019-03-11,1122.15,1161.55,1122.15,1149.2,61197,EQ,,,
2019-03-12,1151.0,1159.8,1138.55,1151.6,105409,EQ,,,
2019-03-13,1155.8,1162.0,1140.8,1155.3,65735,EQ,,,
2019-03-14,1150.85,1155.0,1116.0,1124.85,64908,EQ,,,
2019-03-15,1126.0,1130.0,1076.25,1112.65,139390,EQ,,,
2019-03-18,1079.3,1099.9,1012.05,1040.45,153868,EQ,,,
2019-03-19,1030.2,1063.0,1003.85,1009.9,99187,EQ,,,
2019-03-20,1009.9,1030.85,989.7,1021.8,223764,EQ,,,
2019-03-22,1023.95,1030.0,1008.1,1015.95,88959,EQ,,,
2019-03-25,1015.85,1016.0,985.0,990.55,59583,EQ,,,
2019-03-26,988.0,1000.0,980.0,990.45,70471,EQ,,,
2019-03-27,1000.0,1000.0,975.0,987.45,243460,EQ,,,
2019-03-28,990.0,1000.0,966.05,989.4,352603,EQ,,,
2019-03-29,995.9,995.9,978.05,989.5,422417,EQ,,,
2019-04-01,999.95,1009.05,984.65,990.0,1356848,EQ,,,
2019-04-02,1000.15,1155.0,1000.0,1073.25,579896,EQ,,,
2019-04-03,1075.0,1120.0,1068.95,1107.85,76142,EQ,,,
2019-04-04,1107.0,1150.0,1099.85,1144.25,205571,EQ,,,
2019-04-05,1140.0,1148.9,1100.6,1115.1,59389,EQ,,,
2019-04-08,1110.0,1137.0,1081.65,1089.2,75830,EQ,,,
2019-04-09,1095.05,1103.75,1061.25,1068.5,85018,EQ,,,
2019-04-10,1074.55,1096.7,1053.0,1063.3,97361,EQ,,,
2019-04-11,1063.0,1124.8,1061.65,1114.9,82941,EQ,,,
2019-04-12,1119.0,1119.0,1081.0,1101.6,98557,EQ,,,
2019-04-15,1106.5,1115.0,1081.0,1087.35,29501,EQ,,,
2019-04-16,1082.25,1120.0,1080.25,1115.1,90670,EQ,,,
2019-04-18,1090.0,1114.2,1082.75,1090.45,42864,EQ,,,
2019-04-22,1075.25,1092.4,1048.75,1059.3,14940,EQ,,,
2019-04-23,1065.55,1097.0,1056.1,1077.55,23588,EQ,,,
2019-04-24,1087.9,1097.0,1062.75,1087.6,323487,EQ,,,
2019-04-25,1100.0,1179.15,1084.15,1139.7,143001,EQ,,,
2019-04-26,1139.7,1174.95,1138.7,1148.4,33762,EQ,,,
2019-04-30,1125.0,1154.0,1125.0,1148.35,27976,EQ,,,
2019-05-02,1114.8,1135.8,1102.25,1114.0,31864,EQ,,,
2019-05-03,1110.1,1114.0,1070.0,1098.85,25459,EQ,,,
2019-05-06,1070.45,1122.0,1070.45,1112.5,9474,EQ,,,
2019-05-07,1118.0,1141.0,1115.55,1123.55,60984,EQ,,,
2019-05-08,1115.2,1124.25,1101.9,1109.65,11153,EQ,,,
2019-05-09,1114.5,1125.0,1105.25,1116.5,34163,EQ,,,
2019-05-10,1148.0,1148.0,1076.45,1116.0,48504,EQ,,,
2019-05-13,1119.35,1129.15,1061.65,1070.55,12422,EQ,,,
2019-05-14,1076.85,1088.35,1060.0,1071.8,29003,EQ,,,
2019-05-15,1076.1,1100.0,1031.0,1037.6,35223,EQ,,,
2019-05-16,1040.05,1050.0,1021.0,1036.2,95948,EQ,,,
2019-05-17,1054.8,1060.0,1023.25,1027.95,31738,EQ,,,
2019-05-20,1059.0,1101.0,1045.75,1090.25,158408,EQ,,,
2019-05-21,1110.0,1119.95,1083.75,1090.3,66819,EQ,,,
2019-05-22,1089.1,1096.45,1064.95,1086.4,184866,EQ,,,
2019-05-23,1100.0,1125.15,1076.3,1098.45,696599,EQ,,,
2019-05-24,1109.75,1199.0,1095.0,1133.35,794324,EQ,,,
2019-05-27,1139.0,1180.0,1133.4,1170.05,515678,EQ,,,
2019-05-28,1182.0,1219.9,1182.0,1213.55,561889,EQ,,,
2019-05-29,1210.0,1212.0,1185.0,1201.25,33407,EQ,,,
2019-05-30,1185.05,1204.8,1181.35,1196.25,49928,EQ,,,
2019-05-31,1195.0,1195.05,1174.7,1181.7,52193,EQ,,,
