Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-02-14,21.0,21.0,21.0,21.0,61,BE,2.0,30.5,61.0
2024-02-16,22.05,22.05,22.05,22.05,25,BE,1.0,25.0,25.0
2024-02-19,23.15,23.15,23.15,23.15,110,BE,2.0,55.0,110.0
2024-02-20,24.3,24.3,24.3,24.3,5,BE,1.0,5.0,5.0
2024-02-21,25.5,25.5,25.5,25.5,11,BE,1.0,11.0,11.0
2024-02-22,26.75,26.75,26.75,26.75,1,BE,1.0,1.0,1.0
2024-02-23,28.05,28.05,28.05,28.05,1,BE,1.0,1.0,1.0
2024-02-26,29.45,29.45,29.45,29.45,50,BE,1.0,50.0,50.0
2024-02-27,30.9,30.9,30.9,30.9,1,BE,1.0,1.0,1.0
2024-02-28,32.4,32.4,32.4,32.4,1,BE,1.0,1.0,1.0
2024-02-29,34.0,34.0,34.0,34.0,14,BE,2.0,7.0,14.0
2024-03-01,35.7,35.7,35.7,35.7,1,BE,1.0,1.0,1.0
2024-03-02,37.45,37.45,37.45,37.45,2,BE,2.0,1.0,2.0
2024-03-04,39.3,39.3,39.3,39.3,1,BE,1.0,1.0,1.0
2024-03-05,41.25,41.25,41.25,41.25,50,BE,1.0,50.0,50.0
2024-03-06,43.3,43.3,43.3,43.3,9,BE,2.0,4.5,9.0
2024-03-07,45.45,45.45,45.45,45.45,9,BE,1.0,9.0,9.0
2024-03-11,47.7,47.7,47.7,47.7,89,BE,1.0,89.0,89.0
2024-03-12,50.05,50.05,50.05,50.05,322,BE,3.0,107.33,322.0
2024-03-13,51.05,51.05,51.05,51.05,22,BE,1.0,22.0,22.0
2024-03-14,52.05,52.05,52.05,52.05,9593,BE,4.0,2398.25,9593.0
2024-03-15,53.05,53.05,53.05,53.05,24,BE,2.0,12.0,24.0
2024-03-18,54.1,54.1,54.1,54.1,5,BE,1.0,5.0,5.0
2024-03-19,55.15,55.15,55.15,55.15,10000,BE,1.0,10000.0,10000.0
2024-03-20,56.25,56.25,56.25,56.25,272,BE,1.0,272.0,272.0
2024-03-21,57.35,57.35,57.35,57.35,100,BE,1.0,100.0,100.0
2024-03-27,58.45,58.45,58.45,58.45,266,BE,1.0,266.0,266.0
2024-04-10,59.6,59.6,59.6,59.6,1,BE,1.0,1.0,1.0
2024-04-12,60.75,60.75,60.75,60.75,616,BE,5.0,123.2,616.0
2024-04-15,61.95,61.95,61.95,61.95,1567,BE,5.0,313.4,1567.0
2024-04-16,60.75,60.75,60.75,60.75,13667,BE,34.0,401.97,13667.0
2024-04-18,59.55,59.55,59.55,59.55,1479,BE,14.0,105.64,1479.0
2024-04-19,58.35,60.7,58.35,60.7,32300,BE,17.0,1900.0,32300.0
2024-04-22,59.5,59.5,59.5,59.5,2398,BE,19.0,126.21,2398.0
2024-04-23,58.35,58.4,58.35,58.35,13473,BE,31.0,434.61,13473.0
2024-04-24,57.35,59.5,57.35,59.5,20206,BE,13.0,1554.31,20206.0
2024-04-25,60.65,60.65,60.65,60.65,16,BE,2.0,8.0,16.0
2024-04-26,61.85,61.85,61.85,61.85,171,BE,2.0,85.5,171.0
2024-04-29,64.9,64.9,64.0,64.7,14746,BE,65.0,226.86,14746.0
2024-04-30,67.0,67.0,62.3,65.05,28240,BE,93.0,303.66,28240.0
2024-05-02,66.45,66.5,62.3,64.5,3883,BE,38.0,102.18,3883.0
2024-05-03,64.8,64.8,62.3,62.3,2020,BE,20.0,101.0,2020.0
2024-05-06,63.55,65.4,62.3,65.4,23300,BE,76.0,306.58,23300.0
2024-05-07,66.0,68.65,66.0,68.65,19406,BE,144.0,134.76,19406.0
2024-05-08,72.05,72.05,71.75,71.8,31691,BE,233.0,136.01,31691.0
2024-05-09,75.3,75.35,71.0,73.9,28824,BE,234.0,123.18,28824.0
2024-05-10,73.9,75.5,70.2,71.7,17148,BE,148.0,115.86,17148.0
2024-05-13,70.4,73.5,68.15,68.15,24450,BE,141.0,173.4,24450.0
2024-05-14,66.8,66.8,66.8,66.8,2191,BE,17.0,128.88,2191.0
2024-05-15,65.5,65.5,65.5,65.5,766,BE,17.0,45.06,766.0
2024-05-16,64.2,64.2,64.2,64.2,2226,BE,17.0,130.94,2226.0
2024-05-17,64.0,64.0,62.95,62.95,2556,BE,21.0,121.71,2556.0
2024-05-18,61.7,61.7,61.7,61.7,1516,BE,6.0,252.67,1516.0
2024-05-21,60.5,60.5,60.5,60.5,5691,BE,54.0,105.39,5691.0
2024-05-22,59.3,59.35,59.3,59.35,4963,BE,13.0,381.77,4963.0
2024-05-23,58.3,58.3,58.2,58.3,6493,BE,25.0,259.72,6493.0
2024-05-24,57.15,59.4,57.15,59.4,4753,BE,34.0,139.79,4753.0
2024-05-27,59.4,60.4,59.4,60.4,121,BE,7.0,17.29,121.0
2024-05-28,60.4,60.4,59.2,59.2,1129,BE,11.0,102.64,1129.0
2024-05-29,58.05,58.3,58.05,58.3,1623,BE,14.0,115.93,1623.0
2024-05-30,58.3,58.3,57.15,57.15,130,BE,4.0,32.5,130.0
2024-05-31,56.0,56.0,56.0,56.0,1486,BE,15.0,99.07,1486.0
2024-06-03,54.9,54.9,54.9,54.9,4964,BE,26.0,190.92,4964.0
2024-06-04,53.8,53.8,53.8,53.8,1111,BE,16.0,69.44,1111.0
2024-06-05,52.75,52.75,52.75,52.75,403,BE,4.0,100.75,403.0
2024-06-06,51.7,51.7,51.7,51.7,1345,BE,13.0,103.46,1345.0
2024-06-07,51.7,51.7,50.7,50.7,5933,BE,29.0,204.59,5933.0
2024-06-10,49.8,51.71,49.8,51.71,6018,BE,14.0,429.86,6018.0
2024-06-11,52.74,52.74,52.74,52.74,146,BE,3.0,48.67,146.0
2024-06-12,53.79,53.79,53.79,53.79,100,BE,2.0,50.0,100.0
2024-06-13,54.86,54.86,54.86,54.86,35,BE,1.0,35.0,35.0
2024-06-14,55.95,55.95,55.9,55.95,251,BE,6.0,41.83,251.0
2024-06-18,56.9,56.9,56.9,56.9,598,BE,2.0,299.0,598.0
2024-06-19,56.9,57.26,56.9,57.26,302,BE,12.0,25.17,302.0
2024-06-20,57.5,57.5,57.5,57.5,110,BE,1.0,110.0,110.0
2024-06-21,58.65,58.65,58.65,58.65,174,BE,4.0,43.5,174.0
2024-06-24,61.58,61.58,61.58,61.58,1493,BE,20.0,74.65,1493.0
2024-06-25,64.65,64.65,64.65,64.65,2419,BE,13.0,186.08,2419.0
2024-06-26,67.86,67.86,64.65,66.5,18972,BE,114.0,166.42,18972.0
2024-06-27,67.69,68.4,63.85,66.03,4386,BE,62.0,70.74,4386.0
2024-06-28,63.25,68.0,63.0,65.89,7552,BE,78.0,96.82,7552.0
2024-07-01,66.0,66.0,62.65,64.57,3961,BE,58.0,68.29,3961.0
2024-07-02,67.49,67.49,61.5,62.77,3752,BE,45.0,83.38,3752.0
2024-07-03,65.9,65.9,61.25,64.38,6795,BE,94.0,72.29,6795.0
2024-07-04,66.99,67.59,65.0,67.59,16786,BE,118.0,142.25,16786.0
2024-07-05,70.96,70.96,70.0,70.96,14735,BE,128.0,115.12,14735.0
2024-07-08,73.25,73.25,67.41,70.38,15186,BE,118.0,128.69,15186.0
2024-07-09,73.0,73.0,69.0,70.5,8058,BE,95.0,84.82,8058.0
2024-07-10,70.4,73.9,67.35,68.1,9678,BE,89.0,108.74,9678.0
2024-07-11,66.0,71.5,66.0,69.1,8389,BE,73.0,114.92,8389.0
2024-07-12,70.48,70.48,66.25,68.98,3465,BE,45.0,77.0,3465.0
2024-07-15,69.9,69.9,66.14,67.06,2327,BE,37.0,62.89,2327.0
2024-07-16,67.06,69.0,64.11,66.9,734,BE,25.0,29.36,734.0
2024-07-18,68.9,68.9,64.06,65.4,4251,BE,40.0,106.28,4251.0
2024-07-19,66.0,67.65,62.32,62.89,2520,BE,29.0,86.9,2520.0
2024-07-22,62.15,62.6,60.3,62.0,2943,BE,39.0,75.46,2943.0
2024-07-23,64.9,65.1,61.31,62.83,2683,BE,45.0,59.62,2683.0
2024-07-24,64.0,65.7,63.09,65.05,1657,BE,16.0,103.56,1657.0
2024-07-25,65.05,65.05,64.0,64.75,1877,BE,35.0,53.63,1877.0
2024-07-26,67.0,67.49,63.0,67.0,5447,BE,41.0,132.85,5447.0
2024-07-29,67.0,67.05,65.05,66.74,1458,BE,47.0,31.02,1458.0
2024-07-30,66.75,69.43,63.9,64.47,7366,BE,57.0,129.23,7366.0
2024-07-31,64.47,66.0,63.07,66.0,6480,BE,43.0,150.7,6480.0
2024-08-01,69.25,69.25,62.73,65.26,3761,BE,48.0,78.35,3761.0
2024-08-02,65.24,65.24,62.74,64.0,1755,BE,19.0,92.37,1755.0
2024-08-05,64.5,64.5,61.01,62.42,1542,BE,27.0,57.11,1542.0
