Date,Open,High,Low,Close,Volume
2023-06-12,163.0,171.15,163.0,171.15,1530000
2023-06-13,172.2,175.0,162.6,162.6,344000
2023-06-14,154.6,170.7,154.5,170.7,1121000
2023-06-15,162.2,173.0,162.2,169.5,405000
2023-06-16,168.0,169.5,161.05,161.05,81000
2023-06-19,157.95,160.45,153.0,153.0,139000
2023-06-20,146.7,159.45,145.35,156.15,294000
2023-06-21,155.25,159.5,149.1,153.75,101000
2023-06-22,154.8,154.8,148.25,152.15,53000
2023-06-23,152.95,153.3,148.0,150.0,52000
2023-06-26,154.35,155.45,151.5,152.85,49000
2023-06-27,153.0,153.4,147.25,148.55,26000
2023-06-28,147.0,151.0,140.0,147.05,92000
2023-06-30,145.15,150.0,145.0,145.9,45000
2023-07-03,142.2,172.5,142.2,169.45,310000
2023-07-04,172.0,172.45,143.0,153.95,88000
2023-07-05,150.3,164.0,148.4,156.75,61000
2023-07-06,150.1,161.1,150.0,159.8,43000
2023-07-07,159.6,161.5,153.0,154.4,20000
2023-07-10,156.95,156.95,150.15,150.15,13000
2023-07-11,152.0,153.15,146.35,149.3,34000
2023-07-12,146.35,146.55,145.4,146.1,16000
2023-07-13,148.85,148.85,143.05,143.05,9000
2023-07-14,142.0,152.4,140.0,145.4,26000
2023-07-17,149.0,153.5,140.0,141.1,133000
2023-07-18,142.5,144.75,139.0,143.75,26000
2023-07-19,143.25,146.0,137.0,144.95,42000
2023-07-20,141.0,141.95,139.0,140.0,8000
2023-07-21,140.0,140.0,138.0,138.0,8000
2023-07-24,138.0,139.0,136.05,137.1,8000
2023-07-25,138.15,146.95,138.15,145.5,24000
2023-07-26,144.0,144.0,144.0,144.0,1000
2023-07-27,138.3,140.4,138.0,140.4,12000
2023-07-28,139.0,147.15,139.0,145.0,19000
2023-07-31,145.0,169.25,145.0,166.85,149000
2023-08-01,166.9,169.5,155.5,157.3,66000
2023-08-02,157.3,158.7,150.0,152.1,18000
2023-08-03,152.1,152.1,148.0,148.0,9000
2023-08-04,152.6,173.0,150.55,151.8,209000
2023-08-07,154.0,155.95,148.0,148.0,19000
2023-08-08,145.45,145.45,142.5,143.15,19000
2023-08-09,143.0,148.0,143.0,146.1,7000
2023-08-10,147.95,151.5,147.95,150.0,111000
2023-08-11,156.0,171.85,153.0,161.3,725000
2023-08-14,160.0,171.0,159.65,167.25,307000
2023-08-16,167.5,172.5,167.3,170.2,61000
2023-08-17,154.0,171.1,154.0,166.55,410000
2023-08-18,165.0,174.0,160.0,169.55,132000
2023-08-21,174.25,174.25,164.0,168.05,92000
2023-08-22,166.2,166.2,160.05,160.3,40000
2023-08-23,161.0,165.0,160.0,162.6,50000
2023-08-24,163.0,188.0,163.0,184.6,312000
2023-08-25,187.0,207.5,186.0,204.65,576000
2023-08-28,207.05,245.55,207.05,245.55,469000
2023-08-29,262.0,270.1,256.05,270.1,320000
2023-08-30,278.0,289.0,247.35,251.95,120000
2023-08-31,251.95,273.0,248.0,265.5,93000
2023-09-01,268.15,277.0,268.0,271.35,18000
2023-09-04,284.0,285.0,275.05,280.1,26000
2023-09-05,276.1,303.4,276.0,290.75,53000
2023-09-06,286.05,293.95,265.0,268.4,51000
2023-09-07,272.0,276.0,261.15,268.5,29000
2023-09-08,269.0,278.0,265.0,266.85,15000
2023-09-11,274.0,274.0,261.0,262.25,32000
2023-09-12,248.0,267.9,240.3,255.0,65000
2023-09-13,260.5,260.5,240.0,258.35,169000
2023-09-14,250.0,270.0,250.0,257.8,18000
2023-09-15,266.0,270.65,263.0,263.3,17000
2023-09-18,264.0,264.0,255.0,256.5,6000
2023-09-20,258.0,263.5,251.0,251.0,26000
2023-09-21,251.0,252.0,250.0,251.1,5000
2023-09-22,251.1,254.0,250.0,251.0,8000
2023-09-25,250.0,276.1,250.0,276.1,57000
2023-09-26,279.0,285.0,268.0,273.25,99000
2023-09-27,270.0,270.0,260.1,260.2,3000
2023-09-28,261.0,265.95,256.0,260.05,20000
2023-09-29,263.0,263.0,260.5,261.75,2000
2023-10-03,245.4,263.8,245.4,263.8,4000
2023-10-06,250.0,273.9,250.0,264.1,33000
2023-10-09,253.0,260.0,252.5,254.0,10000
2023-10-11,254.0,254.0,254.0,254.0,1000
2023-10-12,267.8,267.8,255.0,260.0,5000
2023-10-13,249.0,259.0,249.0,253.25,4000
2023-10-16,250.0,256.0,250.0,256.0,2000
2023-10-18,256.0,256.0,254.0,254.0,3000
2023-10-19,262.8,262.8,255.0,255.0,3000
2023-10-20,236.05,265.9,236.05,250.0,7000
2023-10-23,260.0,275.0,260.0,275.0,510000
