Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,178.3,183.9,175.3,178.2,62126,EQ,552.0,112.55,40281.0
2026-04-21,182.45,182.5,172.9,181.0,248890,EQ,1992.0,124.94,139147.0
2026-04-22,181.0,183.9,177.3,182.75,157154,EQ,1167.0,134.66,98748.0
2026-04-23,184.85,184.85,180.55,182.4,78793,EQ,905.0,87.06,40707.0
2026-04-24,183.95,183.95,180.0,180.35,37059,EQ,638.0,58.09,22474.0
2026-04-27,180.3,197.05,180.05,194.95,782012,EQ,4068.0,192.24,444072.0
2026-04-28,196.75,201.0,191.2,199.85,474588,EQ,2538.0,186.99,289252.0
2026-04-29,199.4,201.95,195.75,196.35,264159,EQ,965.0,273.74,152322.0
2026-04-30,196.4,196.4,190.15,191.75,81028,EQ,836.0,96.92,44798.0
2026-05-04,205.99,205.99,194.09,199.96,305949,EQ,4155.0,73.63,185009.0
2026-05-05,202.99,202.99,197.0,200.56,685342,EQ,3467.0,197.68,553565.0
2026-05-06,200.39,202.5,198.7,199.99,367167,EQ,4130.0,88.9,238145.0
2026-05-07,198.5,205.72,198.5,204.7,526934,EQ,5388.0,97.8,369965.0
2026-05-08,207.77,213.29,206.07,211.01,699640,EQ,3295.0,212.33,494430.0
2026-05-11,211.63,218.78,210.1,216.08,738160,EQ,7439.0,99.23,320613.0
2026-05-12,216.08,217.5,199.0,202.07,752347,EQ,13167.0,57.14,296818.0
2026-05-13,199.99,212.0,199.12,205.24,748838,EQ,8118.0,92.24,324583.0
2026-05-14,207.98,211.56,205.25,209.19,601718,EQ,9576.0,62.84,262731.0
2026-05-15,210.0,210.0,203.0,205.06,248863,EQ,9064.0,27.46,98713.0
2026-05-18,205.06,205.06,190.0,194.84,542847,EQ,12765.0,42.53,263107.0
2026-05-19,194.84,202.0,193.35,197.56,479705,EQ,13428.0,35.72,237122.0
2026-05-20,198.0,201.33,193.83,199.54,1214167,EQ,10702.0,113.45,838149.0
2026-05-21,201.25,204.49,194.51,197.71,467699,EQ,14890.0,31.41,101383.0
2026-05-22,199.1,202.85,196.2,198.06,252056,EQ,5782.0,43.59,101480.0
2026-05-25,200.0,200.99,195.0,195.99,356210,EQ,8247.0,43.19,199653.0
