Date,Open,High,Low,Close,Volume
2022-11-30,17.5,20.46,17.5,20.46,32093
2022-12-01,20.44,20.44,17.15,17.42,265377
2022-12-02,17.94,17.94,17.11,17.36,32108
2022-12-05,17.88,17.88,17.0,17.27,41344
2022-12-06,17.39,17.39,17.0,17.22,13671
2022-12-07,17.34,17.39,17.1,17.14,23905
2022-12-08,17.5,17.5,17.11,17.15,5578
2022-12-09,17.25,17.55,17.0,17.17,19150
2022-12-12,17.68,17.68,17.0,17.03,35534
2022-12-13,17.03,17.25,17.01,17.18,15020
2022-12-14,17.2,17.34,17.05,17.31,29465
2022-12-15,17.82,17.82,17.11,17.29,16396
2022-12-16,17.28,17.55,17.09,17.13,45425
2022-12-19,17.23,17.33,17.13,17.24,10170
2022-12-20,20.2,20.2,16.95,17.16,17341
2022-12-21,17.65,17.65,17.1,17.37,19772
2022-12-22,17.65,17.65,17.0,17.03,8162
2022-12-23,17.03,17.35,17.0,17.17,8710
2022-12-26,17.68,17.68,16.72,16.84,27509
2022-12-27,16.84,17.2,16.7,16.86,22171
2022-12-28,16.86,17.11,16.33,16.85,26203
2022-12-29,16.85,17.5,16.33,16.77,41851
2022-12-30,17.0,17.0,16.4,16.85,59289
2023-01-02,16.68,18.14,16.68,16.97,5251
2023-01-03,17.0,17.25,16.8,16.93,11429
2023-01-04,16.85,17.14,16.76,16.9,21472
2023-01-05,18.95,18.95,16.65,16.73,22187
2023-01-06,16.8,16.95,16.6,16.94,19143
2023-01-09,18.7,18.7,16.22,16.75,9886
2023-01-10,18.4,18.4,16.35,16.54,13250
2023-01-11,16.51,16.58,16.49,16.49,11936
2023-01-12,16.16,16.75,16.03,16.54,8386
2023-01-13,16.3,16.75,16.2,16.48,15046
2023-01-16,16.97,16.98,16.26,16.54,13475
2023-01-17,16.59,16.6,16.55,16.55,10282
2023-01-18,16.65,16.68,16.6,16.64,2609
2023-01-19,17.0,17.0,16.61,16.67,2085
2023-01-20,17.17,17.17,16.55,16.58,4022
2023-01-23,16.41,16.7,16.41,16.55,2190
2023-01-24,17.04,17.04,16.55,16.61,1272
2023-01-25,16.61,16.85,16.16,16.39,10639
2023-01-27,17.4,18.1,16.0,16.27,26720
2023-01-30,16.48,16.48,16.01,16.24,13107
2023-01-31,16.24,16.27,16.05,16.24,13876
2023-02-01,16.24,16.5,15.8,15.89,103051
2023-02-02,16.2,16.2,15.71,15.75,25622
2023-02-03,15.8,16.18,15.8,16.14,10611
2023-02-06,16.5,16.5,16.01,16.15,15937
2023-02-07,16.16,16.72,16.1,16.28,359519
2023-02-08,16.34,16.71,15.9,16.45,379777
2023-02-09,16.49,16.74,16.38,16.62,128896
2023-02-10,16.63,16.98,16.59,16.63,273451
2023-02-13,16.63,17.0,16.41,16.49,8009
2023-02-14,16.9,16.9,16.45,16.58,192316
2023-02-15,17.0,17.0,16.29,16.57,312419
2023-02-16,16.59,16.62,16.5,16.5,8872
2023-02-17,16.19,16.78,16.19,16.47,3345
2023-02-20,16.47,16.97,16.35,16.36,8430
2023-02-21,16.36,16.43,16.33,16.34,10517
2023-02-22,16.3,16.3,16.03,16.06,60555
2023-02-23,16.06,16.07,15.92,15.99,181684
2023-02-24,16.06,16.09,15.92,15.94,198034
2023-02-27,16.34,17.14,15.86,16.0,7674
2023-02-28,16.35,16.35,15.9,15.99,3943
2023-03-01,16.02,16.15,16.0,16.13,101828
2023-03-02,16.14,16.29,15.92,15.97,444761
2023-03-03,16.02,16.17,16.02,16.08,51596
2023-03-06,16.48,16.48,16.13,16.31,12850
2023-03-08,16.32,16.37,16.19,16.29,8570
2023-03-09,16.65,16.65,16.05,16.15,12759
2023-03-10,16.2,16.2,15.81,15.9,30692
2023-03-13,15.9,17.25,15.61,15.66,17949
2023-03-14,15.69,15.75,15.48,15.53,215407
