Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-13,137.0,152.0,137.0,138.54,907069,EQ,7649.0,118.59,125178.0
2026-03-16,138.8,141.89,132.25,133.24,491325,EQ,3861.0,127.25,43329.0
2026-03-17,133.9,139.59,131.51,133.15,650866,EQ,6105.0,106.61,208166.0
2026-03-18,132.91,142.5,132.76,137.95,501163,EQ,7153.0,70.06,103984.0
2026-03-19,136.9,139.99,131.25,133.2,362360,EQ,3412.0,106.2,135441.0
2026-03-20,134.25,138.99,132.5,133.97,479939,EQ,4781.0,100.38,89871.0
2026-03-23,133.97,134.85,124.02,125.87,413760,EQ,4465.0,92.67,118447.0
2026-03-24,129.5,138.25,128.76,131.99,931519,EQ,5397.0,172.6,273637.0
2026-03-25,132.0,144.12,131.52,136.31,1431837,EQ,8358.0,171.31,484985.0
2026-03-27,138.34,138.79,130.5,132.12,819301,EQ,7504.0,109.18,386096.0
2026-03-30,133.65,134.85,120.0,122.97,1170283,EQ,4725.0,247.68,771873.0
2026-04-01,124.99,137.89,124.15,133.82,917242,EQ,8591.0,106.77,225732.0
2026-04-02,132.9,138.34,131.51,135.87,652660,EQ,4047.0,161.27,148074.0
2026-04-06,136.45,144.46,135.53,140.32,2089622,EQ,11049.0,189.12,640491.0
2026-04-07,139.99,141.95,134.01,136.34,2174023,EQ,8919.0,243.75,253210.0
2026-04-08,138.05,144.35,138.0,139.63,1987753,EQ,7289.0,272.71,228093.0
2026-04-09,139.48,143.7,136.25,137.24,1076971,EQ,6156.0,174.95,141949.0
2026-04-10,139.45,141.75,135.5,136.99,2665904,EQ,8969.0,297.24,327211.0
2026-04-13,136.0,154.0,135.5,150.99,1728231,EQ,8548.0,202.18,555031.0
2026-04-15,152.0,161.99,152.0,157.1,1479421,EQ,8980.0,164.75,415929.0
2026-04-16,159.5,162.68,155.32,159.05,1299910,EQ,6728.0,193.21,234285.0
2026-04-17,159.99,168.9,159.5,167.21,2695112,EQ,11595.0,232.44,816061.0
2026-04-20,173.0,173.0,162.5,164.1,2041915,EQ,9113.0,224.07,718599.0
2026-04-21,164.7,166.9,160.57,161.25,1352797,EQ,4857.0,278.53,295339.0
2026-04-22,161.25,170.66,161.0,165.4,1408413,EQ,6609.0,213.11,367544.0
2026-04-23,165.89,171.0,165.47,168.59,2743464,EQ,9209.0,297.91,603909.0
2026-04-24,169.89,172.01,160.1,161.04,340347,EQ,3833.0,88.79,127350.0
2026-04-27,162.0,166.0,161.3,162.75,2390259,EQ,8124.0,294.22,389981.0
2026-04-28,162.7,164.48,155.51,156.91,1240892,EQ,7217.0,171.94,464030.0
2026-04-29,158.4,164.9,157.6,163.53,1874550,EQ,8454.0,221.74,491431.0
2026-04-30,163.99,164.76,152.5,154.2,881467,EQ,5612.0,157.07,311416.0
2026-05-04,156.8,165.09,155.3,160.72,2333441,EQ,10945.0,213.2,604997.0
2026-05-05,160.8,165.86,156.3,157.22,2679070,EQ,11977.0,223.68,214731.0
2026-05-06,157.99,161.8,152.66,154.89,3270856,EQ,12633.0,258.91,761349.0
