Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-02,200.0,200.0,180.0,180.0,17587998,EQ,63644.0,276.35,11151253.0
2026-04-06,162.0,168.12,162.0,162.0,7662853,EQ,34426.0,222.59,4880915.0
2026-04-07,145.8,145.8,145.8,145.8,88418,EQ,1318.0,67.08,88418.0
2026-04-08,131.22,135.38,131.22,131.22,6173766,EQ,6187.0,997.86,3859273.0
2026-04-09,124.66,124.66,124.66,124.66,106583,EQ,1357.0,78.54,106583.0
2026-04-10,120.78,130.55,120.78,126.09,13225779,EQ,71042.0,186.17,3901339.0
2026-04-13,123.4,124.4,119.79,119.79,2456632,EQ,10452.0,235.04,1052035.0
2026-04-15,121.19,125.77,117.02,124.48,3248635,EQ,16160.0,201.03,1576240.0
2026-04-16,128.0,129.7,121.79,127.44,7005165,EQ,23286.0,300.83,2854679.0
2026-04-17,128.01,131.98,125.01,130.77,4860219,EQ,16890.0,287.76,2594760.0
2026-04-20,132.0,134.95,128.0,134.01,1896122,EQ,9002.0,210.63,1070303.0
2026-04-21,134.89,140.71,134.11,140.71,2898574,EQ,9253.0,313.26,905793.0
2026-04-22,141.96,145.27,137.01,139.28,2541073,EQ,12117.0,209.71,1223812.0
2026-04-23,137.8,141.75,135.0,137.39,1671620,EQ,10890.0,153.5,851975.0
2026-04-24,138.0,138.5,133.0,133.67,848137,EQ,6038.0,140.47,372421.0
2026-04-27,135.7,140.35,134.5,136.49,1095808,EQ,5718.0,191.64,571236.0
2026-04-28,137.5,138.48,134.51,134.81,395460,EQ,3768.0,104.95,187958.0
2026-04-29,136.45,140.1,134.5,134.67,974946,EQ,6131.0,159.02,389871.0
2026-04-30,135.78,135.9,132.29,134.5,464499,EQ,4403.0,105.5,188508.0
2026-05-04,135.99,136.4,129.8,132.23,774097,EQ,5327.0,145.32,420874.0
2026-05-05,132.0,132.8,130.0,130.8,379979,EQ,3892.0,97.63,233616.0
2026-05-06,131.45,132.26,129.5,130.88,545118,EQ,4213.0,129.39,296614.0
2026-05-07,131.98,134.15,129.64,133.73,1496098,EQ,7949.0,188.21,749860.0
2026-05-08,133.6,133.9,131.01,131.56,561837,EQ,4208.0,133.52,148891.0
2026-05-11,131.0,134.69,129.57,133.32,846097,EQ,5958.0,142.01,522982.0
2026-05-12,133.0,133.25,128.48,131.31,772281,EQ,6082.0,126.98,445233.0
2026-05-13,132.49,132.49,130.0,130.62,340500,EQ,2998.0,113.58,162956.0
2026-05-14,131.99,136.3,131.5,132.55,1324635,EQ,8474.0,156.32,520081.0
2026-05-15,133.7,133.7,129.6,130.18,310567,EQ,3070.0,101.16,162412.0
2026-05-18,130.0,130.18,123.7,125.99,1025943,EQ,7871.0,130.34,444128.0
2026-05-19,126.0,131.24,125.51,130.57,534510,EQ,5939.0,90.0,250897.0
2026-05-20,130.89,130.9,127.21,128.9,322058,EQ,2540.0,126.79,174702.0
2026-05-21,130.5,131.1,127.7,128.34,164787,EQ,2176.0,75.73,91606.0
2026-05-22,129.75,129.75,126.8,127.14,166114,EQ,1946.0,85.36,100787.0
2026-05-25,128.49,129.9,125.92,126.34,362984,EQ,3597.0,100.91,228588.0
2026-05-26,127.5,128.63,125.75,127.52,598230,EQ,3919.0,152.65,399408.0
2026-05-27,127.95,127.95,125.4,126.04,263482,EQ,3433.0,76.75,165053.0
2026-05-29,127.0,127.6,124.0,125.96,308739,EQ,3260.0,94.71,189352.0
