Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2017-01-16,475.0,480.0,450.0,455.4,3733,,,
2017-01-17,460.0,460.0,444.4,454.45,1828,,,
2017-01-18,412.1,474.0,412.1,447.3,1863,,,
2017-01-19,450.0,459.9,431.1,442.05,1068,,,
2017-01-20,438.0,444.9,422.3,430.35,1500,,,
2017-01-23,434.1,448.05,423.0,442.95,1778,,,
2017-01-24,442.95,449.0,442.0,444.55,416,,,
2017-01-25,446.0,511.0,446.0,494.1,8082,,,
2017-01-27,500.0,510.0,485.0,493.95,2786,,,
2017-01-30,474.2,500.0,459.95,477.3,2166,,,
2017-01-31,475.0,493.95,463.0,469.35,2316,,,
2017-02-01,470.0,484.0,462.5,476.3,1371,,,
2017-02-02,475.35,500.0,468.05,485.5,1499,,,
2017-02-03,473.55,495.0,473.5,493.0,2690,,,
2017-02-06,489.95,537.4,489.95,499.7,6130,,,
2017-02-07,510.0,510.0,490.0,493.25,1060,,,
2017-02-08,509.0,509.0,480.0,487.3,2792,,,
2017-02-09,498.45,500.0,468.9,493.55,4060,,,
2017-02-10,499.0,499.0,470.0,471.45,2348,,,
2017-02-13,480.0,480.0,455.0,461.4,1693,,,
2017-02-14,461.1,474.8,461.1,469.0,998,,,
2017-02-15,460.0,479.95,442.0,456.1,1209,,,
2017-02-16,470.95,483.5,461.05,480.5,2251,,,
2017-02-17,489.95,501.0,477.3,485.35,5522,,,
2017-02-20,488.0,503.0,488.0,499.95,9374,,,
2017-02-21,500.0,505.0,491.05,499.7,6627,,,
2017-02-22,502.0,502.0,482.05,483.5,1053,,,
2017-02-23,480.3,487.95,469.0,483.4,1482,,,
2017-02-27,477.05,484.95,458.0,461.5,2831,,,
2017-02-28,462.35,474.75,454.0,469.85,2961,,,
2017-03-01,461.0,471.85,422.0,462.05,1536,,,
2017-03-02,468.95,475.0,453.0,460.55,3885,,,
2017-03-03,456.0,475.0,456.0,467.75,1736,,,
2017-03-06,459.0,473.35,455.15,461.2,900,,,
2017-03-07,470.95,474.85,460.05,464.85,1978,,,
2017-03-08,460.0,473.0,455.4,466.4,1081,,,
2017-03-09,457.2,469.95,457.15,463.3,833,,,
2017-03-10,473.95,474.0,446.0,454.95,1550,,,
2017-03-14,458.0,474.95,446.1,450.25,3678,,,
2017-03-15,450.0,450.0,430.0,436.5,3621,,,
2017-03-16,440.0,448.05,419.0,440.95,9989,,,
2017-03-17,438.95,460.0,430.0,447.1,5929,,,
2017-03-20,447.1,450.05,432.0,443.4,17434,,,
2017-03-21,445.05,452.55,441.0,452.0,4733,,,
2017-03-22,452.0,452.05,443.0,444.65,2779,,,
2017-03-23,442.4,459.0,442.0,443.5,2928,,,
2017-03-24,444.0,450.0,443.15,446.4,5226,,,
2017-03-27,446.0,446.9,435.55,441.15,4890,,,
2017-03-28,444.85,449.0,408.7,430.3,13204,,,
2017-03-29,434.0,439.9,411.0,418.3,13930,,,
2017-03-30,418.0,431.75,409.3,425.5,4557,,,
2017-03-31,441.0,455.0,422.1,445.35,10869,,,
2017-04-03,454.4,454.4,433.8,440.85,5010,,,
2017-04-05,436.0,446.4,422.35,427.0,5417,,,
2017-04-06,424.0,427.0,409.95,415.15,10893,,,
2017-04-07,417.0,424.95,414.0,416.05,5887,,,
2017-04-10,416.0,416.0,400.0,404.3,7926,,,
2017-04-11,407.95,413.5,402.95,408.05,7064,,,
2017-04-12,410.0,410.0,403.2,403.6,4055,,,
2017-04-13,415.95,415.95,398.0,405.7,6462,,,
2017-04-17,405.95,410.0,357.0,406.15,5583,,,
2017-04-18,410.0,415.95,400.05,407.2,4299,,,
2017-04-19,404.95,435.9,403.0,424.0,9973,,,
2017-04-20,420.0,438.6,420.0,422.1,3128,,,
2017-04-21,421.05,429.9,407.0,410.6,2320,,,
2017-04-24,410.0,418.75,410.0,414.6,6749,,,
2017-04-25,420.0,426.95,401.0,410.5,9070,,,
2017-04-26,411.45,414.95,386.0,398.1,6113,,,
2017-04-27,414.0,414.0,377.0,389.8,19171,,,
2017-04-28,385.0,395.5,379.25,389.5,4011,,,
2017-05-02,402.0,402.0,382.9,383.95,1788,,,
2017-05-03,387.9,387.9,370.1,373.95,2495,,,
2017-05-04,375.0,404.0,370.7,400.9,15357,,,
2017-05-05,395.05,408.0,392.1,401.85,2583,,,
2017-05-08,395.0,400.0,391.0,393.55,1579,,,
2017-05-09,394.8,402.0,385.0,394.0,4401,,,
2017-05-10,393.7,410.0,392.0,400.75,6007,,,
2017-05-11,404.0,410.0,386.2,391.05,5654,,,
2017-05-12,389.0,403.95,382.0,399.05,9317,,,
2017-05-15,400.0,405.05,392.1,393.25,7406,,,
2017-05-16,397.85,403.45,393.4,400.6,5624,,,
2017-05-17,405.0,405.0,393.0,400.55,6291,,,
2017-05-18,393.0,411.0,390.25,405.95,4011,,,
2017-05-19,396.4,410.0,395.1,397.95,5366,,,
2017-05-22,395.05,411.0,392.2,405.95,8580,,,
2017-05-23,414.7,414.7,390.0,411.5,3244,,,
2017-05-24,397.1,399.0,373.9,381.65,19240,,,
2017-05-25,385.6,391.55,385.0,390.6,2754,,,
2017-05-26,392.0,396.65,392.0,393.0,2358,,,
2017-05-29,393.0,400.0,377.0,399.6,5292,,,
2017-05-30,390.25,405.0,390.05,400.0,4545,,,
2017-05-31,400.1,403.9,397.15,399.5,1694,,,
2017-06-01,394.0,403.5,393.15,399.8,8316,,,
2017-06-02,406.0,406.0,397.05,400.95,2426,,,
2017-06-05,405.2,405.2,391.0,393.45,5695,,,
2017-06-06,393.0,397.15,385.0,389.2,2371,,,
2017-06-07,396.0,396.0,382.0,386.0,1125,,,
2017-06-08,381.0,399.0,375.0,398.5,6615,,,
2017-06-09,394.3,400.0,388.0,398.8,3435,,,
2017-06-12,399.8,400.0,393.0,399.55,2063,,,
2017-06-13,400.0,400.0,392.2,395.65,3158,,,
2017-06-14,391.05,393.5,386.0,388.15,2819,,,
2017-06-15,385.0,399.0,380.0,397.4,2837,,,
2017-06-16,397.45,397.5,387.0,387.75,3694,,,
2017-06-19,390.3,394.95,377.0,379.2,3393,,,
2017-06-20,378.0,383.45,370.65,374.05,4625,,,
2017-06-21,371.0,380.3,371.0,378.8,2311,,,
2017-06-22,377.1,389.9,375.15,384.6,4235,,,
2017-06-23,377.0,384.5,377.0,379.9,2578,,,
2017-06-27,370.0,386.0,366.25,373.4,5641,,,
2017-06-28,375.0,377.5,370.0,375.4,2046,,,
2017-06-29,380.0,382.0,371.0,374.35,1493,,,
2017-06-30,376.75,383.8,372.05,376.2,11991,,,
2017-07-03,377.95,380.0,374.0,374.75,4339,,,
2017-07-04,371.0,383.8,370.45,373.25,22114,,,
2017-07-05,375.95,380.05,371.0,379.15,1335,,,
2017-07-06,379.0,395.0,370.1,373.0,7529,,,
2017-07-07,372.95,383.0,368.0,371.5,2528,,,
2017-07-10,438.4,438.4,364.0,365.65,3326,,,
2017-07-11,376.75,377.75,368.0,373.6,2652,,,
2017-07-12,370.0,375.4,367.0,372.55,920,,,
2017-07-13,378.0,385.0,368.55,373.45,3757,,,
2017-07-14,372.25,377.65,372.0,373.55,4403,,,
2017-07-17,370.1,371.8,358.0,366.85,3127,,,
2017-07-18,363.1,366.85,357.0,359.1,3136,,,
2017-07-19,362.25,372.55,361.05,368.25,4004,,,
