Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,39.27,47.0,39.0,45.01,1004,EQ,10,100.4,1004
2026-08-18,36.6,45.0,36.6,39.45,6656,EQ,106,62.79,3915
2026-08-19,37.05,42.8,37.05,39.87,4292,EQ,43,99.81,2527
2026-08-20,39.87,39.87,38.0,38.27,3791,EQ,23,164.83,2585
2026-08-21,39.0,40.4,37.9,38.04,2176,EQ,23,94.61,1530
2026-08-24,41.98,41.98,38.9,39.08,1224,EQ,30,40.8,855
2026-08-25,42.0,42.0,38.56,39.01,4396,EQ,39,112.72,3353
2026-08-26,42.0,42.0,39.25,39.8,1205,EQ,13,92.69,1163
2026-08-27,39.8,40.19,39.12,39.27,1710,EQ,15,114.0,1690
2026-08-28,39.27,40.0,39.27,39.27,145,EQ,7,20.71,114
2026-08-31,42.0,42.0,39.08,39.5,13789,EQ,19,725.74,13789
