Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2010-08-17,186.4,187.45,186.0,186.85,4744,EQ,,,
2010-08-18,196.0,196.2,189.25,192.5,1941,EQ,,,
2010-08-19,201.9,201.9,182.9,195.4,1698,EQ,,,
2010-08-20,195.0,199.7,195.0,198.0,1373,EQ,,,
2010-08-23,189.0,207.9,189.0,207.9,3907,EQ,,,
2010-08-24,218.3,218.3,218.3,218.3,50,BE,,,
2010-08-25,229.25,229.25,207.4,207.4,206,BE,,,
2010-08-26,217.5,217.8,209.0,217.8,860,BE,,,
2010-08-27,217.5,220.0,217.0,217.2,199,BE,,,
2010-08-30,222.0,222.0,215.0,215.0,155,BE,,,
2010-08-31,215.0,215.0,215.0,215.0,50,BE,,,
2010-09-01,215.0,215.0,215.0,215.0,10,BE,,,
2010-09-02,220.0,220.0,217.0,217.0,75,BE,,,
2010-09-03,217.0,226.9,217.0,226.9,115,BE,,,
2010-09-06,226.5,227.0,215.0,215.5,6200,BE,,,
2010-09-07,224.9,224.9,216.0,216.1,248,BE,,,
2010-09-08,215.0,215.0,215.0,215.0,1000,BE,,,
2010-09-09,205.1,205.1,204.3,204.4,1655,BE,,,
2010-09-13,210.0,213.7,210.0,210.0,5950,BE,,,
2010-09-14,205.4,205.5,205.4,205.5,120,BE,,,
2010-09-15,213.7,214.0,213.7,214.0,3000,BE,,,
2010-09-16,204.1,205.0,204.1,205.0,497,BE,,,
2010-09-17,205.05,215.0,205.0,205.0,860,BE,,,
2010-09-20,214.8,214.8,200.0,200.0,1723,BE,,,
2010-09-21,190.05,200.0,190.0,200.0,5200,BE,,,
2010-09-22,205.0,205.0,205.0,205.0,1489,BE,,,
2010-09-23,200.0,200.5,200.0,200.0,750,BE,,,
2010-09-24,200.0,209.0,200.0,200.0,198,BE,,,
2010-09-27,200.0,209.9,200.0,208.95,2220,BE,,,
2010-09-28,200.0,200.0,200.0,200.0,100,BE,,,
2010-09-29,200.0,200.0,200.0,200.0,20,BE,,,
2010-10-01,200.0,200.05,200.0,200.0,300,BE,,,
2010-10-04,200.5,200.5,200.0,200.0,2650,BE,,,
2010-10-05,200.0,200.0,200.0,200.0,211,BE,,,
2010-10-06,200.0,209.8,200.0,208.5,2597,BE,,,
2010-10-07,200.0,210.0,200.0,200.5,131,BE,,,
2010-10-08,200.0,209.85,200.0,200.0,1910,BE,,,
2010-10-11,205.9,205.9,205.9,205.9,5,BE,,,
2010-10-12,200.05,201.5,200.05,201.5,150,BE,,,
2010-10-13,200.1,200.1,200.0,200.0,2568,BE,,,
2010-10-14,200.05,200.05,200.0,200.0,2050,BE,,,
