Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-04-30,621.0,712.0,621.0,694.55,21625280,370244.0,58.41,8151371.0
2024-05-02,689.9,714.0,630.65,638.65,4575871,98393.0,46.51,1376084.0
2024-05-03,650.0,682.6,635.75,638.9,2627395,78293.0,33.56,733245.0
2024-05-06,646.0,655.0,603.0,641.05,1542263,48777.0,31.62,410373.0
2024-05-07,637.0,648.8,620.2,636.8,709404,28357.0,25.02,235761.0
2024-05-08,633.15,657.5,624.55,639.95,772374,33796.0,22.85,182801.0
2024-05-09,648.0,649.0,616.5,622.6,455874,29995.0,15.2,132599.0
2024-05-10,625.5,633.55,600.0,605.6,445624,31094.0,14.33,141719.0
2024-05-13,604.4,622.0,583.8,618.1,534189,34872.0,15.32,186599.0
2024-05-14,615.9,647.95,581.8,644.2,491404,25364.0,19.37,196170.0
2024-05-15,647.35,647.95,625.05,628.05,194811,12929.0,15.07,82288.0
2024-05-16,631.7,636.0,624.05,627.35,140444,6793.0,20.67,64273.0
2024-05-17,627.1,662.55,626.05,651.2,642160,30372.0,21.14,288024.0
2024-05-18,648.0,654.0,639.1,643.6,59480,2525.0,23.56,34287.0
2024-05-21,645.0,650.0,627.95,631.2,208154,14472.0,14.38,99849.0
2024-05-22,634.95,637.65,612.75,626.3,127719,8694.0,14.69,49687.0
2024-05-23,627.65,637.0,620.4,633.65,294296,11970.0,24.59,179855.0
2024-05-24,634.0,677.0,625.5,664.15,506637,26930.0,18.81,220075.0
2024-05-27,665.0,665.9,645.5,655.35,264967,14431.0,18.36,150759.0
2024-05-28,656.0,657.95,634.1,641.95,339770,18047.0,18.83,186434.0
2024-05-29,643.95,647.85,637.4,641.05,133303,9161.0,14.55,76559.0
2024-05-30,641.65,648.0,630.0,641.85,171474,9331.0,18.38,101989.0
2024-05-31,628.0,637.6,606.05,609.8,286044,13862.0,20.64,161091.0
2024-06-03,635.95,635.95,615.65,626.15,196486,12152.0,16.17,98086.0
2024-06-04,626.15,626.15,550.0,576.7,257239,16855.0,15.26,149023.0
2024-06-05,590.0,596.0,558.55,573.6,155846,12506.0,12.46,65278.0
2024-06-06,588.0,619.4,579.25,604.8,291630,17032.0,17.12,133426.0
2024-06-07,646.95,646.95,616.05,637.5,221971,16137.0,13.76,117242.0
2024-06-10,650.0,651.0,630.0,630.35,74660,4338.0,17.21,36532.0
2024-06-11,633.0,642.75,618.9,622.05,169908,11754.0,14.46,65954.0
2024-06-12,632.9,632.9,624.55,626.35,76772,4318.0,17.78,34626.0
2024-06-13,629.35,695.9,629.3,682.85,1084284,53782.0,20.16,375193.0
2024-06-14,689.85,692.95,674.35,680.0,238272,11684.0,20.39,94846.0
2024-06-18,752.0,816.0,733.0,816.0,2382055,63794.0,37.34,728620.0
2024-06-19,834.0,863.95,816.0,841.15,1748010,58304.0,29.98,432437.0
2024-06-20,839.8,839.8,805.05,822.05,242914,7587.0,32.02,141473.0
2024-06-21,831.95,880.0,825.0,861.35,479960,15675.0,30.62,182847.0
2024-06-24,861.4,897.25,845.0,852.1,343439,11770.0,29.18,149663.0
2024-06-25,879.8,889.75,852.3,860.35,193362,11739.0,16.47,101170.0
2024-06-26,860.35,880.0,841.05,857.05,157160,10371.0,15.15,82749.0
2024-06-27,865.5,874.95,850.15,857.0,84498,4511.0,18.73,51907.0
2024-06-28,857.0,866.6,820.45,828.8,109924,6028.0,18.24,64153.0
2024-07-01,829.95,850.0,812.55,831.35,89958,4640.0,19.39,49373.0
2024-07-02,836.0,845.0,816.0,823.75,85605,4450.0,19.24,52172.0
2024-07-03,820.35,844.8,810.05,817.05,85337,5176.0,16.49,52714.0
2024-07-04,820.0,880.0,811.1,861.35,367613,12297.0,29.89,162666.0
2024-07-05,862.9,894.0,852.0,882.65,377637,8559.0,44.12,287443.0
2024-07-08,887.0,890.0,825.0,832.45,175134,7665.0,22.85,97244.0
2024-07-09,832.0,843.5,814.0,817.95,88882,4760.0,18.67,56767.0
2024-07-10,823.6,830.0,770.0,798.7,163033,6587.0,24.75,104762.0
2024-07-11,807.6,814.7,790.0,793.4,51456,2992.0,17.2,33446.0
2024-07-12,799.3,806.9,750.0,772.0,102006,5567.0,18.32,65594.0
2024-07-15,784.6,789.75,770.1,780.05,37196,2328.0,15.98,23273.0
2024-07-16,801.0,810.0,794.0,796.45,30680,1637.0,18.74,30680.0
2024-07-18,799.9,809.5,772.1,774.6,20468,1473.0,13.9,20468.0
2024-07-19,772.0,790.0,735.9,735.9,45974,2622.0,17.53,45974.0
2024-07-22,723.0,768.85,702.85,742.55,29204,1729.0,16.89,29204.0
2024-07-23,745.5,760.0,705.45,741.0,41920,1683.0,24.91,41920.0
2024-07-24,739.95,768.0,730.0,756.7,22163,1138.0,19.48,22163.0
2024-07-25,750.0,764.0,734.5,756.05,19025,1114.0,17.08,19025.0
2024-07-26,755.0,766.0,750.0,754.25,20926,1151.0,18.18,20926.0
2024-07-29,752.0,791.95,750.0,775.05,73152,3360.0,21.77,73152.0
2024-07-30,785.0,789.0,763.0,767.3,39011,1437.0,27.15,39011.0
2024-07-31,767.3,774.8,749.1,751.8,17649,1068.0,16.53,17649.0
2024-08-01,746.05,769.7,741.05,745.25,11540,745.0,15.49,11540.0
2024-08-02,734.75,765.0,714.5,751.65,20231,934.0,21.66,20231.0
2024-08-05,720.2,740.0,714.1,717.95,66471,1995.0,33.32,66471.0
2024-08-06,715.05,735.0,702.0,707.05,24798,1492.0,16.62,24798.0
2024-08-07,708.0,731.0,708.0,723.75,12231,739.0,16.55,12231.0
2024-08-08,729.95,739.9,716.1,722.2,8451,520.0,16.25,8451.0
2024-08-09,729.95,735.0,715.1,722.7,12288,528.0,23.27,12288.0
2024-08-12,723.0,753.0,717.0,740.35,22008,773.0,28.47,22008.0
2024-08-13,750.0,759.95,726.0,735.15,32381,1369.0,23.65,32381.0
2024-08-14,721.1,721.1,698.4,700.0,94785,2542.0,37.29,94785.0
2024-08-16,722.0,735.0,715.0,734.2,63019,1379.0,45.7,63019.0
2024-08-19,747.85,768.0,735.55,755.2,39324,1749.0,22.48,39324.0
2024-08-20,768.0,768.0,738.0,742.8,11124,630.0,17.66,11124.0
2024-08-21,753.95,775.0,730.1,773.6,29843,1209.0,24.68,29843.0
2024-08-22,770.0,779.9,745.0,762.3,23977,979.0,24.49,23977.0
2024-08-23,760.0,768.95,750.0,759.8,22204,1067.0,20.81,22204.0
2024-08-26,760.0,771.0,750.0,766.6,49800,2336.0,21.32,49800.0
2024-08-27,770.0,777.0,743.0,760.35,26588,967.0,27.5,26588.0
2024-08-28,750.0,759.95,748.5,753.55,15590,736.0,21.18,15590.0
2024-08-29,743.05,759.95,726.0,740.3,20372,1482.0,13.75,20372.0
2024-08-30,747.0,755.0,735.0,748.85,27719,1596.0,17.37,27719.0
2024-09-02,751.2,751.2,721.0,739.4,34610,1964.0,17.62,34610.0
2024-09-03,737.0,748.0,725.0,726.55,18339,911.0,20.13,18339.0
2024-09-04,715.2,735.0,715.2,720.7,15344,1000.0,15.34,15344.0
