Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2012-12-26,940.0,985.0,895.0,922.55,10188263,EQ,,,
2012-12-27,924.8,948.0,915.55,934.55,1617271,EQ,,,
2012-12-28,932.55,944.7,923.35,927.0,418253,EQ,,,
2012-12-31,935.0,935.0,912.55,914.8,257787,EQ,,,
2013-01-01,916.25,930.9,910.0,918.95,369659,EQ,,,
2013-01-02,920.1,935.5,915.0,923.95,346897,EQ,,,
2013-01-03,925.2,957.1,924.8,934.85,678465,EQ,,,
2013-01-04,932.3,940.0,926.75,934.75,184140,EQ,,,
2013-01-07,936.95,948.0,926.6,929.25,177039,EQ,,,
2013-01-08,933.8,934.0,917.55,920.85,102999,EQ,,,
2013-01-09,923.8,931.4,919.0,923.7,192278,EQ,,,
2013-01-10,926.0,948.9,925.0,936.7,627088,EQ,,,
2013-01-11,939.5,955.8,935.75,938.65,306517,EQ,,,
2013-01-14,940.0,944.35,921.5,923.45,138506,EQ,,,
2013-01-15,926.0,936.0,920.0,931.05,100382,EQ,,,
2013-01-16,932.95,934.6,916.0,919.35,47590,EQ,,,
2013-01-17,920.0,932.0,920.0,925.65,58228,EQ,,,
2013-01-18,927.65,928.45,922.15,924.85,58792,EQ,,,
2013-01-21,925.0,932.0,923.0,925.05,59569,EQ,,,
2013-01-22,927.0,930.7,925.0,926.0,63555,EQ,,,
2013-01-23,928.1,941.95,920.8,929.6,252828,EQ,,,
2013-01-24,928.0,932.9,918.0,920.85,115624,EQ,,,
2013-01-25,921.45,928.7,919.55,924.85,28665,EQ,,,
2013-01-28,926.95,930.0,913.0,917.1,208678,EQ,,,
2013-01-29,920.1,920.1,867.35,877.8,237919,EQ,,,
2013-01-30,877.9,891.5,861.0,865.1,48716,EQ,,,
2013-01-31,856.1,865.25,836.55,842.25,125937,EQ,,,
2013-02-01,845.0,872.0,844.95,852.15,56772,EQ,,,
2013-02-04,853.0,859.75,825.7,831.15,35064,EQ,,,
2013-02-05,829.7,836.0,820.1,823.25,27745,EQ,,,
2013-02-06,822.5,829.9,821.8,822.2,26572,EQ,,,
2013-02-07,823.5,848.0,821.7,829.4,32365,EQ,,,
2013-02-08,831.9,832.3,823.25,826.9,20565,EQ,,,
2013-02-11,832.7,833.0,822.0,825.1,22984,EQ,,,
2013-02-12,825.15,830.25,824.65,825.4,16377,EQ,,,
2013-02-13,827.75,837.7,824.25,826.35,63180,EQ,,,
2013-02-14,832.45,845.0,824.0,827.05,50532,EQ,,,
