Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-04-12,755.0,880.0,755.0,813.3,53465498,664404,80.47,31967566
2024-04-15,785.5,820.0,783.0,806.1,5068261,94152,53.83,2263672
2024-04-16,816.0,917.7,814.0,903.5,13031759,234039,55.68,2265371
2024-04-18,921.0,1015.55,906.2,969.15,13608473,259095,52.52,3565235
2024-04-19,949.95,986.8,926.15,947.15,5137294,112485,45.67,1203244
2024-04-22,954.9,993.55,906.0,926.8,3677669,88408,41.6,943961
2024-04-23,925.0,939.8,907.1,927.2,2346573,52820,44.43,1015277
2024-04-24,930.6,974.45,912.0,917.8,1271044,47837,26.57,434624
2024-04-25,916.9,921.15,901.0,908.25,988092,43634,22.65,478039
2024-04-26,909.6,919.0,875.4,894.65,1067575,28548,37.4,579635
2024-04-29,895.55,898.35,872.5,884.15,878004,53199,16.5,400864
2024-04-30,882.0,889.25,861.2,866.5,617812,41351,14.94,251112
2024-05-02,865.0,896.4,854.15,878.8,821324,35880,22.89,393294
2024-05-03,880.0,882.3,865.0,871.35,433165,13339,32.47,303241
2024-05-06,876.6,930.0,865.25,906.45,1320523,60085,21.98,454656
2024-05-07,915.0,918.4,870.1,886.1,834415,26913,31.0,576188
2024-05-08,880.0,887.0,858.25,869.85,1675583,55899,29.98,1071128
2024-05-09,870.0,883.95,863.0,868.65,707120,20711,34.14,308892
2024-05-10,868.9,910.0,867.4,902.6,647972,28272,22.92,254086
2024-05-13,908.9,913.0,878.65,900.15,470673,26791,17.57,169673
2024-05-14,900.0,912.0,884.95,899.7,440688,29625,14.88,191297
2024-05-15,935.0,962.0,896.35,954.05,2431049,89425,27.19,1088288
2024-05-16,962.8,979.95,935.1,941.6,904640,46697,19.37,343707
2024-05-17,944.8,978.9,940.0,966.6,814452,32103,25.37,345785
2024-05-18,970.0,975.95,955.0,961.1,39942,2601,15.36,21082
2024-05-21,967.55,967.55,933.95,941.7,585751,33660,17.4,235089
2024-05-22,945.0,970.0,939.5,964.75,463341,22986,20.16,237031
2024-05-23,967.0,1037.55,966.25,1002.25,2089917,119381,17.51,837555
2024-05-24,1006.0,1034.0,992.3,1022.05,800713,39210,20.42,381324
2024-05-27,1030.65,1038.0,1012.0,1028.4,486858,25065,19.42,252555
2024-05-28,1029.95,1037.45,981.2,989.75,448053,24708,18.13,162418
2024-05-29,990.0,1030.9,986.15,1019.25,258009,15367,16.79,106677
2024-05-30,1019.65,1032.0,1007.9,1010.45,328974,18889,17.42,175242
2024-05-31,1017.0,1055.0,987.5,1023.4,967409,47041,20.57,503543
2024-06-03,1075.0,1089.95,1040.0,1072.9,555233,43640,12.72,264781
2024-06-04,1061.05,1061.1,909.45,960.2,1477151,77934,18.95,818375
2024-06-05,970.9,1048.0,936.05,1020.35,1704385,86220,19.77,888410
2024-06-06,1022.1,1066.95,1015.05,1055.85,507070,40721,12.45,209393
2024-06-07,1062.65,1088.65,1040.0,1071.2,435943,37766,11.54,188490
2024-06-10,1080.0,1119.0,1063.1,1091.0,502256,24829,20.23,213704
2024-06-11,1099.0,1099.6,1058.0,1077.55,364656,20975,17.39,149916
2024-06-12,1086.95,1117.95,1078.0,1110.3,980726,30351,32.31,636240
2024-06-13,1114.15,1118.0,1082.3,1091.3,304749,34603,8.81,142080
2024-06-14,1093.0,1094.0,1063.05,1077.3,346464,26934,12.86,183334
2024-06-18,1083.0,1174.5,1081.5,1154.75,643266,44097,14.59,300448
2024-06-19,1153.9,1161.9,1103.8,1148.6,1060621,69653,15.23,601387
2024-06-20,1150.0,1165.0,1122.15,1133.25,609306,31095,19.59,294306
2024-06-21,1134.95,1148.0,1085.05,1118.3,488207,25552,19.11,229266
2024-06-24,1113.0,1158.5,1104.6,1120.3,466281,33400,13.96,252375
2024-06-25,1133.65,1173.95,1127.1,1160.85,535989,42902,12.49,238335
2024-06-26,1167.2,1368.6,1166.0,1257.15,3226448,142283,22.68,1146667
2024-06-27,1279.8,1279.8,1152.0,1185.4,2074101,110665,18.74,689171
2024-06-28,1225.0,1242.9,1091.0,1116.85,3848210,216403,17.78,1875429
2024-07-01,1126.0,1133.8,1075.1,1099.85,1073344,71288,15.06,510037
2024-07-02,1105.05,1119.0,1075.0,1080.2,626986,30131,20.81,281235
2024-07-03,1084.95,1102.95,1071.05,1083.9,508390,31659,16.06,227702
2024-07-04,1094.0,1098.0,1060.25,1073.55,1302432,86377,15.08,801315
2024-07-05,1089.0,1107.5,1068.75,1095.2,475800,36369,13.08,199328
