Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,49.0,51.0,42.2,47.16,126785,EQ,537,236.1,95477
2026-08-18,47.85,48.03,45.86,46.41,591390,EQ,886,667.48,538259
2026-08-19,47.0,47.0,44.1,45.95,250800,EQ,786,319.08,216234
2026-08-20,45.88,47.5,44.98,45.95,163879,EQ,635,258.08,65169
2026-08-21,47.5,47.5,45.34,45.93,173528,EQ,379,457.86,94030
2026-08-24,45.55,47.3,44.0,44.99,350193,EQ,942,371.75,226384
2026-08-25,45.5,47.8,44.0,47.12,257516,EQ,1055,244.09,123678
2026-08-26,47.12,49.23,46.4,48.65,473412,EQ,1219,388.36,250505
2026-08-27,48.65,49.29,47.5,48.26,255386,EQ,791,322.86,169109
2026-08-28,48.5,48.62,45.51,46.47,262808,EQ,1123,234.02,196283
2026-08-31,46.77,47.45,40.49,42.38,294670,EQ,906,325.24,155620
