Date,Open,High,Low,Close,Volume
2022-08-25,56.1,56.25,55.11,55.75,1413
2022-08-26,56.1,56.1,55.2,55.2,4078
2022-08-29,56.85,56.85,53.7,54.0,3033
2022-08-30,53.8,54.3,53.8,54.02,3445
2022-09-01,54.3,55.0,51.54,53.42,10161
2022-09-02,52.2,53.4,52.2,52.39,2390
2022-09-05,52.5,53.4,52.5,53.0,1204
2022-09-06,53.01,53.65,53.0,53.45,2668
2022-09-07,53.21,53.21,52.61,53.0,2296
2022-09-08,53.0,53.95,53.0,53.95,1309
2022-09-09,54.0,54.5,53.95,54.5,6349
2022-09-12,54.59,55.45,54.47,55.15,1962
2022-09-13,55.2,57.0,55.2,56.49,5219
2022-09-14,56.21,56.5,55.81,56.08,1738
2022-09-15,57.2,57.2,55.9,56.13,3072
2022-09-16,56.4,56.4,54.4,54.51,2421
2022-09-19,54.9,56.0,54.9,55.57,1300
2022-09-20,55.8,56.05,55.55,55.56,1445
2022-09-21,55.7,56.4,55.7,55.75,681
2022-09-22,55.8,57.0,55.8,56.97,2773
2022-09-23,57.0,58.0,56.25,56.81,11780
2022-09-26,56.0,56.0,54.5,55.0,18592
2022-09-27,55.01,55.5,54.51,54.72,5875
2022-09-28,54.61,54.61,53.0,53.65,3180
2022-09-29,54.0,55.65,54.0,55.35,548
2022-09-30,55.5,56.25,55.5,56.0,1995
2022-10-03,56.1,57.4,56.1,56.98,892
2022-10-04,59.1,61.2,58.9,60.36,17862
2022-10-06,61.01,61.01,59.6,59.66,10223
2022-10-07,59.99,60.85,59.99,60.7,3627
2022-10-10,59.98,60.73,58.25,58.52,4785
2022-10-11,59.93,59.93,57.25,57.44,10043
2022-10-12,57.41,57.41,56.81,57.19,1538
2022-10-13,57.21,57.21,56.35,56.38,1859
2022-10-14,58.07,58.07,55.81,55.99,2253
2022-10-17,55.8,56.0,54.81,55.67,4323
2022-10-18,55.8,56.7,55.51,55.89,8070
2022-10-19,55.94,55.94,55.0,55.42,2078
2022-10-20,55.39,57.6,55.01,55.99,70595
2022-10-21,55.81,55.81,55.01,55.01,4705
2022-10-24,57.19,58.89,56.91,57.46,4460
2022-10-25,57.19,57.19,56.2,56.47,2285
2022-10-27,56.9,57.5,56.63,57.46,1957
2022-10-28,57.49,57.8,57.02,57.02,7518
2022-10-31,59.3,59.3,56.75,56.98,1194
2022-11-01,56.71,59.55,56.69,58.48,4425
2022-11-02,58.59,58.75,58.4,58.59,7792
2022-11-03,58.79,58.79,56.95,56.99,13123
