Date,Open,High,Low,Close,Volume
2022-11-14,164.0,170.0,155.8,163.1,2787600
2022-11-15,159.0,161.9,154.95,155.1,436800
2022-11-16,149.0,152.9,147.35,148.2,291600
2022-11-17,145.0,148.0,140.8,141.4,339600
2022-11-18,143.0,148.45,142.1,148.45,73200
2022-11-21,155.85,155.85,151.0,155.85,157200
2022-11-22,156.0,160.0,151.65,157.95,196800
2022-11-23,159.9,160.9,154.25,154.65,68400
2022-11-24,157.8,157.8,151.7,154.55,92400
2022-11-25,154.55,162.25,154.1,162.25,222000
2022-11-28,167.9,172.0,163.0,165.3,296400
2022-11-29,163.75,167.0,156.25,157.2,157200
2022-11-30,158.0,161.85,151.0,153.65,103200
2022-12-01,154.2,154.5,142.55,146.45,146400
2022-12-02,147.0,156.4,147.0,150.7,127200
2022-12-05,152.0,153.85,150.1,151.2,39600
2022-12-06,152.5,153.0,148.25,149.75,64800
2022-12-07,150.0,150.0,140.7,142.75,115200
2022-12-08,142.75,146.5,138.5,141.15,79200
2022-12-09,141.0,144.45,141.0,141.95,27600
2022-12-12,140.0,143.45,138.4,140.45,62400
2022-12-13,139.0,143.4,139.0,140.45,69600
2022-12-14,140.0,140.6,136.25,138.7,68400
2022-12-15,138.9,148.85,138.0,143.85,150000
2022-12-16,142.2,144.45,138.0,139.6,38400
2022-12-19,140.0,145.4,140.0,143.85,150000
2022-12-20,144.8,144.8,136.25,138.0,117600
2022-12-21,138.25,138.25,128.5,128.95,295200
2022-12-22,133.0,133.0,120.0,129.8,177600
2022-12-23,130.0,130.0,120.1,120.45,45600
2022-12-26,120.0,126.85,118.0,124.85,30000
2022-12-27,123.0,125.0,120.6,122.7,16800
2022-12-28,124.1,129.0,122.3,127.95,34800
2022-12-29,127.95,127.95,122.0,123.2,36000
2022-12-30,125.25,128.85,125.25,128.1,27600
2023-01-02,128.4,129.95,125.0,126.75,58800
2023-01-03,126.7,127.0,124.35,125.55,19200
2023-01-04,127.0,129.7,122.0,122.95,44400
2023-01-05,123.3,124.5,123.3,123.95,9600
2023-01-06,124.25,124.5,122.0,122.35,22800
2023-01-09,123.1,123.6,121.05,121.15,33600
2023-01-10,121.0,122.45,119.3,119.45,49200
2023-01-11,118.05,120.0,117.7,118.85,28800
2023-01-12,118.55,121.5,118.55,120.0,37200
2023-01-13,120.0,125.5,120.0,124.6,22800
2023-01-16,127.8,129.0,126.0,126.95,22800
2023-01-17,125.0,128.25,124.4,126.1,15600
2023-01-18,125.05,125.2,124.0,125.1,30000
2023-01-19,125.0,125.0,122.0,124.15,16800
2023-01-20,122.95,125.0,122.95,123.0,14400
2023-01-23,122.85,123.65,121.95,123.0,16800
2023-01-24,125.7,125.7,123.15,123.9,4800
2023-01-25,123.9,123.9,121.0,121.2,19200
2023-01-27,120.05,120.05,116.0,117.55,30000
2023-01-30,113.5,113.5,106.0,107.25,56400
2023-01-31,105.05,109.8,99.0,109.0,109200
2023-02-01,107.1,112.25,107.1,108.0,39600
2023-02-02,109.9,109.9,105.0,106.9,30000
2023-02-03,105.05,105.05,102.0,103.9,15600
2023-02-06,103.9,104.0,101.25,102.5,19200
2023-02-07,102.0,104.35,102.0,104.35,27600
2023-02-08,104.05,108.5,103.0,108.25,34800
2023-02-09,106.1,108.8,105.25,105.9,14400
2023-02-10,103.6,108.95,103.6,107.6,87600
2023-02-13,106.0,107.0,105.1,106.0,13200
2023-02-14,104.2,106.0,103.75,103.75,18000
2023-02-15,106.0,106.5,104.95,104.95,13200
2023-02-16,102.5,105.0,102.5,104.95,25200
2023-02-17,103.5,103.85,102.8,103.3,16800
2023-02-20,103.75,103.75,101.0,101.5,88800
2023-02-21,101.0,103.5,99.2,100.8,44400
2023-02-22,99.0,100.0,95.15,95.85,38400
2023-02-23,95.85,98.85,91.25,96.3,81600
2023-02-24,96.6,99.0,93.1,93.85,74400
2023-02-27,93.85,97.0,88.0,94.15,343200
2023-02-28,93.0,96.5,93.0,93.1,20400
2023-03-01,93.1,95.5,93.1,94.25,15600
2023-03-02,95.0,95.0,91.2,93.15,31200
2023-03-03,94.4,95.35,93.5,93.7,24000
2023-03-06,94.0,96.5,93.15,93.55,37200
2023-03-08,95.0,96.0,92.85,92.85,44400
2023-03-09,93.45,93.45,91.1,92.0,88800
2023-03-10,92.35,92.35,90.0,90.1,21600
2023-03-13,88.75,91.1,88.65,88.8,33600
2023-03-14,88.0,88.0,82.0,83.0,82800
2023-03-15,87.5,87.5,77.0,78.6,105600
2023-03-16,84.9,88.0,80.2,85.3,135600
2023-03-17,88.0,88.0,85.3,87.0,128400
2023-03-20,84.05,84.95,78.55,81.85,56400
2023-03-21,83.45,86.95,82.6,85.1,73200
2023-03-22,85.4,86.6,82.4,83.05,48000
2023-03-23,83.0,83.75,81.4,82.45,32400
2023-03-24,83.5,85.65,80.55,83.1,195600
2023-03-27,82.5,84.75,79.0,80.25,120000
2023-03-28,81.0,81.0,77.05,77.05,43200
2023-03-29,77.9,78.05,76.0,77.2,200400
2023-03-31,78.0,78.5,76.05,76.85,109200
2023-04-03,79.0,88.9,77.15,88.4,150000
2023-04-05,91.15,100.85,91.15,94.45,67200
2023-04-06,96.0,96.0,94.5,95.25,31200
2023-04-10,98.95,98.95,96.0,97.0,42000
2023-04-11,97.5,98.0,96.0,96.5,19200
2023-04-12,97.65,97.65,93.0,93.6,26400
2023-04-13,93.6,96.0,93.25,95.5,16800
2023-04-17,95.85,96.8,95.85,96.4,7200
2023-04-18,96.75,98.95,95.1,95.1,14400
2023-04-19,96.95,96.95,94.0,94.0,75600
2023-04-20,96.45,96.5,94.2,94.5,7200
2023-04-21,91.05,95.0,91.05,93.95,15600
2023-04-24,91.6,97.9,91.6,95.8,18000
2023-04-25,98.5,98.5,94.05,94.05,24000
2023-04-26,95.9,96.0,93.15,95.3,18000
2023-04-27,95.3,96.85,92.25,92.25,18000
2023-04-28,94.4,95.7,94.0,95.0,24000
2023-05-02,95.0,97.0,95.0,96.55,7200
2023-05-03,96.25,96.25,93.15,93.15,6000
2023-05-04,93.95,94.25,93.95,94.0,4800
2023-05-05,93.95,94.75,91.0,94.0,22800
2023-05-08,94.5,95.0,93.4,94.6,13200
2023-05-09,94.2,94.2,93.25,94.15,7200
2023-05-10,93.15,93.25,90.05,90.25,25200
2023-05-11,90.25,90.25,88.0,88.0,6000
2023-05-12,88.5,91.5,88.5,91.35,16800
2023-05-15,93.2,93.25,93.0,93.0,7200
2023-05-16,93.0,111.6,93.0,111.4,290400
2023-05-17,113.4,129.0,110.0,124.15,266400
2023-05-18,121.55,129.0,121.4,122.6,104400
2023-05-19,125.95,127.5,115.2,117.35,56400
2023-05-22,115.3,120.75,112.65,118.65,79200
2023-05-23,101.1,127.9,94.95,125.05,802800
2023-05-24,125.9,125.9,116.55,117.9,112800
2023-05-25,117.25,121.7,117.0,118.65,58800
2023-05-26,118.35,119.2,116.15,117.75,32400
2023-05-29,118.95,118.95,115.75,116.1,20400
2023-05-30,116.0,117.45,113.5,113.5,43200
