Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,258.95,265.0,258.7,263.4,323,EQ,18.0,17.94,321.0
2026-04-21,258.0,263.0,246.15,255.6,536,EQ,33.0,16.24,488.0
2026-04-22,255.65,268.0,255.6,266.0,523,EQ,27.0,19.37,500.0
2026-04-23,262.0,265.0,258.0,263.9,608,EQ,30.0,20.27,439.0
2026-04-24,263.95,275.0,250.0,261.5,2980,EQ,84.0,35.48,2481.0
2026-04-27,271.95,271.95,259.2,260.6,2840,EQ,156.0,18.21,2641.0
2026-04-28,260.0,260.0,256.0,259.25,469,EQ,34.0,13.79,457.0
2026-04-29,266.0,275.0,257.0,269.1,286,EQ,33.0,8.67,250.0
2026-04-30,273.9,273.9,254.95,263.05,1974,EQ,55.0,35.89,1633.0
2026-05-04,272.95,273.0,265.0,270.5,863,EQ,45.0,19.18,838.0
2026-05-05,274.85,274.85,260.15,266.25,4055,EQ,136.0,29.82,3122.0
2026-05-06,264.0,268.85,264.0,265.8,984,EQ,72.0,13.67,895.0
2026-05-07,267.25,272.6,264.95,269.8,2844,EQ,82.0,34.68,2581.0
2026-05-08,273.7,273.7,252.2,257.5,13269,EQ,270.0,49.14,9875.0
2026-05-11,257.45,268.5,252.0,262.8,8926,EQ,275.0,32.46,7356.0
2026-05-12,258.5,266.8,250.0,255.3,7890,EQ,88.0,89.66,7448.0
2026-05-13,256.35,259.0,252.0,254.2,1651,EQ,55.0,30.02,1209.0
2026-05-14,253.95,261.5,252.0,258.1,1600,EQ,42.0,38.1,1169.0
2026-05-15,258.0,267.0,257.1,258.05,971,EQ,81.0,11.99,771.0
2026-05-18,250.15,255.45,247.0,248.2,2498,EQ,115.0,21.72,2035.0
2026-05-19,253.0,255.8,246.0,251.35,1204,EQ,74.0,16.27,1135.0
2026-05-20,250.3,253.9,247.65,251.95,475,EQ,53.0,8.96,473.0
2026-05-21,249.15,255.65,249.15,254.45,392,EQ,19.0,20.63,387.0
2026-05-22,259.4,259.4,250.05,255.35,1165,EQ,32.0,36.41,852.0
2026-05-25,252.1,262.0,252.1,256.0,6911,EQ,91.0,75.95,6096.0
2026-05-26,262.7,262.7,238.5,241.7,16549,EQ,548.0,30.2,14450.0
2026-05-27,241.0,242.55,233.3,236.65,16583,EQ,367.0,45.19,13968.0
2026-05-29,241.65,249.0,232.5,237.05,4730,EQ,313.0,15.11,3487.0
2026-06-01,235.0,237.0,232.0,234.79,6399,EQ,77.0,83.1,4756.0
2026-06-02,240.0,248.0,232.2,234.97,6931,EQ,84.0,82.51,6163.0
2026-06-03,234.0,241.5,233.95,237.26,2059,EQ,78.0,26.4,1611.0
2026-06-04,237.0,240.0,233.2,234.66,2455,EQ,108.0,22.73,2335.0
2026-06-05,235.0,237.0,233.2,233.21,2029,EQ,33.0,61.48,1929.0
2026-06-08,233.1,237.9,231.05,232.86,671,EQ,26.0,25.81,373.0
2026-06-09,232.0,233.2,230.0,231.99,8230,EQ,364.0,22.61,7588.0
2026-06-10,234.95,239.99,229.9,232.5,2554,EQ,105.0,24.32,2050.0
2026-06-11,233.0,235.79,232.5,233.0,865,EQ,33.0,26.21,813.0
2026-06-12,240.0,240.0,233.0,238.98,388,EQ,31.0,12.52,383.0
2026-06-15,238.0,269.0,238.0,265.15,21343,EQ,1204.0,17.73,18077.0
2026-06-16,276.0,288.95,259.8,284.55,44440,EQ,1132.0,39.26,37362.0
2026-06-17,291.79,310.9,290.65,307.33,75848,EQ,2057.0,36.87,42693.0
2026-06-18,304.89,313.0,300.55,311.23,31308,EQ,496.0,63.12,28528.0
2026-06-19,311.2,320.0,301.99,314.56,31296,EQ,679.0,46.09,21939.0
2026-06-22,317.8,337.18,312.5,322.09,23383,EQ,925.0,25.28,13509.0
2026-06-23,328.95,345.0,315.1,336.41,72158,EQ,2171.0,33.24,41761.0
2026-06-24,339.89,350.0,325.0,331.07,25224,EQ,874.0,28.86,17147.0
2026-06-25,330.0,330.0,314.52,314.62,4549,BE,82.0,55.48,4549.0
2026-06-29,330.0,330.0,302.0,315.74,4397,BE,179.0,24.56,4397.0
2026-06-30,329.0,329.0,302.0,319.53,1782,BE,55.0,32.4,1782.0
2026-07-01,321.9,325.0,305.5,318.9,6584,BE,36,182.89,6584
2026-07-02,306.0,328.0,306.0,324.55,2229,BE,61,36.54,2229
2026-07-03,315.0,330.0,308.35,328.0,11461,BE,106,108.12,11461
2026-07-06,313.2,326.95,313.0,322.0,3325,BE,64,51.95,3325
2026-07-07,322.0,331.45,320.0,322.05,490,BE,21,23.33,490
2026-07-08,318.0,320.4,305.95,310.3,2816,BE,52,54.15,2816
2026-07-09,314.9,319.9,297.2,316.9,1050,BE,39,26.92,1050
2026-07-10,332.0,332.0,306.0,320.7,2562,BE,49,52.29,2562
2026-07-13,318.0,323.75,306.3,321.5,3024,BE,38,79.58,3024
2026-07-14,320.0,320.0,311.0,317.35,407,BE,48,8.48,407
2026-07-15,317.35,324.45,312.0,313.3,236,BE,47,5.02,236
2026-07-16,315.0,320.7,312.0,312.45,440,BE,25,17.6,440
2026-07-17,320.0,321.0,304.15,312.4,1081,BE,63,17.16,1081
2026-07-20,301.4,311.0,298.2,309.65,2180,BE,41,53.17,2180
2026-07-21,310.8,310.9,305.0,305.0,522,BE,11,47.45,522
2026-07-22,293.05,313.85,293.05,313.0,3399,BE,74,45.93,3399
2026-07-23,303.05,312.0,303.0,303.55,2263,BE,69,32.8,2263
