Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-06-02,90.0,94.5,90.0,94.5,2228000,ST,844,2639.81,2228000
2023-06-05,99.2,99.2,99.2,99.2,116000,ST,55,2109.09,116000
2023-06-06,104.15,104.15,104.15,104.15,92000,ST,45,2044.44,92000
2023-06-07,109.35,109.35,100.15,109.35,1904000,ST,613,3106.04,1690000
2023-06-08,114.7,114.8,105.0,114.8,1044000,ST,384,2718.75,976000
2023-06-09,120.5,120.5,118.1,120.5,384000,ST,148,2594.59,352000
2023-06-12,126.5,126.5,126.5,126.5,50000,ST,17,2941.18,50000
2023-06-13,132.8,132.8,132.8,132.8,138000,ST,45,3066.67,138000
2023-06-14,126.2,134.0,126.2,128.55,1036000,ST,345,3002.9,946000
2023-06-15,128.0,134.95,128.0,134.95,358000,ST,157,2280.25,320000
2023-06-16,139.7,139.7,121.5,123.85,552000,SM,255,2164.71,388000
2023-06-19,123.0,130.2,122.85,129.1,276000,SM,135,2044.44,186000
2023-06-20,129.0,142.0,129.0,142.0,648000,SM,291,2226.8,314000
2023-06-21,146.9,156.2,146.9,156.2,642000,SM,232,2767.24,456000
2023-06-22,171.8,171.8,169.0,171.8,182000,SM,74,2459.46,148000
2023-06-23,180.35,180.35,165.5,175.6,1004000,SM,370,2713.51,508000
2023-06-26,174.2,174.25,166.85,166.85,58000,SM,28,2071.43,48000
2023-06-27,163.0,167.75,158.5,158.5,614000,SM,237,2590.72,338000
2023-06-28,158.35,159.5,150.6,150.6,456000,SM,204,2235.29,242000
2023-06-30,150.45,158.1,149.75,158.1,358000,SM,144,2486.11,216000
2023-07-03,160.0,162.0,150.2,156.8,776000,SM,293,2648.46,360000
2023-07-04,159.95,159.95,150.6,152.35,170000,SM,80,2125.0,116000
2023-07-05,150.3,152.9,149.75,150.0,194000,SM,90,2155.56,114000
2023-07-06,146.2,157.5,146.2,156.4,170000,SM,79,2151.9,110000
2023-07-07,159.85,159.85,152.0,155.1,50000,SM,24,2083.33,36000
2023-07-10,153.1,153.9,150.0,150.05,50000,SM,25,2000.0,44000
2023-07-11,153.4,153.4,149.75,150.25,92000,SM,38,2421.05,66000
2023-07-12,151.95,155.0,150.0,150.2,48000,SM,24,2000.0,34000
2023-07-13,150.0,152.0,149.0,149.7,80000,SM,36,2222.22,72000
2023-07-14,149.85,157.15,149.85,157.15,110000,SM,52,2115.38,86000
2023-07-17,163.95,165.0,163.95,165.0,70000,SM,25,2800.0,70000
2023-07-18,167.85,167.85,156.75,156.75,194000,SM,92,2108.7,134000
2023-07-19,155.65,156.75,150.0,150.75,126000,SM,58,2172.41,88000
2023-07-20,153.8,156.0,152.2,152.75,28000,SM,13,2153.85,18000
2023-07-21,150.6,153.5,149.8,149.95,88000,SM,40,2200.0,64000
2023-07-24,150.05,153.0,149.75,149.8,62000,SM,25,2480.0,32000
2023-07-25,149.8,152.65,149.8,150.05,24000,SM,11,2181.82,14000
2023-07-26,150.05,152.75,150.0,150.1,48000,SM,22,2181.82,28000
2023-07-27,150.7,153.0,149.75,149.8,56000,SM,28,2000.0,42000
2023-07-28,150.25,151.45,149.75,149.85,64000,SM,25,2560.0,42000
2023-07-31,152.0,152.0,145.3,145.95,92000,SM,35,2628.57,56000
2023-08-01,148.0,153.2,148.0,153.2,56000,SM,27,2074.07,48000
2023-08-02,151.05,153.0,147.3,148.55,80000,SM,33,2424.24,54000
2023-08-03,150.0,150.0,144.05,146.9,44000,SM,20,2200.0,32000
2023-08-04,146.0,154.2,146.0,151.5,198000,SM,83,2385.54,140000
2023-08-07,151.6,153.35,146.2,149.85,102000,SM,42,2428.57,74000
2023-08-08,148.0,150.3,147.0,147.3,40000,SM,20,2000.0,26000
2023-08-09,147.5,150.3,147.5,150.3,48000,SM,20,2400.0,30000
2023-08-10,150.1,150.25,146.0,147.4,66000,SM,33,2000.0,50000
2023-08-11,146.65,149.9,145.1,146.15,94000,SM,45,2088.89,60000
2023-08-14,144.25,150.5,144.25,150.25,110000,SM,42,2619.05,86000
2023-08-16,150.25,150.3,148.0,149.35,62000,SM,27,2296.3,50000
2023-08-17,148.35,150.3,148.0,149.0,52000,SM,23,2260.87,46000
2023-08-18,149.5,150.0,148.0,148.35,38000,SM,14,2714.29,36000
2023-08-21,150.3,150.3,147.0,148.2,108000,SM,50,2160.0,80000
2023-08-22,154.0,163.0,151.0,163.0,218000,SM,105,2076.19,168000
2023-08-23,169.8,175.95,168.05,169.3,270000,SM,124,2177.42,166000
2023-08-24,170.0,170.0,160.0,161.15,50000,SM,25,2000.0,44000
2023-08-25,164.0,166.4,157.7,159.45,50000,SM,24,2083.33,42000
2023-08-28,160.0,168.95,158.05,161.0,138000,SM,57,2421.05,96000
2023-08-29,161.05,163.0,158.5,161.5,102000,SM,45,2266.67,70000
2023-08-30,164.85,164.85,154.0,154.45,164000,SM,73,2246.58,122000
2023-08-31,159.9,159.9,154.0,157.1,130000,SM,65,2000.0,84000
2023-09-01,160.5,165.0,157.5,164.5,108000,SM,49,2204.08,82000
2023-09-04,165.0,171.95,163.5,169.0,102000,SM,47,2170.21,82000
2023-09-05,169.5,169.5,159.95,161.1,192000,SM,85,2258.82,132000
2023-09-06,160.0,164.0,159.9,162.1,78000,SM,37,2108.11,44000
2023-09-07,158.3,162.5,158.0,158.6,48000,SM,24,2000.0,38000
2023-09-08,160.0,160.0,158.1,158.15,18000,SM,8,2250.0,16000
2023-09-11,164.9,165.9,154.2,156.7,156000,SM,71,2197.18,104000
2023-09-12,158.0,158.1,150.5,153.45,82000,SM,41,2000.0,60000
2023-09-13,153.45,153.45,150.0,152.5,44000,SM,22,2000.0,40000
2023-09-14,152.5,154.9,150.0,154.9,66000,SM,30,2200.0,44000
2023-09-15,155.0,155.0,149.75,151.6,118000,SM,51,2313.73,76000
2023-09-18,150.15,152.3,150.0,150.3,32000,SM,16,2000.0,22000
2023-09-20,150.5,153.4,149.75,152.2,50000,SM,24,2083.33,42000
2023-09-21,153.4,153.4,150.2,150.2,12000,SM,6,2000.0,10000
2023-09-22,150.7,150.7,149.7,149.7,10000,SM,5,2000.0,8000
2023-09-25,154.55,154.55,148.1,148.1,4000,SM,2,2000.0,4000
2023-09-26,150.1,150.1,139.4,141.25,74000,SM,36,2055.56,60000
2023-09-27,140.5,147.0,138.0,146.35,44000,SM,22,2000.0,36000
2023-09-28,143.0,147.55,143.0,145.0,20000,SM,7,2857.14,14000
2023-09-29,150.8,150.8,145.05,148.95,28000,SM,12,2333.33,14000
2023-10-03,150.95,151.0,149.0,150.85,24000,SM,12,2000.0,18000
2023-10-04,150.0,150.0,146.3,147.55,22000,SM,10,2200.0,16000
2023-10-05,148.0,148.0,146.25,146.25,6000,SM,3,2000.0,6000
2023-10-06,144.5,149.2,144.5,146.6,10000,SM,5,2000.0,8000
2023-10-09,146.0,149.75,145.1,146.55,52000,SM,21,2476.19,36000
2023-10-10,149.95,149.95,148.0,148.5,8000,SM,4,2000.0,6000
2023-10-11,151.0,151.6,145.2,150.0,38000,SM,19,2000.0,30000
2023-10-12,150.0,150.0,147.15,150.0,14000,SM,7,2000.0,12000
2023-10-13,150.0,151.25,149.0,149.55,14000,SM,7,2000.0,12000
2023-10-16,149.55,152.0,146.6,148.0,28000,SM,14,2000.0,24000
2023-10-17,149.55,150.0,146.0,149.2,38000,SM,18,2111.11,30000
2023-10-18,151.9,151.9,146.6,146.6,22000,SM,11,2000.0,16000
2023-10-19,147.0,150.0,146.2,146.2,36000,SM,18,2000.0,26000
2023-10-20,146.4,147.0,142.9,144.0,16000,SM,8,2000.0,14000
2023-10-23,142.95,144.95,139.75,140.0,20000,SM,10,2000.0,18000
2023-10-25,137.5,137.5,133.3,134.45,88000,SM,31,2838.71,76000
2023-10-26,133.0,136.8,129.05,135.4,18000,SM,9,2000.0,16000
2023-10-27,138.45,140.0,133.95,133.95,22000,SM,11,2000.0,20000
2023-10-30,136.7,139.8,135.3,136.4,22000,SM,22,1000.0,15000
2023-10-31,136.4,137.9,136.4,137.9,4000,SM,4,1000.0,4000
2023-11-01,140.0,140.0,132.0,132.0,7000,SM,7,1000.0,7000
2023-11-02,136.9,141.0,136.05,140.1,14000,SM,14,1000.0,13000
2023-11-03,142.0,146.0,140.1,145.05,43000,SM,38,1131.58,40000
2023-11-06,145.0,147.0,142.0,143.55,13000,SM,12,1083.33,13000
2023-11-07,140.3,144.45,138.6,138.95,15000,SM,15,1000.0,13000
2023-11-08,137.1,141.45,137.1,139.65,14000,SM,13,1076.92,13000
2023-11-09,138.3,143.25,138.3,140.15,7000,SM,7,1000.0,4000
2023-11-10,138.1,138.1,133.0,138.0,11000,SM,11,1000.0,9000
2023-11-12,140.0,144.5,140.0,143.1,23000,SM,18,1277.78,22000
2023-11-13,140.0,148.0,140.0,146.7,35000,SM,33,1060.61,33000
2023-11-15,150.05,153.95,132.0,148.0,424000,SM,311,1363.34,251000
2023-11-16,142.1,145.5,141.3,143.05,83000,SM,51,1627.45,52000
2023-11-17,143.05,151.0,142.1,150.5,126000,SM,101,1247.52,97000
2023-11-20,155.0,155.0,149.0,149.0,43000,SM,36,1194.44,35000
2023-11-21,152.65,165.0,147.4,159.8,251000,SM,178,1410.11,169000
2023-11-22,167.0,174.0,162.95,170.3,273000,SM,221,1235.29,180000
2023-11-23,174.0,177.35,164.0,164.3,202000,SM,157,1286.62,136000
2023-11-24,168.95,169.05,163.0,163.95,115000,SM,79,1455.7,98000
2023-11-28,163.1,165.0,160.1,163.5,52000,SM,47,1106.38,48000
2023-11-29,165.0,165.0,160.0,160.6,38000,SM,33,1151.52,30000
2023-11-30,160.1,163.1,160.0,160.5,29000,SM,24,1208.33,25000
2023-12-01,161.0,166.0,161.0,164.6,241000,SM,140,1721.43,201000
2023-12-04,168.9,172.0,166.0,168.1,124000,SM,92,1347.83,101000
2023-12-05,172.75,181.95,169.0,172.8,256000,SM,203,1261.08,151000
2023-12-06,179.85,179.85,172.8,174.75,46000,SM,36,1277.78,33000
2023-12-07,175.0,176.75,170.0,173.25,57000,SM,56,1017.86,35000
2023-12-08,174.0,174.0,166.15,167.6,56000,SM,54,1037.04,42000
2023-12-11,167.6,168.75,164.8,165.2,13000,SM,13,1000.0,12000
2023-12-12,164.95,168.75,160.0,162.1,56000,SM,49,1142.86,46000
2023-12-13,161.15,165.45,161.15,162.2,19000,SM,18,1055.56,15000
2023-12-14,163.0,167.0,162.0,162.55,47000,SM,42,1119.05,29000
2023-12-15,165.3,165.5,159.0,159.0,89000,SM,60,1483.33,81000
2023-12-18,159.0,160.7,158.0,158.1,24000,SM,23,1043.48,20000
2023-12-19,157.9,160.75,155.0,160.0,25000,SM,21,1190.48,22000
2023-12-20,160.0,162.0,154.55,155.0,30000,SM,29,1034.48,27000
2023-12-21,156.0,158.65,155.0,155.0,13000,SM,12,1083.33,12000
2023-12-22,158.0,159.6,156.05,158.9,33000,SM,29,1137.93,23000
2023-12-26,158.9,167.0,158.9,162.55,77000,SM,68,1132.35,46000
2023-12-27,165.0,170.0,165.0,167.65,55000,SM,54,1018.52,39000
2023-12-28,168.0,168.0,164.05,164.75,35000,SM,33,1060.61,17000
2023-12-29,164.75,166.0,161.5,164.45,52000,SM,48,1083.33,32000
2024-01-01,163.4,164.4,162.2,163.95,46000,SM,42,1095.24,28000
2024-01-02,162.5,165.0,161.0,161.75,59000,SM,48,1229.17,33000
2024-01-03,161.05,163.0,158.0,161.5,29000,SM,29,1000.0,16000
2024-01-04,164.25,166.95,163.45,165.0,52000,SM,38,1368.42,42000
2024-01-05,164.0,165.0,160.3,162.0,20000,SM,20,1000.0,12000
2024-01-08,162.0,165.9,158.5,159.05,59000,SM,47,1255.32,45000
2024-01-09,164.45,178.7,159.3,177.0,252000,SM,227,1110.13,167000
2024-01-10,179.5,186.0,174.35,180.9,267000,SM,253,1055.34,167000
2024-01-11,182.0,195.1,181.25,190.0,303000,SM,250,1212.0,171000
2024-01-12,191.95,216.0,187.1,206.45,747000,SM,381,1960.63,531000
2024-01-15,232.2,247.7,225.0,247.7,871000,SM,601,1449.25,467000
2024-01-16,252.8,259.0,228.0,234.55,370000,SM,304,1217.11,241000
2024-01-17,233.0,237.0,228.0,228.35,49000,SM,45,1088.89,44000
2024-01-18,229.0,236.0,225.0,229.85,58000,SM,58,1000.0,48000
2024-01-19,231.05,235.5,229.0,229.0,46000,SM,42,1095.24,44000
2024-01-20,229.0,232.0,222.0,228.0,45000,SM,44,1022.73,28000
2024-01-23,228.1,232.0,205.2,213.05,102000,SM,94,1085.11,63000
2024-01-24,221.0,227.0,212.1,222.0,59000,SM,55,1072.73,45000
2024-01-25,228.0,242.0,224.0,237.05,92000,SM,76,1210.53,54000
2024-01-29,237.5,249.0,237.0,241.95,90000,SM,81,1111.11,74000
2024-01-30,241.95,245.0,232.0,233.25,34000,SM,29,1172.41,27000
2024-01-31,230.0,245.0,227.05,243.0,87000,SM,76,1144.74,69000
2024-02-01,247.9,248.0,236.05,236.5,25000,SM,25,1000.0,19000
2024-02-02,236.5,236.5,222.15,226.0,37000,SM,37,1000.0,31000
2024-02-05,227.0,228.0,224.0,224.65,27000,SM,25,1080.0,22000
2024-02-06,224.1,228.9,217.0,225.0,43000,SM,42,1023.81,33000
2024-02-07,235.1,240.0,227.0,237.15,41000,SM,32,1281.25,37000
2024-02-08,237.15,245.0,235.0,238.05,53000,SM,43,1232.56,48000
2024-02-09,250.7,250.7,230.05,233.65,23000,SM,23,1000.0,18000
2024-02-12,233.65,239.9,215.0,221.75,34000,SM,34,1000.0,25000
2024-02-13,218.3,226.0,217.15,223.55,20000,SM,19,1052.63,16000
2024-02-14,223.0,226.0,221.0,221.5,11000,SM,11,1000.0,9000
2024-02-15,230.85,235.5,229.1,230.05,10000,SM,10,1000.0,8000
2024-02-16,234.0,245.0,228.1,228.95,88000,SM,82,1073.17,55000
2024-02-19,228.95,238.95,225.5,228.5,20000,SM,20,1000.0,14000
2024-02-20,231.95,231.95,225.0,229.3,30000,SM,17,1764.71,20000
2024-02-21,230.0,230.0,225.05,225.9,24000,SM,23,1043.48,22000
2024-02-22,225.1,229.0,225.0,229.0,13000,SM,12,1083.33,13000
2024-02-23,231.45,231.5,230.95,230.95,3000,SM,3,1000.0,2000
2024-02-26,226.7,226.7,223.4,223.4,6000,SM,6,1000.0,5000
2024-02-27,227.0,228.0,221.1,223.15,18000,SM,18,1000.0,16000
2024-02-28,225.0,225.0,205.05,213.05,44000,SM,39,1128.21,40000
2024-02-29,214.65,215.0,209.25,212.0,9000,SM,9,1000.0,8000
2024-03-01,218.8,222.7,211.0,211.0,12000,SM,12,1000.0,8000
2024-03-04,211.0,211.0,204.75,210.0,13000,SM,13,1000.0,11000
2024-03-05,200.0,206.9,200.0,203.3,16000,SM,14,1142.86,13000
2024-03-06,203.3,203.3,186.0,191.8,53000,SM,43,1232.56,42000
2024-03-07,190.0,204.4,178.0,200.25,65000,SM,63,1031.75,50000
2024-03-11,190.0,193.9,180.25,181.3,51000,SM,48,1062.5,39000
2024-03-12,182.0,182.0,163.2,166.05,166000,SM,106,1566.04,132000
2024-03-13,174.0,174.0,157.75,157.75,64000,SM,48,1333.33,61000
2024-03-14,157.75,165.6,152.0,165.6,56000,SM,45,1244.44,48000
2024-03-15,172.85,173.85,170.0,173.85,56000,SM,40,1400.0,45000
2024-03-18,179.95,182.5,179.9,182.5,22000,SM,20,1100.0,20000
2024-03-20,175.1,185.0,175.1,179.0,12000,SM,10,1200.0,9000
2024-03-21,181.0,182.5,179.0,179.5,34000,SM,18,1888.89,33000
2024-03-22,179.0,183.0,174.05,174.05,18000,SM,16,1125.0,16000
2024-03-26,180.0,180.0,175.05,175.05,41000,SM,29,1413.79,29000
2024-03-27,176.0,176.0,166.3,166.3,30000,SM,25,1200.0,27000
2024-03-28,166.3,169.9,159.5,164.75,42000,SM,34,1235.29,30000
2024-04-01,166.05,172.95,166.05,172.0,11000,SM,11,1000.0,10000
2024-04-02,174.0,179.0,173.0,178.5,10000,SM,10,1000.0,9000
2024-04-03,181.0,186.0,175.6,176.75,20000,SM,20,1000.0,15000
2024-04-04,175.6,177.0,169.7,176.6,24000,SM,21,1142.86,21000
2024-04-05,173.05,182.0,172.6,179.0,31000,SM,16,1937.5,28000
2024-04-08,188.75,188.75,172.0,178.0,24000,SM,13,1846.15,21000
2024-04-09,175.05,179.5,172.0,176.3,44000,SM,31,1419.35,39000
2024-04-10,174.85,174.85,165.0,165.45,27000,SM,24,1125.0,23000
2024-04-12,165.0,170.0,165.0,169.25,18000,SM,14,1285.71,15000
2024-04-15,165.0,165.0,157.05,160.75,45000,SM,43,1046.51,31000
2024-04-16,160.0,164.8,153.5,158.9,44000,SM,36,1222.22,34000
2024-04-18,161.2,166.0,160.0,160.45,25000,SM,24,1041.67,25000
2024-04-19,156.5,169.0,156.5,166.7,21000,SM,20,1050.0,17000
2024-04-22,169.0,172.9,166.0,168.7,14000,SM,14,1000.0,14000
2024-04-23,169.0,169.0,162.1,163.0,17000,SM,13,1307.69,14000
2024-04-24,164.0,170.35,164.0,169.1,24000,SM,21,1142.86,18000
2024-04-25,169.9,169.9,163.05,163.75,23000,SM,23,1000.0,19000
2024-04-26,161.0,161.0,147.4,148.15,520000,SM,331,1571.0,352000
2024-04-29,148.15,148.25,141.6,144.75,33000,SM,32,1031.25,25000
2024-04-30,144.1,150.5,144.1,146.5,13000,SM,13,1000.0,10000
2024-05-02,146.5,146.5,138.0,139.95,50000,SM,40,1250.0,47000
2024-05-03,139.0,143.0,137.0,140.1,79000,SM,46,1717.39,70000
2024-05-06,138.6,139.5,135.0,138.0,26000,SM,24,1083.33,24000
2024-05-07,135.0,136.15,134.0,135.0,21000,SM,21,1000.0,21000
2024-05-08,135.0,138.95,131.0,138.95,24000,SM,21,1142.86,21000
2024-05-09,138.95,140.5,135.6,135.6,17000,SM,15,1133.33,15000
2024-05-10,132.0,135.6,132.0,134.85,9000,SM,9,1000.0,8000
2024-05-13,135.0,139.95,129.0,134.85,16000,SM,16,1000.0,11000
2024-05-14,130.55,133.5,121.4,121.65,170000,SM,127,1338.58,136000
2024-05-15,124.4,124.8,117.0,118.5,45000,SM,42,1071.43,40000
2024-05-16,118.0,118.0,106.65,111.9,124000,SM,103,1203.88,87000
2024-05-17,115.0,117.45,115.0,117.45,14000,SM,14,1000.0,14000
2024-05-18,123.2,123.2,119.1,121.15,13000,SM,12,1083.33,11000
2024-05-21,121.3,127.2,120.1,127.2,39000,SM,36,1083.33,35000
2024-05-22,133.55,133.55,133.55,133.55,8000,SM,4,2000.0,8000
2024-05-23,140.2,140.2,126.9,127.2,178000,SM,149,1194.63,91000
2024-05-24,126.9,131.75,123.9,130.0,17000,SM,16,1062.5,14000
2024-05-27,131.0,131.0,125.0,126.95,26000,SM,23,1130.43,18000
2024-05-28,131.5,132.0,127.05,128.0,16000,SM,16,1000.0,13000
2024-05-29,128.0,129.7,123.0,128.15,15000,SM,15,1000.0,13000
2024-05-30,124.6,128.0,123.5,123.5,31000,SM,20,1550.0,23000
2024-05-31,129.0,129.0,120.0,123.85,45000,SM,38,1184.21,31000
2024-06-03,124.25,124.25,117.7,118.45,44000,SM,33,1333.33,38000
2024-06-04,116.0,116.0,112.55,112.55,31000,SM,21,1476.19,29000
2024-06-05,112.55,114.3,106.95,111.05,30000,SM,26,1153.85,24000
2024-06-06,111.2,114.5,108.15,110.65,18000,SM,17,1058.82,16000
2024-06-07,111.55,121.7,111.55,121.7,55000,SM,39,1410.26,50000
2024-06-10,133.85,133.85,133.7,133.85,33000,SM,23,1434.78,27000
2024-06-11,139.0,142.0,129.9,137.3,149000,SM,102,1460.78,115000
2024-06-12,132.0,136.0,132.0,134.75,26000,SM,12,2166.67,25000
2024-06-13,138.7,138.7,132.5,133.0,26000,SM,23,1130.43,23000
2024-06-14,131.1,136.1,131.0,135.65,28000,SM,22,1272.73,24000
2024-06-18,138.0,139.7,132.05,132.05,27000,SM,20,1350.0,23000
2024-06-19,132.6,132.6,131.0,131.0,20000,SM,13,1538.46,20000
2024-06-20,130.0,136.0,130.0,135.55,25000,SM,20,1250.0,22000
2024-06-21,135.5,140.95,135.0,140.0,29000,SM,24,1208.33,24000
2024-06-24,140.0,140.0,136.0,136.25,18000,SM,18,1000.0,12000
2024-06-25,136.9,136.9,131.45,131.5,33000,SM,18,1833.33,28000
2024-06-26,135.0,135.0,129.0,129.5,18000,SM,16,1125.0,14000
2024-06-27,130.0,130.0,125.0,125.0,8000,SM,8,1000.0,8000
2024-06-28,129.0,131.6,128.0,128.9,12000,SM,11,1090.91,11000
2024-07-01,128.0,128.0,118.1,127.0,42000,SM,36,1166.67,25000
2024-07-02,127.0,130.95,123.05,130.9,22000,SM,22,1000.0,14000
2024-07-03,131.0,140.05,130.0,136.7,91000,SM,77,1181.82,74000
2024-07-04,139.0,139.0,133.1,134.0,33000,SM,29,1137.93,27000
2024-07-05,130.5,135.95,128.0,135.3,55000,SM,47,1170.21,34000
2024-07-08,138.25,142.7,133.0,134.0,58000,SM,50,1160.0,44000
2024-07-09,138.45,138.45,134.5,134.9,21000,SM,20,1050.0,15000
2024-07-10,135.05,135.1,128.6,129.55,40000,SM,37,1081.08,31000
2024-07-11,130.25,133.0,130.25,131.1,16000,SM,15,1066.67,12000
2024-07-12,131.1,132.9,130.0,130.5,16000,SM,15,1066.67,9000
2024-07-15,133.95,134.0,131.0,132.8,14000,SM,14,1000.0,11000
2024-07-16,134.65,136.5,134.0,134.0,41000,SM,20,2050.0,38000
2024-07-18,132.2,133.0,128.05,129.8,28000,SM,28,1000.0,20000
2024-07-19,130.0,130.0,122.65,124.0,23000,SM,22,1045.45,17000
2024-07-22,122.15,125.9,122.0,123.95,25000,SM,22,1136.36,19000
2024-07-23,125.7,125.7,122.4,124.0,12000,SM,12,1000.0,9000
2024-07-24,124.0,125.7,122.0,124.95,27000,SM,22,1227.27,17000
2024-07-25,124.9,137.4,124.9,136.3,131000,SM,100,1310.0,82000
2024-07-26,137.3,140.0,134.0,134.45,34000,SM,34,1000.0,23000
2024-07-29,138.8,138.8,132.15,133.55,30000,SM,30,1000.0,23000
2024-07-30,132.05,136.9,132.0,132.75,80000,SM,54,1481.48,66000
2024-07-31,133.4,133.65,128.1,130.7,39000,SM,32,1218.75,35000
2024-08-01,130.25,130.25,125.0,127.0,27000,SM,19,1421.05,23000
