Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,443.4,448.0,423.1,427.25,23647,EQ,953.0,24.81,19835.0
2026-04-21,416.9,440.0,416.9,431.15,37364,EQ,2314.0,16.15,22078.0
2026-04-22,438.0,443.75,430.0,438.4,29953,EQ,1705.0,17.57,18872.0
2026-04-23,440.35,455.45,425.2,429.45,53084,EQ,5802.0,9.15,33152.0
2026-04-24,426.0,439.95,415.55,431.15,42014,EQ,2858.0,14.7,25532.0
2026-04-27,426.1,448.7,426.1,440.1,105368,EQ,5252.0,20.06,75916.0
2026-04-28,440.1,447.95,431.0,434.95,49732,EQ,2854.0,17.43,34543.0
2026-04-29,434.95,442.0,431.1,435.6,42343,EQ,1921.0,22.04,29407.0
2026-04-30,438.0,438.0,420.55,434.75,40922,EQ,2539.0,16.12,28264.0
2026-05-04,441.85,441.9,429.9,436.25,49810,EQ,2005.0,24.84,33312.0
2026-05-05,440.0,443.25,428.25,438.25,52997,EQ,2553.0,20.76,38500.0
2026-05-06,440.0,469.0,436.0,460.15,163804,EQ,7279.0,22.5,119053.0
2026-05-07,468.0,468.0,450.0,453.1,96764,EQ,3611.0,26.8,64426.0
2026-05-08,487.0,487.0,441.0,449.7,255832,EQ,9194.0,27.83,121081.0
2026-05-11,445.9,460.0,439.8,442.25,133313,EQ,5183.0,25.72,94117.0
2026-05-12,442.5,446.95,434.15,439.6,316726,EQ,5047.0,62.76,287791.0
2026-05-13,440.0,470.9,440.0,456.1,230732,EQ,12053.0,19.14,125427.0
2026-05-14,462.75,462.75,440.5,449.85,95912,EQ,6276.0,15.28,63173.0
2026-05-15,448.0,449.9,442.15,446.55,31339,EQ,2983.0,10.51,20115.0
2026-05-18,440.0,454.7,421.55,425.95,87676,EQ,6183.0,14.18,51988.0
2026-05-19,432.2,433.0,415.0,422.1,54832,EQ,4852.0,11.3,35404.0
2026-05-20,422.05,430.0,410.25,422.5,55994,EQ,4054.0,13.81,35558.0
2026-05-21,425.0,440.0,423.1,436.2,67946,EQ,4573.0,14.86,47767.0
2026-05-22,436.2,442.15,427.05,435.55,60177,EQ,2503.0,24.04,45462.0
2026-05-25,435.5,450.05,435.0,447.95,44854,EQ,2062.0,21.75,33971.0
2026-05-26,445.85,459.8,442.3,445.0,67856,EQ,3439.0,19.73,45238.0
