Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,137.0,137.0,130.0,130.65,12591,EQ,518.0,24.31,8477.0
2026-04-21,131.9,136.65,130.0,133.3,41443,EQ,1031.0,40.2,18842.0
2026-04-22,135.35,135.4,131.1,133.8,10248,EQ,284.0,36.08,7047.0
2026-04-23,133.0,141.0,132.55,139.4,65117,EQ,1662.0,39.18,38657.0
2026-04-24,140.4,140.4,134.0,135.2,22094,EQ,631.0,35.01,11131.0
2026-04-27,131.75,138.0,131.75,136.2,21767,EQ,616.0,35.34,14776.0
2026-04-28,135.0,137.9,135.0,136.15,11835,EQ,322.0,36.75,8740.0
2026-04-29,135.0,139.6,135.0,137.35,37132,EQ,812.0,45.73,22643.0
2026-04-30,137.0,137.0,133.8,135.45,12761,EQ,286.0,44.62,8708.0
2026-05-04,135.45,141.75,135.45,139.63,50890,EQ,1064.0,47.83,28601.0
2026-05-05,143.74,143.74,137.89,140.91,46784,EQ,1030.0,45.42,22554.0
2026-05-06,143.0,143.0,137.0,139.79,46063,EQ,1070.0,43.05,26066.0
2026-05-07,139.8,146.35,135.1,142.77,79325,EQ,1655.0,47.93,47021.0
2026-05-08,142.77,144.3,141.26,142.91,29544,EQ,844.0,35.0,21184.0
2026-05-11,143.5,144.4,136.19,137.91,47413,EQ,871.0,54.44,33120.0
2026-05-12,137.23,142.0,134.22,135.98,44714,EQ,911.0,49.08,23338.0
2026-05-13,135.0,139.67,130.2,132.17,41063,EQ,841.0,48.83,25094.0
2026-05-14,132.5,134.79,132.5,133.58,21604,EQ,672.0,32.15,10126.0
2026-05-15,137.58,137.58,130.0,130.97,23640,EQ,608.0,38.88,14858.0
2026-05-18,129.0,130.1,124.07,126.07,48975,EQ,1151.0,42.55,30828.0
2026-05-19,124.15,129.41,124.15,127.08,24509,EQ,491.0,49.92,18841.0
2026-05-20,128.0,128.2,124.5,127.09,16244,EQ,528.0,30.77,9379.0
2026-05-21,128.01,130.0,126.16,127.38,18222,EQ,513.0,35.52,11925.0
2026-05-22,127.38,129.56,125.04,127.32,17151,EQ,712.0,24.09,10929.0
2026-05-25,127.16,130.0,125.87,127.96,32433,EQ,701.0,46.27,26117.0
2026-05-26,127.96,136.9,127.96,135.11,67279,EQ,1653.0,40.7,28936.0
2026-05-27,135.11,137.0,134.21,135.45,12019,EQ,516.0,23.29,7736.0
2026-05-29,134.26,137.17,130.56,132.63,27115,EQ,924.0,29.35,12878.0
2026-06-01,136.99,138.9,132.33,133.45,14839,EQ,473.0,31.37,6902.0
2026-06-02,134.28,134.95,130.18,130.78,22839,EQ,1191.0,19.18,8065.0
2026-06-03,130.8,133.84,130.6,131.6,11339,EQ,431.0,26.31,5545.0
2026-06-04,130.6,133.4,128.18,129.11,41515,EQ,905.0,45.87,31284.0
2026-06-05,129.05,133.4,125.26,127.13,31729,EQ,809.0,39.22,19407.0
2026-06-08,127.9,128.28,124.15,125.05,23366,EQ,994.0,23.51,11332.0
2026-06-09,127.41,129.0,124.5,127.86,27514,EQ,951.0,28.93,14418.0
2026-06-10,128.55,129.78,126.0,126.85,19539,EQ,1121.0,17.43,9937.0
2026-06-11,127.0,128.21,125.0,125.5,11560,EQ,718.0,16.1,4107.0
2026-06-12,126.92,128.77,125.7,125.99,31151,EQ,578.0,53.89,25996.0
2026-06-15,128.7,130.79,126.66,129.74,67343,EQ,1224.0,55.02,40845.0
2026-06-16,131.0,132.2,128.26,129.41,18645,EQ,601.0,31.02,11694.0
2026-06-17,130.0,131.0,128.0,128.72,40292,EQ,829.0,48.6,28802.0
2026-06-18,131.0,132.98,128.42,129.0,70813,EQ,1427.0,49.62,50805.0
2026-06-19,129.0,136.78,127.21,132.09,170734,EQ,3478.0,49.09,84189.0
2026-06-22,133.0,144.0,132.21,141.99,187794,EQ,3175.0,59.15,122942.0
2026-06-23,143.0,144.35,136.8,137.7,105142,EQ,1520.0,69.17,72777.0
2026-06-24,138.38,157.77,136.08,150.03,1234836,EQ,16342.0,75.56,355721.0
2026-06-25,151.08,154.7,143.0,143.54,250879,EQ,3859.0,65.01,128483.0
2026-06-29,143.99,145.69,143.0,143.71,52883,EQ,837.0,63.18,29499.0
2026-06-30,144.98,149.84,140.25,142.45,88580,EQ,1710.0,51.8,43180.0
2026-07-01,142.0,143.99,140.16,140.88,53506,EQ,970,55.16,34652
2026-07-02,143.85,144.7,138.55,139.56,58408,EQ,1086,53.78,35634
2026-07-03,140.8,144.2,139.0,141.78,83023,EQ,1938,42.84,51280
2026-07-06,141.9,145.0,140.51,141.51,42894,EQ,889,48.25,26175
2026-07-07,142.5,143.0,137.16,139.46,46839,EQ,1394,33.6,27838
2026-07-08,139.8,139.8,132.52,135.69,60866,EQ,1168,52.11,40095
2026-07-09,133.72,140.0,133.61,139.35,58462,EQ,836,69.93,43031
