Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2020-02-14,58.8,61.65,55.9,60.1,18934,,,
2020-02-17,59.8,63.1,59.65,60.0,4685,,,
2020-02-18,62.8,63.0,62.8,63.0,629,,,
2020-02-19,66.05,66.15,66.05,66.15,614,,,
2020-02-20,69.45,69.45,69.45,69.45,658,,,
2020-02-24,72.9,72.9,69.45,72.75,8483,,,
2020-02-25,75.6,75.6,69.15,73.0,1744,,,
2020-02-26,70.7,73.9,70.15,73.0,3572,,,
2020-02-27,69.35,75.55,69.35,69.4,9626,,,
2020-02-28,70.0,70.0,65.95,65.95,815,,,
2020-03-02,78.7,78.7,57.05,61.45,1465,,,
2020-03-03,61.5,62.5,54.55,57.65,3123,,,
2020-03-04,55.0,58.95,51.0,54.95,1189,,,
2020-03-05,50.05,65.9,50.05,59.8,2633,,,
2020-03-06,66.4,66.4,50.05,58.4,1310,,,
2020-03-09,47.0,59.9,47.0,51.3,3038,,,
2020-03-11,45.7,58.3,42.35,50.0,3784,,,
2020-03-12,41.05,54.4,41.05,51.05,5844,,,
2020-03-13,41.55,50.4,41.0,46.35,7622,,,
2020-03-16,45.0,49.9,39.2,43.4,1227,,,
2020-03-17,42.05,52.0,38.0,49.0,3590,,,
2020-03-18,49.0,56.75,42.05,45.5,923,,,
2020-03-19,45.0,50.0,40.0,45.4,4006,,,
2020-03-20,48.0,53.5,42.5,50.05,5833,,,
2020-03-23,40.2,60.0,40.2,57.25,2702,,,
2020-03-24,62.0,62.95,51.55,56.3,7140,,,
2020-03-25,50.9,61.9,50.9,58.9,2055,,,
2020-03-26,62.85,62.85,55.0,59.6,648,,,
2020-03-27,55.2,59.0,55.1,56.35,1918,,,
2020-03-30,51.2,59.9,51.2,53.75,423,,,
2020-03-31,52.25,53.8,52.25,52.65,716,,,
2020-04-01,54.95,57.0,51.0,53.05,13734,,,
2020-04-03,52.0,52.0,50.1,50.85,261,,,
2020-04-07,50.85,55.5,46.55,54.0,1066,,,
2020-04-08,57.65,57.95,57.65,57.95,585,,,
2020-04-09,54.3,57.95,54.0,57.5,1522,,,
2020-04-13,58.0,58.0,51.25,53.05,989,,,
2020-04-15,57.4,59.5,52.0,57.5,2687,,,
2020-04-16,57.5,57.5,53.05,54.4,1014,,,
2020-04-17,55.0,59.2,53.75,57.7,1566,,,
2020-04-20,55.55,59.35,52.0,54.45,12691,,,
2020-04-21,54.3,57.0,48.0,54.0,2124,,,
2020-04-22,52.0,56.0,49.15,54.75,1115,,,
2020-04-23,47.1,62.4,45.8,59.1,5319,,,
2020-04-24,58.0,62.0,54.05,58.5,1147,,,
2020-04-27,59.0,63.95,58.0,59.2,4696,,,
2020-04-28,59.5,67.5,59.5,64.6,1288,,,
2020-04-29,64.0,64.9,60.0,62.0,4234,,,
2020-04-30,61.25,66.95,61.25,63.1,2141,,,
