Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2011-06-15,1245.0,1250.0,1100.3,1162.7,3759,EQ,,,
2011-06-16,1122.05,1239.0,1122.05,1169.25,749,EQ,,,
2011-06-17,1160.0,1160.0,1006.7,1097.3,168,EQ,,,
2011-06-20,1059.5,1138.5,1000.1,1065.9,427,EQ,,,
2011-06-21,1021.0,1123.9,1020.65,1060.55,264,EQ,,,
2011-06-22,1065.1,1079.85,1015.0,1030.5,108,EQ,,,
2011-06-23,1030.5,1044.0,1030.1,1035.0,244,EQ,,,
2011-06-24,1178.0,1178.0,1055.0,1075.85,912,EQ,,,
2011-06-27,1117.8,1118.0,1010.1,1079.45,226,EQ,,,
2011-06-28,1099.9,1100.0,1026.0,1077.4,692,EQ,,,
2011-06-29,1072.0,1097.0,1050.0,1089.25,187,EQ,,,
2011-06-30,1100.0,1100.15,1080.0,1080.0,72,EQ,,,
2011-07-01,1116.8,1116.8,1116.8,1116.8,6,EQ,,,
2011-07-04,1132.9,1164.0,1123.95,1150.05,960,EQ,,,
2011-07-05,1179.0,1348.75,1175.0,1280.3,6616,EQ,,,
2011-07-06,1285.0,1339.95,1130.0,1275.55,1148,EQ,,,
2011-07-07,1323.95,1330.0,1280.0,1306.8,1391,EQ,,,
2011-07-08,1305.0,1305.0,1270.0,1275.6,474,EQ,,,
2011-07-11,1261.1,1262.1,1200.0,1200.8,291,EQ,,,
2011-07-12,1248.0,1269.0,1170.0,1247.5,613,EQ,,,
2011-07-13,1250.0,1279.0,1216.5,1273.4,392,EQ,,,
2011-07-14,1287.9,1287.9,1212.05,1260.1,927,EQ,,,
2011-07-15,1255.0,1298.95,1231.0,1262.8,153,EQ,,,
2011-07-18,1250.05,1314.0,1250.05,1298.0,593,EQ,,,
2011-07-19,1378.0,1550.0,1275.1,1371.35,2477,EQ,,,
2011-07-20,1440.0,1440.0,1270.0,1300.25,1106,EQ,,,
2011-07-21,1301.95,1344.1,1290.15,1308.45,512,EQ,,,
2011-07-22,1339.95,1339.95,1265.0,1286.1,574,EQ,,,
2011-07-25,1285.0,1335.0,1285.0,1316.95,898,EQ,,,
2011-07-26,1302.0,1314.0,1260.0,1266.5,273,EQ,,,
2011-07-27,1314.9,1314.9,1270.0,1280.5,248,EQ,,,
2011-07-28,1339.0,1339.0,1253.0,1259.25,500,EQ,,,
2011-07-29,1296.0,1300.0,1200.0,1262.3,2788,EQ,,,
2011-08-01,1215.0,1215.0,1132.5,1158.8,1085,EQ,,,
2011-08-02,1178.0,1179.9,1140.0,1151.2,823,EQ,,,
2011-08-03,1160.5,1160.5,1100.0,1153.55,1846,EQ,,,
2011-08-04,1132.0,1185.0,1132.0,1154.7,131,EQ,,,
2011-08-05,1105.0,1154.7,1080.1,1143.55,821,EQ,,,
2011-08-08,1099.0,1372.3,1055.0,1256.9,14888,EQ,,,
2011-08-09,1219.9,1229.0,1140.0,1155.05,351,EQ,,,
2011-08-10,1245.0,1269.2,1181.0,1189.1,260,EQ,,,
2011-08-11,1192.0,1220.0,1151.6,1209.8,1009,EQ,,,
2011-08-12,1245.0,1294.0,1215.0,1254.45,1691,EQ,,,
2011-08-16,1224.45,1283.8,1204.9,1216.0,575,EQ,,,
2011-08-17,1183.0,1206.9,1140.0,1184.3,129,EQ,,,
2011-08-18,1233.85,1233.85,1085.0,1106.35,2104,EQ,,,
2011-08-19,1030.5,1135.0,1030.05,1113.65,1840,EQ,,,
2011-08-22,1147.9,1148.0,1065.0,1112.6,2764,EQ,,,
2011-08-23,1103.0,1199.0,1103.0,1156.65,2671,EQ,,,
