Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2014-12-18,69.25,72.7,69.25,72.7,887525,,,
2014-12-19,76.3,76.3,76.3,76.3,60516,,,
2014-12-22,80.1,80.1,74.2,75.6,7565327,,,
2014-12-23,76.0,79.35,71.85,72.6,17777954,,,
2014-12-24,72.05,76.2,71.2,76.2,847898,,,
2014-12-26,80.0,80.0,78.5,80.0,877258,,,
2014-12-29,81.95,83.45,79.0,80.15,813426,,,
2014-12-30,80.6,80.6,76.55,78.15,500111,,,
2014-12-31,78.65,82.05,78.65,82.05,813237,,,
2015-01-01,84.0,86.15,83.6,86.15,556979,,,
2015-01-02,89.1,94.95,88.3,88.95,3443300,,,
2015-01-05,89.7,93.45,88.35,91.65,2042183,,,
2015-01-06,89.9,90.55,86.0,86.3,1677334,,,
2015-01-07,86.95,90.65,85.4,89.45,1753030,,,
2015-01-08,90.9,100.5,89.15,96.9,6383300,,,
2015-01-09,97.9,116.25,97.6,115.7,12384277,,,
2015-01-12,118.0,134.4,113.4,129.95,17485970,,,
2015-01-13,126.9,131.2,118.35,120.9,7496775,,,
2015-01-14,122.0,124.75,114.45,117.65,3273143,,,
2015-01-15,119.25,124.45,116.35,119.95,2757082,,,
2015-01-16,119.1,128.7,117.35,126.95,4167583,,,
2015-01-19,127.85,130.9,124.15,124.95,1653672,,,
2015-01-20,125.0,125.7,119.5,121.2,1143884,,,
2015-01-21,121.25,123.65,117.0,117.9,1090967,,,
2015-01-22,118.45,121.95,116.5,117.1,1135497,,,
2015-01-23,119.0,119.6,109.8,111.25,1194355,,,
2015-01-27,112.1,122.35,106.2,122.35,1917741,,,
2015-01-28,124.65,127.0,113.65,114.95,2160614,,,
2015-01-29,114.8,120.2,113.55,115.0,1449995,,,
2015-01-30,116.35,117.7,106.6,108.6,1522538,,,
2015-02-02,110.0,119.45,108.3,118.65,2508274,,,
2015-02-03,119.5,120.65,113.8,116.65,1053927,,,
2015-02-04,117.5,119.85,114.0,115.2,1209673,,,
2015-02-05,115.95,121.0,113.25,114.75,1666877,,,
2015-02-06,115.85,117.25,112.5,113.2,1082292,,,
2015-02-09,112.0,114.35,107.6,108.1,682655,,,
2015-02-10,107.0,111.9,103.75,104.55,786834,,,
2015-02-11,105.7,107.9,98.35,100.75,1574190,,,
2015-02-12,101.0,107.0,101.0,105.45,1209151,,,
2015-02-13,106.4,110.8,105.6,107.05,994461,,,
2015-02-16,107.75,110.6,106.1,107.0,779597,,,
2015-02-18,107.95,109.3,105.0,105.65,775607,,,
2015-02-19,105.65,115.9,105.15,114.25,2444722,,,
2015-02-20,113.9,118.4,110.5,113.6,2026139,,,
2015-02-23,114.55,118.0,112.1,113.05,1055318,,,
2015-02-24,113.05,115.9,109.1,110.65,684039,,,
2015-02-25,110.85,112.6,109.1,110.85,747798,,,
2015-02-26,111.15,111.15,105.4,106.2,698947,,,
2015-02-27,106.2,109.35,106.0,107.35,487210,,,
2015-02-28,107.15,110.85,103.4,108.85,650337,,,
2015-03-02,109.1,121.7,106.4,120.05,2816800,,,
2015-03-03,120.15,123.9,116.6,119.65,2028873,,,
2015-03-04,120.95,121.9,113.05,113.75,795523,,,
2015-03-05,113.8,117.2,112.55,115.15,742828,,,
2015-03-09,115.4,121.8,114.75,115.45,908910,,,
2015-03-10,116.0,124.9,116.0,119.5,2511763,,,
2015-03-11,120.7,123.75,119.0,120.15,1331379,,,
2015-03-12,121.4,123.05,119.0,119.95,796957,,,
2015-03-13,120.75,121.7,114.2,115.1,949615,,,
2015-03-16,115.1,116.35,111.4,112.95,536730,,,
2015-03-17,113.95,115.8,112.1,113.85,400897,,,
2015-03-18,114.5,114.5,112.6,113.0,315535,,,
2015-03-19,114.05,118.5,113.7,114.35,869802,,,
2015-03-20,114.35,115.0,110.05,114.1,821729,,,
2015-03-23,114.9,114.9,107.1,108.2,630114,,,
2015-03-24,108.0,110.4,105.3,105.9,439453,,,
2015-03-25,106.4,108.7,103.1,103.8,478957,,,
2015-03-26,103.0,104.45,101.05,101.95,464030,,,
2015-03-27,102.2,103.9,97.1,102.05,987904,,,
2015-03-30,103.55,106.75,102.9,105.9,658713,,,
2015-03-31,106.1,108.6,103.55,107.2,500907,,,
2015-04-01,107.4,111.5,106.0,110.55,671780,,,
2015-04-06,110.85,112.8,108.8,110.5,486253,,,
2015-04-07,111.4,111.4,107.8,109.15,406428,,,
2015-04-08,110.4,119.95,109.25,118.45,1953492,,,
2015-04-09,119.45,121.8,115.5,119.55,1697514,,,
2015-04-10,119.75,139.7,119.75,137.7,6177591,,,
2015-04-13,137.65,141.65,133.2,134.55,2160885,,,
2015-04-15,134.95,143.3,130.75,135.05,3087412,,,
2015-04-16,135.0,136.65,129.5,133.25,1349971,,,
2015-04-17,133.0,140.45,131.4,134.0,1748058,,,
2015-04-20,134.0,136.45,123.5,125.95,1118262,,,
2015-04-21,127.0,133.5,125.0,129.3,1074222,,,
2015-04-22,130.15,133.0,125.0,129.1,874244,,,
2015-04-23,130.3,132.0,126.5,127.45,578705,,,
2015-04-24,128.0,128.15,117.7,120.0,632757,,,
2015-04-27,120.9,123.6,109.3,110.45,669831,,,
2015-04-28,106.2,109.9,101.6,108.5,998583,,,
2015-04-29,108.0,115.15,107.05,111.85,746975,,,
2015-04-30,110.0,115.6,109.95,113.5,410172,,,
2015-05-04,114.1,117.6,114.1,116.1,363124,,,
2015-05-05,116.5,119.4,115.0,116.2,422729,,,
2015-05-06,115.9,116.9,107.1,107.45,519015,,,
2015-05-07,107.0,109.55,105.0,106.85,474242,,,
2015-05-08,109.2,113.4,108.8,109.65,422294,,,
2015-05-11,111.35,112.7,109.0,110.05,235221,,,
2015-05-12,109.25,111.15,106.5,106.95,296447,,,
2015-05-13,107.75,110.7,106.8,109.05,355554,,,
2015-05-14,109.0,112.2,107.4,110.75,308333,,,
2015-05-15,110.75,112.7,109.6,110.45,248058,,,
2015-05-18,110.55,111.4,107.7,108.4,303897,,,
2015-05-19,108.6,114.8,108.1,112.3,532830,,,
2015-05-20,112.0,113.95,110.55,112.1,259374,,,
2015-05-21,112.45,113.0,109.35,110.25,224642,,,
2015-05-22,111.45,113.4,110.85,111.1,241587,,,
2015-05-25,111.05,111.65,108.5,108.85,125813,,,
2015-05-26,108.8,111.8,108.2,109.5,191141,,,
2015-05-27,108.25,108.85,104.75,105.55,400363,,,
2015-05-28,105.75,110.5,105.75,110.1,330778,,,
2015-05-29,110.4,114.4,110.0,113.2,505841,,,
2015-06-01,113.45,113.85,109.5,110.0,172164,,,
2015-06-02,110.35,111.9,103.1,104.45,515585,,,
2015-06-03,104.7,104.95,97.1,100.95,715822,,,
2015-06-04,101.55,104.9,101.0,103.7,344534,,,
2015-06-05,101.75,105.5,101.75,103.5,208019,,,
2015-06-08,103.45,104.6,98.5,100.6,274616,,,
2015-06-09,100.6,102.55,98.6,100.6,241622,,,
2015-06-10,100.25,104.05,100.25,102.7,206117,,,
2015-06-11,103.65,104.0,99.0,99.65,230180,,,
2015-06-12,99.4,100.5,98.2,98.7,160089,,,
2015-06-15,98.7,101.45,98.7,100.15,181244,,,
2015-06-16,100.35,100.35,97.55,99.7,153233,,,
2015-06-17,100.2,102.25,99.1,100.7,257924,,,
2015-06-18,100.95,105.35,100.15,103.05,410380,,,
2015-06-19,103.75,106.25,103.0,104.3,283526,,,
2015-06-22,104.05,113.1,103.85,109.25,610337,,,
2015-06-23,111.2,113.8,109.2,109.8,369649,,,
2015-06-24,110.2,110.3,105.8,106.35,200444,,,
2015-06-25,105.1,109.2,105.1,106.55,202232,,,
2015-06-26,106.0,107.55,103.95,104.55,238968,,,
2015-06-29,101.5,102.75,99.9,101.8,259048,,,
2015-06-30,102.3,104.8,101.05,103.0,198052,,,
2015-07-01,103.4,107.45,102.8,105.95,524351,,,
2015-07-02,105.95,107.8,104.25,105.05,262494,,,
2015-07-03,105.45,106.3,102.35,103.0,256949,,,
2015-07-06,102.75,104.8,101.0,104.1,192810,,,
2015-07-07,104.8,107.0,103.25,104.4,415587,,,
2015-07-08,103.75,104.7,101.2,101.7,478938,,,
2015-07-09,101.7,109.45,101.7,106.75,954582,,,
2015-07-10,108.2,108.9,105.25,106.2,369581,,,
2015-07-13,106.15,111.85,105.15,110.25,823217,,,
2015-07-14,110.5,116.7,110.5,114.85,1277044,,,
2015-07-15,115.7,121.65,114.6,119.85,1728350,,,
2015-07-16,120.9,120.9,115.1,115.9,476648,,,
2015-07-17,116.4,119.5,114.4,115.9,470473,,,
2015-07-20,116.8,118.9,115.1,117.1,411876,,,
2015-07-21,116.95,120.9,113.3,114.6,654344,,,
2015-07-22,114.55,118.8,114.05,116.55,254771,,,
2015-07-23,117.3,121.35,115.5,117.15,549140,,,
2015-07-24,117.0,118.65,115.0,115.65,425742,,,
2015-07-27,115.25,115.85,111.35,112.15,266398,,,
2015-07-28,112.7,124.75,111.5,119.9,2800503,,,
2015-07-29,121.1,126.5,120.1,124.55,1684706,,,
2015-07-30,125.3,128.3,123.8,126.4,1060929,,,
2015-07-31,126.4,142.0,126.4,140.1,4013054,,,
2015-08-03,140.9,159.4,140.9,153.5,5150394,,,
2015-08-04,155.0,163.75,147.4,159.9,3087159,,,
2015-08-05,160.85,168.35,156.15,161.95,2532160,,,
2015-08-06,161.1,166.5,158.7,163.55,1866710,,,
2015-08-07,162.5,193.5,162.1,183.8,6185654,,,
2015-08-10,183.6,187.5,169.2,171.7,2010354,,,
