Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2017-07-28,75.75,75.75,72.0,73.05,222199,,,
2017-07-31,69.4,72.0,69.4,69.4,44519,,,
2017-08-01,66.3,70.4,65.95,68.45,59791,,,
2017-08-02,66.55,71.85,65.05,71.85,63971,,,
2017-08-03,70.15,75.4,70.15,71.2,35334,,,
2017-08-04,68.0,72.5,67.65,70.15,47282,,,
2017-08-07,68.15,73.65,66.65,72.9,46702,,,
2017-08-08,73.65,74.0,69.3,69.6,20854,,,
2017-08-09,66.2,69.35,66.15,66.15,27945,,,
2017-08-10,65.4,65.4,62.85,62.85,2377,,,
2017-08-11,59.75,60.0,59.75,59.8,22141,,,
2017-08-14,58.8,62.75,56.9,61.6,77262,,,
2017-08-16,59.2,64.65,58.55,63.55,52179,,,
2017-08-17,66.65,66.7,60.5,60.9,25355,,,
2017-08-18,58.2,60.0,57.9,57.95,9845,,,
2017-08-21,57.0,60.8,55.55,59.25,16366,,,
2017-08-22,58.1,62.2,58.1,61.3,18276,,,
2017-08-23,60.7,64.35,60.7,64.35,3847,,,
2017-08-24,66.75,67.55,65.0,66.7,25919,,,
2017-08-28,63.55,68.5,63.55,64.95,21801,,,
2017-08-29,66.0,66.0,62.0,62.15,25436,,,
2017-08-30,61.05,65.25,61.05,65.25,25862,,,
2017-08-31,68.5,68.5,65.6,68.5,45687,,,
2017-09-01,70.0,71.8,70.0,71.3,30755,,,
2017-09-04,74.3,74.85,71.3,74.8,26957,,,
2017-09-05,74.85,78.5,74.85,78.5,22471,,,
2017-09-06,82.4,82.4,82.4,82.4,6943,,,
2017-09-07,86.5,86.5,78.4,81.15,72203,,,
2017-09-08,79.0,83.5,77.1,77.15,27175,,,
2017-09-11,80.4,80.5,73.6,79.6,47089,,,
2017-09-12,79.6,83.55,78.5,82.55,40558,,,
2017-09-13,81.0,83.9,80.1,80.7,38876,,,
2017-09-14,81.45,83.4,79.1,79.95,8691,,,
2017-09-15,76.0,82.0,76.0,78.2,8271,,,
2017-09-18,81.4,82.0,75.1,79.55,52629,,,
2017-09-19,79.0,83.5,79.0,83.5,22629,,,
2017-09-20,83.5,87.65,82.25,87.35,12249,,,
2017-09-21,87.0,90.0,84.1,86.0,21007,,,
2017-09-22,83.0,87.8,81.7,83.0,4644,,,
2017-09-25,82.0,82.0,78.85,80.55,10415,,,
2017-09-26,80.55,81.5,78.1,78.85,4235,,,
2017-09-27,81.8,82.75,77.0,77.95,16977,,,
2017-09-28,81.8,81.8,76.0,81.25,15672,,,
2017-09-29,79.0,84.0,79.0,81.1,6539,,,
2017-10-03,78.0,82.0,78.0,80.1,5765,,,
2017-10-04,80.0,80.0,77.1,78.45,3902,,,
2017-10-05,77.25,82.0,77.1,77.45,10516,,,
2017-10-06,77.0,79.0,76.1,77.0,3899,,,
2017-10-09,77.0,79.9,75.75,79.0,9991,,,
2017-10-10,75.5,81.0,75.5,79.85,8503,,,
2017-10-11,83.8,83.8,79.5,83.8,37486,,,
2017-10-12,87.0,87.95,84.15,87.95,42667,,,
2017-10-13,92.3,92.3,92.3,92.3,11469,,,
2017-10-16,96.9,96.9,88.0,92.3,74179,,,
2017-10-17,87.7,92.9,87.7,90.6,10275,,,
2017-10-18,90.0,95.1,90.0,95.1,36169,,,
2017-10-19,96.0,99.85,96.0,99.8,46667,,,
2017-10-23,97.1,104.75,97.1,104.75,10073,,,
2017-10-24,109.95,109.95,109.95,109.95,8917,,,
2017-10-25,115.4,115.4,109.0,115.4,54945,,,
2017-10-26,121.0,121.0,112.05,115.9,17381,,,
2017-10-27,116.5,121.65,112.6,114.6,42596,,,
2017-10-30,111.1,120.3,110.5,117.3,17259,,,
2017-10-31,116.5,119.5,115.0,115.55,6381,,,
2017-11-01,116.0,120.0,113.7,115.0,25506,,,
2017-11-02,111.8,118.3,111.3,116.15,8611,,,
2017-11-03,119.0,119.8,112.1,115.0,8221,,,
2017-11-06,111.5,120.0,111.5,115.05,17427,,,
2017-11-07,115.0,115.0,109.4,109.75,15026,,,
2017-11-08,106.35,112.0,106.35,107.35,3734,,,
2017-11-09,104.0,111.25,104.0,107.0,10719,,,
2017-11-10,105.0,110.95,105.0,108.2,17845,,,
2017-11-13,104.5,108.85,104.5,107.8,3730,,,
2017-11-14,105.0,106.65,104.3,104.55,14149,,,
2017-11-15,100.85,107.0,100.5,101.55,6592,,,
2017-11-16,101.2,103.8,97.3,103.8,12914,,,
2017-11-17,103.8,105.05,102.0,102.05,3439,,,
2017-11-20,106.5,107.15,104.0,104.35,9137,,,
2017-11-21,106.0,106.0,104.0,104.5,14373,,,
2017-11-22,104.0,105.0,102.0,103.8,7108,,,
2017-11-23,102.0,108.95,102.0,105.75,18340,,,
2017-11-24,105.05,109.9,105.0,105.1,8611,,,
2017-11-27,103.0,110.35,103.0,110.35,14678,,,
2017-11-28,111.0,115.85,111.0,115.85,4535,,,
2017-11-29,115.0,116.0,112.05,112.5,3591,,,
2017-11-30,111.0,111.3,111.0,111.1,2063,,,
2017-12-01,116.65,116.65,112.05,114.05,6331,,,
2017-12-04,109.0,118.0,109.0,113.0,3586,,,
2017-12-05,114.0,118.65,114.0,117.4,19917,,,
2017-12-06,117.0,123.25,117.0,123.25,10454,,,
2017-12-07,127.0,129.0,118.35,119.95,11110,,,
2017-12-08,123.5,124.0,118.2,118.95,12226,,,
2017-12-11,124.75,124.75,113.6,116.0,5747,,,
2017-12-12,114.0,117.5,113.5,113.9,4577,,,
2017-12-13,112.0,113.2,110.0,111.25,4591,,,
2017-12-14,111.95,111.95,106.1,108.0,2368,,,
2017-12-15,108.2,110.0,106.5,108.0,2852,,,
2017-12-18,103.5,108.0,103.5,105.5,1290,,,
2017-12-19,103.5,109.95,103.5,108.2,5019,,,
2017-12-20,109.0,109.0,105.55,106.95,5706,,,
2017-12-21,108.0,108.0,105.0,105.9,9094,,,
2017-12-22,105.0,111.15,105.0,107.75,25025,,,
2017-12-26,108.0,113.1,108.0,113.1,3878,,,
2017-12-27,116.0,116.9,107.6,108.0,13532,,,
2017-12-28,104.2,107.75,103.1,104.95,13099,,,
2017-12-29,104.95,105.05,103.5,103.85,6238,,,
2018-01-01,103.5,106.0,103.5,106.0,2097,,,
2018-01-02,106.0,106.55,103.3,103.8,6423,,,
2018-01-03,103.0,108.95,102.5,108.95,10081,,,
2018-01-04,114.35,114.35,110.5,114.35,8765,,,
2018-01-05,116.0,117.0,114.0,115.0,4046,,,
2018-01-08,110.0,119.0,110.0,117.1,6336,,,
2018-01-09,122.95,122.95,118.0,119.8,21905,,,
2018-01-10,115.5,120.0,115.5,117.15,3999,,,
2018-01-11,116.15,118.95,113.25,114.55,4444,,,
2018-01-12,116.15,117.4,113.0,113.0,5009,,,
2018-01-15,114.0,118.65,114.0,114.7,4673,,,
2018-01-16,115.0,115.0,109.0,110.1,5038,,,
2018-01-17,109.0,114.0,104.6,110.0,1610,,,
2018-01-18,107.1,110.0,105.1,105.8,1502,,,
2018-01-19,105.1,108.5,101.3,103.6,683,,,
2018-01-22,105.0,107.5,103.0,105.1,5263,,,
2018-01-23,105.95,107.0,105.0,105.1,4037,,,
2018-01-24,105.1,105.1,104.0,104.05,2257,,,
2018-01-25,105.0,105.0,102.2,103.0,851,,,
2018-01-29,102.2,106.95,102.0,102.3,10712,,,
2018-01-30,101.0,103.95,99.2,100.4,2873,,,
2018-01-31,99.25,100.4,98.0,98.35,3692,,,
2018-02-01,96.3,102.65,95.1,95.55,1565,,,
2018-02-02,95.5,99.4,90.8,91.65,7302,,,
2018-02-05,91.65,92.8,87.65,92.0,5733,,,
2018-02-06,89.2,96.0,89.0,93.55,13328,,,
2018-02-07,95.05,98.2,95.0,98.2,10676,,,
2018-02-08,102.1,103.1,100.0,103.05,17735,,,
2018-02-09,98.25,106.0,98.25,102.05,1152,,,
2018-02-12,102.05,106.45,100.0,102.05,1237,,,
2018-02-14,100.05,107.15,100.05,105.15,976,,,
2018-02-15,102.5,106.7,102.5,103.3,2498,,,
2018-02-16,102.0,103.5,100.05,100.05,16888,,,
2018-02-19,100.0,100.0,96.25,99.0,219,,,
2018-02-20,95.25,102.75,95.25,102.75,1847,,,
2018-02-21,102.75,102.75,97.65,98.0,20777,,,
2018-02-22,94.05,101.95,93.1,93.35,3572,,,
2018-02-23,90.75,96.0,90.75,93.7,632,,,
2018-02-26,89.5,93.85,89.5,91.2,5023,,,
2018-02-27,91.0,92.5,91.0,92.0,3083,,,
2018-02-28,88.6,92.5,88.6,92.4,1783,,,
2018-03-01,88.0,92.4,87.8,87.8,10007,,,
2018-03-05,86.15,87.0,83.45,83.55,6718,,,
2018-03-06,82.5,83.95,80.1,81.05,5424,,,
2018-03-07,84.9,84.9,78.0,79.4,8526,,,
2018-03-08,79.5,83.35,78.0,80.25,12881,,,
2018-03-09,79.65,82.9,76.25,76.9,6429,,,
2018-03-12,78.0,80.7,78.0,80.7,21883,,,
2018-03-13,78.5,84.7,78.1,80.25,11303,,,
2018-03-14,80.5,81.8,80.5,81.65,326,,,
