Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-09-28,127.5,138.55,127.5,135.9,10321831,,,
2023-09-29,136.35,146.7,135.85,136.85,3023857,,,
2023-10-03,136.9,137.0,132.3,134.6,1364883,,,
2023-10-04,131.0,134.0,126.0,130.65,1938209,,,
2023-10-05,130.75,137.8,129.0,136.8,1655959,,,
2023-10-06,137.05,139.55,134.5,138.0,749035,,,
2023-10-09,139.85,139.85,132.5,137.55,502791,,,
2023-10-10,137.55,142.5,136.6,141.75,3029622,,,
2023-10-11,142.95,143.45,134.15,141.95,4898975,,,
2023-10-12,142.9,144.7,139.1,140.3,4787800,,,
2023-10-13,138.95,157.3,138.3,150.25,9365099,,,
2023-10-16,150.5,158.15,142.1,145.65,7834535,,,
2023-10-17,144.65,147.3,140.8,144.05,3007019,,,
2023-10-18,143.9,145.45,137.45,140.15,1173630,,,
2023-10-19,138.8,142.9,137.25,142.05,833480,,,
2023-10-20,141.7,144.6,138.75,140.8,897235,,,
2023-10-23,142.0,142.0,131.0,134.8,1147178,,,
2023-10-25,137.6,137.6,129.3,132.75,1002770,,,
2023-10-26,130.0,130.95,124.55,127.7,819375,,,
2023-10-27,129.0,130.85,125.6,126.15,511899,,,
2023-10-30,126.55,131.9,124.6,129.95,562506,,,
2023-10-31,133.0,133.0,127.3,127.95,356576,,,
2023-11-01,127.65,129.8,127.4,129.0,212806,,,
2023-11-02,130.8,130.8,127.5,128.15,149367,,,
2023-11-03,129.7,130.8,128.45,129.8,197161,,,
2023-11-06,130.05,134.0,129.8,132.85,230723,,,
2023-11-07,133.45,134.25,131.25,133.8,202397,,,
2023-11-08,135.0,139.9,133.4,138.35,691436,,,
2023-11-09,138.8,141.0,135.25,137.2,303447,,,
2023-11-10,137.45,140.45,135.25,139.05,367505,,,
2023-11-12,138.75,140.8,138.7,139.1,53312,,,
2023-11-13,139.85,141.1,137.5,138.65,212323,,,
2023-11-15,135.5,140.3,131.5,132.35,798523,,,
2023-11-16,132.35,133.15,129.15,129.75,465609,,,
2023-11-17,130.6,131.15,127.65,130.55,457358,,,
2023-11-20,131.25,131.95,127.5,128.0,225567,,,
2023-11-21,128.15,128.6,127.15,127.9,176268,,,
2023-11-22,127.95,129.65,126.0,127.3,221478,,,
2023-11-23,128.3,129.25,127.65,128.45,134629,,,
2023-11-24,128.4,132.25,128.0,131.1,354272,,,
2023-11-28,132.15,134.7,131.65,132.6,447522,,,
2023-11-29,132.0,140.85,129.55,136.9,980093,,,
2023-11-30,134.3,137.2,132.45,135.15,526732,,,
2023-12-01,136.55,136.55,131.45,132.15,232017,,,
2023-12-04,133.95,133.95,131.1,132.35,161693,,,
2023-12-05,132.0,135.8,131.7,132.7,312364,,,
2023-12-06,132.7,133.75,131.65,132.15,141800,,,
2023-12-07,131.9,132.75,131.4,131.9,91867,,,
2023-12-08,132.2,132.5,130.0,130.8,136283,,,
2023-12-11,130.85,131.8,130.75,131.55,110702,,,
