Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-27,55.2,55.2,52.45,52.45,934000,ST,307,3042.35,932000
2026-03-02,49.85,55.0,49.85,53.8,638000,ST,214,2981.31,628000
2026-03-04,51.15,55.45,51.15,54.95,62000,ST,27,2296.3,62000
2026-03-05,55.0,55.0,52.65,53.55,96000,ST,37,2594.59,94000
2026-03-06,53.0,53.25,51.0,52.1,132000,ST,49,2693.88,128000
2026-03-09,52.0,54.7,52.0,53.05,1066000,ST,221,4823.53,1062000
2026-03-10,53.8,55.7,53.05,55.7,84000,ST,24,3500.0,82000
2026-03-11,58.45,58.45,58.0,58.45,68000,ST,33,2060.61,68000
2026-03-12,58.45,60.0,57.0,59.3,18000,ST,9,2000.0,18000
2026-03-13,56.35,56.35,56.35,56.35,10000,ST,4,2500.0,10000
2026-03-16,57.0,57.0,51.1,57.0,66000,SM,24,2750.0,56000
2026-03-17,55.8,55.8,53.1,55.8,10000,SM,5,2000.0,10000
2026-03-18,54.0,55.0,54.0,55.0,52000,SM,22,2363.64,50000
2026-03-19,54.95,55.0,54.0,54.7,48000,SM,9,5333.33,48000
2026-03-20,55.1,58.5,55.0,58.15,68000,SM,16,4250.0,68000
2026-03-23,57.0,57.0,54.0,55.35,26000,SM,12,2166.67,26000
2026-03-24,56.5,56.5,55.0,56.5,10000,SM,5,2000.0,10000
2026-03-25,56.0,57.0,54.0,55.0,20000,SM,10,2000.0,20000
2026-03-27,55.0,55.0,53.0,53.6,20000,SM,9,2222.22,18000
2026-03-30,55.0,55.0,52.95,53.35,26000,SM,11,2363.64,20000
2026-04-01,56.0,56.95,56.0,56.35,16000,SM,8,2000.0,16000
2026-04-02,55.0,58.5,55.0,57.25,12000,SM,6,2000.0,12000
2026-04-06,57.5,57.5,56.0,57.25,10000,SM,5,2000.0,10000
2026-04-08,58.0,61.85,55.0,56.0,20000,SM,10,2000.0,16000
2026-04-09,56.0,56.95,56.0,56.95,4000,SM,2,2000.0,4000
2026-04-10,54.75,55.75,54.75,55.25,4000,SM,2,2000.0,2000
2026-04-13,55.75,56.0,55.75,55.85,4000,SM,2,2000.0,4000
2026-04-15,58.4,58.4,55.8,56.9,18000,SM,9,2000.0,14000
2026-04-16,55.5,57.45,54.0,57.45,14000,SM,5,2800.0,12000
2026-04-17,57.45,57.45,55.25,56.35,8000,SM,4,2000.0,6000
2026-04-20,56.0,56.0,56.0,56.0,8000,SM,3,2666.67,8000
2026-04-21,56.0,56.0,56.0,56.0,6000,SM,2,3000.0,6000
2026-04-22,55.5,55.5,54.3,54.3,6000,SM,2,3000.0,6000
2026-04-23,54.1,54.5,54.1,54.5,4000,SM,2,2000.0,4000
2026-04-24,53.25,56.0,52.75,54.5,20000,SM,8,2500.0,16000
2026-04-28,54.5,58.0,54.5,58.0,78000,SM,30,2600.0,74000
2026-04-29,58.5,62.0,58.1,60.85,50000,SM,21,2380.95,48000
2026-04-30,58.0,58.0,58.0,58.0,2000,SM,1,2000.0,2000
2026-05-04,56.85,61.1,56.85,61.1,8000,SM,4,2000.0,6000
2026-05-05,60.0,60.0,59.1,60.0,18000,SM,8,2250.0,18000
2026-05-06,59.05,65.0,59.05,63.5,24000,SM,12,2000.0,22000
2026-05-07,61.0,66.9,61.0,62.15,34000,SM,17,2000.0,20000
2026-05-08,59.0,67.0,59.0,65.85,90000,SM,38,2368.42,78000
2026-05-11,64.25,64.25,60.95,61.0,36000,SM,17,2117.65,36000
2026-05-12,61.0,62.8,58.5,62.15,30000,SM,14,2142.86,24000
2026-05-13,63.0,63.0,61.8,61.8,8000,SM,2,4000.0,8000
2026-05-14,62.95,64.8,62.95,63.75,12000,SM,6,2000.0,10000
2026-05-15,60.35,63.9,59.05,63.45,16000,SM,8,2000.0,12000
2026-05-18,59.0,59.0,59.0,59.0,2000,SM,1,2000.0,2000
2026-05-19,61.5,62.0,60.05,62.0,20000,SM,8,2500.0,18000
2026-05-20,60.1,62.0,60.0,62.0,16000,SM,7,2285.71,12000
2026-05-21,61.75,62.9,61.75,62.1,8000,SM,4,2000.0,8000
2026-05-22,61.9,62.9,61.9,62.9,10000,SM,4,2500.0,10000
2026-05-25,60.3,60.5,60.3,60.5,4000,SM,2,2000.0,2000
2026-05-26,60.6,60.6,60.2,60.2,4000,SM,2,2000.0,4000
2026-05-27,61.0,62.9,61.0,61.95,8000,SM,3,2666.67,8000
2026-05-29,62.5,65.0,62.5,65.0,68000,SM,15,4533.33,66000
2026-06-01,62.95,64.0,62.9,63.85,36000,SM,9,4000.0,36000
2026-06-02,60.1,61.0,55.0,60.15,34000,SM,16,2125.0,28000
2026-06-03,58.3,61.0,58.0,60.95,32000,SM,15,2133.33,26000
2026-06-04,61.0,61.0,61.0,61.0,4000,SM,2,2000.0,4000
2026-06-08,60.0,62.0,60.0,62.0,6000,SM,2,3000.0,6000
2026-06-09,59.8,63.0,59.5,61.9,16000,SM,8,2000.0,14000
2026-06-10,61.0,61.0,61.0,61.0,2000,SM,1,2000.0,2000
2026-06-12,60.0,60.0,60.0,60.0,12000,SM,6,2000.0,12000
2026-06-15,60.0,60.0,58.3,58.3,4000,SM,2,2000.0,2000
2026-06-18,57.4,57.4,57.25,57.25,4000,SM,2,2000.0,4000
2026-06-24,62.4,62.4,55.2,55.2,4000,SM,2,2000.0,4000
2026-06-25,55.4,55.4,55.4,55.4,2000,SM,1,2000.0,2000
2026-06-29,55.4,55.7,55.4,55.4,6000,SM,3,2000.0,6000
2026-06-30,54.0,54.0,54.0,54.0,8000,SM,,,
2026-07-01,54.0,57.4,54.0,56.65,10000,SM,5,2000.0,10000
2026-07-03,55.4,55.4,53.05,53.05,8000,SM,3,2666.67,4000
2026-07-06,55.0,55.0,55.0,55.0,2000,SM,1,2000.0,2000
2026-07-08,55.0,56.95,53.3,53.3,6000,SM,3,2000.0,6000
2026-07-09,53.3,53.3,53.3,53.3,2000,SM,1,2000.0,2000
2026-07-13,53.3,53.3,53.3,53.3,2000,SM,1,2000.0,2000
2026-07-14,54.0,54.4,54.0,54.4,8000,SM,3,2666.67,8000
2026-07-16,55.3,55.3,55.3,55.3,54000,SM,1,54000.0,54000
2026-07-28,53.5,53.9,53.5,53.9,40000,SM,2,20000.0,40000
2026-07-29,50.05,53.3,50.05,53.3,10000,SM,5,2000.0,6000
2026-07-30,51.5,53.4,49.0,51.75,22000,SM,7,3142.86,18000
2026-08-03,50.5,50.5,50.5,50.5,2000,SM,1,2000.0,2000
2026-08-05,49.0,49.0,49.0,49.0,2000,SM,1,2000.0,2000
2026-08-10,46.0,48.8,46.0,47.6,6000,SM,3,2000.0,6000
2026-08-11,47.0,47.0,47.0,47.0,2000,SM,1,2000.0,2000
2026-08-17,46.25,46.25,46.0,46.1,4000,SM,2,2000.0,4000
2026-08-18,46.0,48.0,46.0,47.0,6000,SM,3,2000.0,6000
