Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,46.5,47.9,44.11,47.11,21192,EQ,323,65.61,15268
2026-08-18,47.9,47.9,45.5,46.32,8458,EQ,129,65.57,6883
2026-08-19,47.2,51.0,45.6,49.21,54472,EQ,520,104.75,41936
2026-08-20,49.21,52.0,48.1,50.22,63234,EQ,672,94.1,51728
2026-08-21,51.95,54.0,50.22,52.39,84636,EQ,661,128.04,64888
2026-08-24,52.9,54.0,49.01,50.41,43434,EQ,663,65.51,26804
2026-08-25,50.99,51.8,48.0,49.37,23337,EQ,316,73.85,20004
2026-08-26,50.0,50.0,48.0,49.31,22967,EQ,259,88.68,17073
2026-08-27,48.32,49.5,48.01,48.76,27659,EQ,290,95.38,20599
2026-08-28,48.76,50.99,47.62,49.89,33531,EQ,327,102.54,29814
2026-08-31,50.87,51.0,48.57,49.03,11823,EQ,214,55.25,8595
