Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-02,134.24,134.24,130.43,131.55,115512,EQ,335.0,344.81,110217.0
2026-01-05,134.83,137.33,132.51,137.16,166074,EQ,163.0,1018.86,149984.0
2026-01-06,139.5,139.5,137.0,137.52,2619,EQ,96.0,27.28,2289.0
2026-01-07,137.52,139.99,134.0,136.98,12663,EQ,106.0,119.46,11754.0
2026-01-08,134.34,136.81,134.34,135.23,1529,EQ,58.0,26.36,1308.0
2026-01-09,135.24,140.0,133.57,137.5,28042,EQ,111.0,252.63,25420.0
2026-01-12,139.8,141.0,139.6,140.91,22141,EQ,117.0,189.24,15867.0
2026-01-13,139.75,141.2,139.75,140.76,8947,EQ,39.0,229.41,6423.0
2026-01-14,141.8,143.0,141.8,142.97,11321,EQ,82.0,138.06,10777.0
2026-01-16,140.11,147.0,140.11,142.03,11486,EQ,90.0,127.62,11087.0
2026-01-19,142.46,145.39,142.1,144.44,9799,EQ,83.0,118.06,6826.0
2026-01-20,143.72,164.0,143.59,150.87,8214,EQ,143.0,57.44,4147.0
2026-01-21,157.7,163.99,153.1,157.03,29153,EQ,277.0,105.25,25249.0
2026-01-22,156.5,156.5,130.7,150.44,10076,EQ,156.0,64.59,6410.0
2026-01-23,150.44,156.0,148.3,150.79,23682,EQ,324.0,73.09,3650.0
2026-01-27,158.0,158.0,152.0,156.89,27502,EQ,192.0,143.24,3845.0
2026-01-28,160.06,163.0,157.55,159.99,20540,EQ,182.0,112.86,11848.0
2026-01-29,163.11,187.98,159.99,174.4,58815,EQ,716.0,82.14,24802.0
2026-01-30,169.97,174.0,152.0,160.59,412752,EQ,513.0,804.58,403772.0
2026-02-01,154.5,155.0,137.12,149.04,5885,EQ,238.0,24.73,3498.0
2026-02-02,148.89,158.0,133.6,146.12,23763,EQ,549.0,43.28,6024.0
2026-02-03,146.99,153.7,144.01,146.71,64263,EQ,400.0,160.66,57991.0
2026-02-04,155.51,158.89,149.41,156.24,34985,EQ,473,73.96,23431
2026-02-05,155.0,155.0,147.87,151.05,113580,EQ,287,395.75,107223
2026-02-06,151.05,159.0,147.32,153.52,204902,EQ,174,1177.6,200738
2026-02-09,155.12,159.35,152.71,153.98,304388,EQ,348,874.68,285150
2026-02-10,155.85,158.0,152.78,153.97,21231,EQ,303,70.07,17092
2026-02-11,152.95,155.73,152.3,153.92,5042,EQ,290,17.39,2225
2026-02-12,156.99,156.99,153.0,154.05,4681,EQ,138,33.92,2508
2026-02-13,153.49,155.0,149.02,152.02,42365,EQ,462,91.7,40240
2026-02-16,152.79,153.2,151.38,151.74,2398,EQ,87,27.56,803
2026-02-17,150.29,152.0,147.8,150.03,6943,EQ,463,15.0,4086
2026-02-18,151.88,151.88,150.0,150.45,6786,EQ,2685,2.53,5136
2026-02-19,153.07,154.01,152.2,153.01,1316,EQ,394,3.34,776
2026-02-20,154.01,154.01,151.35,153.21,2531,EQ,396,6.39,1474
2026-02-23,156.37,156.97,155.0,156.08,20795,EQ,145,143.41,19970
2026-02-24,156.87,158.03,156.23,156.78,5575,EQ,114,48.9,2955
2026-02-25,159.93,159.93,156.38,157.57,2008,EQ,306,6.56,1213
2026-02-26,157.57,160.55,154.42,156.73,2624,EQ,280,9.37,1693
2026-02-27,159.75,159.75,155.93,157.32,3994,EQ,126,31.7,2475
2026-03-02,163.24,169.0,162.35,168.44,17086,EQ,341,50.11,9046
2026-03-04,164.8,167.0,159.0,161.76,14108,EQ,218,64.72,9055
2026-03-05,164.79,164.79,157.15,160.02,10367,EQ,176,58.9,6119
2026-03-06,160.83,160.83,156.29,157.06,19574,EQ,573,34.16,6470
