Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2011-05-06,196.6,198.9,161.4,175.9,60613615,EQ,,,
2011-05-09,174.0,179.75,168.75,171.35,6129552,EQ,,,
2011-05-10,171.0,177.4,169.5,176.35,5514954,EQ,,,
2011-05-11,177.0,178.7,172.4,175.1,3348158,EQ,,,
2011-05-12,174.0,174.4,165.05,169.05,2719399,EQ,,,
2011-05-13,168.0,170.7,165.3,166.05,998959,EQ,,,
2011-05-16,165.85,165.85,159.1,160.5,1530085,EQ,,,
2011-05-17,161.0,162.0,155.8,159.9,875597,EQ,,,
2011-05-18,159.5,163.0,158.2,159.15,567443,EQ,,,
2011-05-19,160.15,160.3,155.0,155.5,276867,EQ,,,
2011-05-20,156.0,162.4,155.15,158.0,731694,EQ,,,
2011-05-23,157.85,159.9,155.5,158.0,343551,EQ,,,
2011-05-24,158.0,162.25,156.6,161.2,568661,EQ,,,
2011-05-25,160.6,163.8,154.75,155.45,601050,EQ,,,
2011-05-26,157.1,160.4,156.0,157.6,512762,EQ,,,
2011-05-27,158.9,175.0,158.9,172.9,4218741,EQ,,,
2011-05-30,171.45,176.9,171.45,175.6,1223067,EQ,,,
2011-05-31,176.0,176.9,171.05,175.45,604495,EQ,,,
2011-06-01,175.75,181.75,172.95,180.85,1963698,EQ,,,
2011-06-02,179.9,183.2,175.1,175.8,1546385,EQ,,,
2011-06-03,174.0,178.85,171.35,177.9,1330147,EQ,,,
2011-06-06,178.5,179.4,175.0,175.25,347137,EQ,,,
2011-06-07,175.5,176.75,173.35,174.3,204739,EQ,,,
2011-06-08,174.4,175.45,168.0,170.3,465391,EQ,,,
2011-06-09,170.5,171.25,167.75,168.2,228604,EQ,,,
2011-06-10,167.55,169.4,162.1,164.35,288082,EQ,,,
2011-06-13,166.5,169.2,163.05,167.4,292508,EQ,,,
2011-06-14,168.2,168.2,163.05,164.2,283959,EQ,,,
2011-06-15,163.15,163.15,159.5,161.3,439170,EQ,,,
2011-06-16,160.4,160.4,155.4,156.6,292400,EQ,,,
2011-06-17,156.3,160.9,154.75,158.05,246344,EQ,,,
2011-06-20,158.55,159.0,153.95,154.25,302130,EQ,,,
2011-06-21,155.85,156.5,153.2,153.5,195394,EQ,,,
2011-06-22,155.0,155.6,151.5,152.0,369374,EQ,,,
2011-06-23,152.0,153.4,150.35,150.5,342393,EQ,,,
2011-06-24,151.5,155.0,151.5,154.2,185985,EQ,,,
2011-06-27,154.5,162.75,153.3,161.6,433739,EQ,,,
2011-06-28,162.05,166.45,162.05,164.75,284992,EQ,,,
2011-06-29,163.0,166.4,158.95,159.6,191610,EQ,,,
2011-06-30,160.15,161.35,155.0,157.0,316850,EQ,,,
2011-07-01,158.1,161.2,156.6,157.65,436070,EQ,,,
2011-07-04,157.5,166.7,157.0,165.85,539440,EQ,,,
2011-07-05,165.85,166.95,162.7,163.3,194339,EQ,,,
2011-07-06,162.95,163.5,161.05,162.1,85854,EQ,,,
2011-07-07,163.0,168.15,162.15,167.6,345960,EQ,,,
2011-07-08,167.65,173.8,165.0,166.35,415999,EQ,,,
2011-07-11,166.0,168.5,162.0,162.75,136170,EQ,,,
2011-07-12,161.4,164.85,160.0,163.4,236220,EQ,,,
2011-07-13,163.3,167.0,158.0,166.2,139147,EQ,,,
2011-07-14,164.05,174.5,163.0,172.05,621576,EQ,,,
2011-07-15,172.0,173.0,169.1,171.65,178941,EQ,,,
2011-07-18,170.0,173.8,170.0,173.15,232122,EQ,,,
2011-07-19,173.5,176.0,171.15,175.25,303391,EQ,,,
2011-07-20,175.85,176.5,171.65,174.0,459548,EQ,,,
2011-07-21,172.4,180.4,171.65,176.2,830956,EQ,,,
2011-07-22,177.95,179.65,175.4,178.6,702506,EQ,,,
2011-07-25,178.0,186.25,176.55,185.4,1433120,EQ,,,
