Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2023-04-19,480708,3700,129.92,480708,
2023-04-20,26514,481,55.12,26514,
2023-04-21,59981,363,165.24,59981,
2023-04-24,37852,448,84.49,37852,
2023-04-25,7532,309,24.38,7532,
2023-04-26,24280,367,66.16,24280,
2023-04-27,857220,3293,260.32,857220,
2023-04-28,701515,5240,133.88,701515,
2023-05-02,191058,2946,64.85,191058,
2023-05-03,535859,5841,91.74,535859,
2023-05-04,1061830,33611,31.59,660792,
2023-05-05,360572,8847,40.76,251368,
2023-05-08,276334,9003,30.69,167928,
2023-05-09,275575,9118,30.22,137816,
2023-05-10,216223,6495,33.29,137403,
2023-05-11,197558,6276,31.48,130883,
2023-05-12,207710,7899,26.3,129181,
2023-05-15,774323,26982,28.7,376416,
2023-05-16,150422,5481,27.44,89828,
2023-05-17,91173,3515,25.94,55672,
2023-05-18,207702,5535,37.53,122742,
2023-05-19,95043,3837,24.77,51355,
2023-05-22,88702,5110,17.36,47402,
2023-05-23,133147,7944,16.76,73345,
2023-05-24,135964,5264,25.83,100538,
2023-05-25,139627,4861,28.72,94333,
2023-05-26,195418,4450,43.91,135128,
2023-05-29,244242,13843,17.64,75214,
2023-05-30,137818,8521,16.17,55426,
2023-05-31,212004,9743,21.76,124435,
2023-06-01,139107,5388,25.82,78280,
2023-06-02,196341,7988,24.58,117499,
2023-06-05,89727,3816,23.51,53027,
2023-06-06,121828,7989,15.25,75263,
2023-06-07,126592,4245,29.82,94712,
2023-06-08,238543,5320,44.84,151301,
2023-06-09,103030,3532,29.17,68491,
2023-06-12,180618,5200,34.73,125338,
2023-06-13,156589,5116,30.61,100699,
2023-06-14,607013,14521,41.8,346901,
2023-06-15,175842,8217,21.4,103771,
2023-06-16,147198,5231,28.14,82358,
2023-06-19,465069,11769,39.52,275660,
2023-06-20,245822,7418,33.14,142555,
2023-06-21,866859,24878,34.84,425265,
2023-06-22,283022,9150,30.93,134151,
2023-06-23,163750,5585,29.32,74009,
2023-06-26,90809,3611,25.15,46364,
2023-06-27,64438,2879,22.38,38051,
2023-06-28,45445,2343,19.4,27822,
2023-06-30,165589,4631,35.76,114485,
2023-07-03,158045,6434,24.56,75098,
2023-07-04,77563,3166,24.5,43597,
2023-07-05,420927,10498,40.1,105895,
2023-07-06,44334,1613,27.49,24142,
2023-07-07,132722,2107,62.99,97079,
2023-07-10,72591,1515,47.91,49726,
2023-07-11,54448,1478,36.84,31225,
2023-07-12,59851,1284,46.61,34866,
2023-07-13,197659,2105,93.9,165225,
2023-07-14,102320,2595,39.43,64999,
2023-07-17,63757,1656,38.5,45220,
2023-07-18,59724,1391,42.94,37040,
2023-07-19,75014,1021,73.47,46498,
2023-07-20,284333,4247,66.95,165095,
2023-07-21,85158,2672,31.87,48816
